,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,"Selling, General & Admin",7.08,21.97,30.91,40.52,53.85,90.89,104.54,79.54,2.02
1,Research & Development,21.79,43.25,68.5,86.44,71.39,93.74,120.49,233.62,12.12
2,Operating Expenses,28.88,65.22,99.41,126.96,125.24,184.63,225.02,313.16,14.14
3,Operating Income,-28.88,-65.22,-99.41,-126.96,-125.24,-184.63,-225.02,-313.16,-14.14
4,Interest Expense,-0.02,-0.19,-0.39,-0.45,-0.51,-0.46,-0.23,-0.03,-0.03
5,Interest & Investment Income,0.67,2.36,1.64,2.27,1.74,0.15,0.82,0.17,0.02
6,Earnings From Equity Investments,-0.66,-0.55,-1.09,-1.43,-,-,-,-,-
7,Currency Exchange Gain (Loss),0.64,-1.86,3.59,10.83,7.85,-3.39,-3.22,-16.35,-
8,Other Non Operating Income (Expenses),-0.08,0.37,0.53,0.44,0.59,6.02,0.14,2.73,0.5
9,EBT Excluding Unusual Items,-28.33,-65.08,-95.12,-115.29,-115.58,-182.32,-227.51,-326.65,-13.65
10,Gain (Loss) on Sale of Investments,-,0.47,-,-,-,-,-,-,-
11,Gain (Loss) on Sale of Assets,-,-30.51,-,-0,-,-,-,-,-
12,Other Unusual Items,-,1.42,-,-,-,-,-,-,-
13,Pretax Income,-28.33,-93.7,-95.12,-115.29,-115.58,-182.32,-227.51,-326.65,-13.65
14,Earnings From Continuing Operations,-28.33,-93.7,-95.12,-115.29,-115.58,-182.32,-227.51,-326.65,-13.65
15,Minority Interest in Earnings,2.5,4,8.93,12.5,14.14,20.66,27.72,14.77,-
16,Net Income,-25.83,-89.71,-86.19,-102.8,-101.44,-161.66,-199.79,-311.88,-13.65
17,Net Income to Common,-25.83,-89.71,-86.19,-102.8,-101.44,-161.66,-199.79,-311.88,-13.65
18,Shares Outstanding (Basic),243,243,243,244,244,221,220,-,-
19,Shares Outstanding (Diluted),243,243,243,244,244,221,220,-,-
20,Shares Change (YoY),-,-0.06%,-0.21%,10.12%,10.88%,-,-,-,-
21,EPS (Basic),-0.11,-0.37,-0.35,-0.42,-0.42,-0.73,-0.91,-,-
22,EPS (Diluted),-0.11,-0.37,-0.35,-0.42,-0.42,-0.73,-0.91,-,-
23,Free Cash Flow,-96.76,-18.39,-48.35,-117.94,-52.71,-74.36,-48.38,-45.07,-9.18
24,Free Cash Flow Per Share,-0.40,-0.08,-0.20,-0.48,-0.22,-0.34,-0.22,-,-
25,EBITDA,-25.47,-58.21,-89.92,-118.43,-118.9,-181.33,-219.55,-309.27,-10.5
26,D&A For EBITDA,3.4,7.01,9.48,8.52,6.34,3.3,5.47,3.89,3.65
27,EBIT,-28.88,-65.22,-99.41,-126.96,-125.24,-184.63,-225.02,-313.16,-14.14
