,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,621,453,832,1137,1425,15222,6598,-,-,-
1,Market Cap Growth,-60.17%,-60.17%,-41.56%,-92.53%,-78.41%,-,-,-,-,-
2,Enterprise Value,353,76,458,683,727,14428,6189,-,-,-
3,Last Close Price,2.55,1.86,3.42,4.67,5.84,62.40,27.05,-,-,-
4,PB Ratio,0.80,0.57,0.98,1.23,1.38,12.96,5.19,-,-,-
5,P/TBV Ratio,0.96,0.96,1.62,1.94,2.10,18.99,7.53,-,-,-
6,Debt / Equity Ratio,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,0.00,-
7,Earnings Yield,-20.00%,-27.42%,-23.28%,-17.96%,-16.21%,-2.02%,-6.72%,-,-,-
8,FCF Yield,-19.93%,-27.33%,-8.83%,-15.81%,-13.54%,-0.98%,-2.28%,-,-,-
9,Buyback Yield / Dilution,0.03%,-,0.06%,0.21%,-10.12%,-10.88%,-,-,-,-
10,Total Shareholder Return,0.03%,-,0.06%,0.21%,-10.12%,-10.88%,-,-,-,-
