,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,272.9,369.44,389.33,451.32,518.91,708.53,166.33,453.67,-
1,Short-Term Investments,-,-,-,-,134.38,-,226.66,-,-
2,Cash & Short-Term Investments,272.9,369.44,389.33,451.32,653.29,708.53,393,453.67,-
3,Cash Growth,-29.91%,-18.14%,-40.40%,-36.30%,66.23%,56.18%,-,-,-
4,Other Receivables,-,6.12,7.67,5.8,2.14,8.91,5.58,2.31,-
5,Receivables,-,6.12,7.67,5.8,2.14,8.91,5.58,2.31,-
6,Inventory,3.35,3.98,-,-,-,-,-,-,-
7,Other Current Assets,81.1,28.93,65.17,84.41,41.32,39.08,19.03,14.78,-
8,Total Current Assets,357.35,408.47,462.18,541.53,696.75,756.53,417.61,470.77,-
9,"Property, Plant & Equipment",47.26,30.91,67.38,75.98,70.91,72.26,35.9,20.27,-
10,Long-Term Investments,86.4,87.06,87.14,73.23,24.66,-,-,-,-
11,Goodwill,144.63,144.63,144.63,144.63,144.63,144.63,144.63,144.63,-
12,Other Intangible Assets,137.65,137.71,137.77,137.54,137.56,137.2,137.2,137.2,-
13,Long-Term Deferred Charges,-,-,-,-,-,-,17.66,8.27,-
14,Other Long-Term Assets,10.53,9.12,12.1,8.61,7.17,4.3,2.4,3.9,-
15,Total Assets,783.82,817.9,911.21,981.52,1082,1115,755.4,785.04,-
16,Accounts Payable,-,-,-,-,0.01,0.01,0.2,0.01,-
17,Accrued Expenses,5.49,8.6,7.78,8.02,4.38,9.14,4,4.7,-
18,Current Portion of Leases,0.83,1.58,7.88,7.62,8.09,7.31,2.41,1.24,-
19,Current Unearned Revenue,3.49,3.39,2.79,0.96,1,0.98,0.52,0.52,-
20,Other Current Liabilities,4.7,6.5,7.54,12.25,24.48,19.37,10.66,7.4,-
21,Total Current Liabilities,14.51,20.07,25.99,28.85,37.95,36.81,17.79,13.87,-
22,Long-Term Leases,0.16,0.18,7.5,10.49,13.22,15.14,8.18,0.08,-
23,Long-Term Unearned Revenue,3.03,3.21,4.23,6.55,7.01,7.52,6.48,6.6,-
24,Long-Term Deferred Tax Liabilities,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,-
25,Total Liabilities,38.28,44.04,58.3,66.47,78.76,80.04,53.03,41.13,-
26,Common Stock,243.94,243.94,243.94,243.94,243.94,243.94,220,220,-
27,Additional Paid-In Capital,662.42,662.42,662.42,662.42,662.42,662.42,304.29,304.29,-
28,Retained Earnings,-875.17,-849.34,-759.63,-673.44,-570.65,-469.21,-307.55,-107.76,-
29,Treasury Stock,-29.44,-29.44,-29.44,-29.44,-,-,-,-,-
30,Comprehensive Income & Other,720.83,720.83,708.19,679.74,630.68,558.54,444,283.55,-
31,Total Common Equity,722.58,748.41,825.48,883.21,966.39,995.69,660.75,700.09,-
32,Minority Interest,22.95,25.45,27.43,31.84,36.53,39.19,41.62,43.82,-
33,Shareholders' Equity,745.53,773.86,852.91,915.05,1003,1035,702.37,743.91,-
34,Total Liabilities & Equity,783.82,817.9,911.21,981.52,1082,1115,755.4,785.04,-
35,Total Debt,0.99,1.76,15.38,18.11,21.31,22.45,10.59,1.32,-
36,Net Cash (Debt),271.91,367.68,373.95,433.21,631.98,686.09,382.41,452.35,-
37,Net Cash Growth,-27.29%,-15.13%,-40.83%,-36.86%,65.26%,51.67%,-,-,-
38,Net Cash Per Share,1.12,1.51,1.54,1.78,2.59,3.10,1.74,-,-
39,Filing Date Shares Outstanding,243.42,243.42,243.42,243.42,243.94,243.94,144.88,220,-
40,Total Common Shares Outstanding,243.42,243.42,243.42,243.42,243.94,243.94,220,220,-
41,Working Capital,342.83,388.4,436.19,512.68,658.8,719.72,399.82,456.9,-
42,Book Value Per Share,2.97,3.07,3.39,3.63,3.96,4.08,3.00,3.18,-
43,Tangible Book Value,440.3,466.07,543.08,601.04,684.2,713.86,378.92,418.26,-
44,Tangible Book Value Per Share,1.81,1.91,2.23,2.47,2.80,2.93,1.72,1.90,-
45,Machinery,-,53.24,-,38.66,-,33.57,33.05,29.62,-
46,Construction In Progress,-,-,-,8.16,-,19.63,6.78,-,-
47,Leasehold Improvements,-,21.82,-,61.85,-,31.52,16.11,14.61,-
