,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,178,191,214,261,227,243,201,215,521,403,1175
1,Market Cap Growth,-26.56%,-26.56%,-5.45%,7.15%,12.63%,13.36%,-61.39%,-46.72%,-55.62%,-48.31%,-
2,Enterprise Value,166,168,188,225,117,138,105,109,409,322,1164
3,Last Close Price,0.27,0.29,0.32,0.39,0.34,0.36,0.30,0.32,0.76,0.59,1.70
4,PE Ratio,11.99,12.67,9.47,10.35,11.58,10.26,7.74,9.28,15.49,9.16,44.29
5,PS Ratio,0.72,0.78,0.89,1.08,1.01,1.00,0.74,0.95,2.16,1.61,4.56
6,PB Ratio,0.48,0.51,0.57,0.72,0.62,0.67,0.54,0.61,1.54,1.32,4.00
7,P/TBV Ratio,0.52,0.52,0.57,0.72,0.63,0.67,0.55,0.62,1.56,1.33,4.05
8,P/FCF Ratio,-,-,-,-,-,12.16,33.90,-,-,-47.91,-
9,P/OCF Ratio,4.85,4.85,5.34,-24.30,-,6.84,9.95,-,9.26,96.21,-
10,EV/Sales Ratio,0.67,0.68,0.78,0.93,0.52,0.57,0.38,0.48,1.69,1.28,4.52
11,EV/EBITDA Ratio,5.64,6.66,5.64,5.92,3.82,4.91,3.42,3.25,8.52,5.24,26.40
12,EV/EBIT Ratio,17.42,17.67,9.12,8.93,6.70,8.72,5.75,4.96,11.01,6.24,34.13
13,EV/FCF Ratio,-6.52,-,-,-,-,6.91,17.67,-,-,-38.26,-
14,Debt / Equity Ratio,0.06,0.06,0.06,0.08,0.07,0.06,0.05,0.05,0.06,0.05,0.06
15,Debt / FCF Ratio,-,-,-,-,-,1.11,2.90,-,-,-1.78,-
16,Return on Capital Employed (ROCE),2.42%,2.42%,5.21%,6.60%,4.62%,4.20%,4.70%,6.02%,10.47%,16.14%,11.01%
17,Earnings Yield,8.48%,7.89%,10.56%,9.66%,8.63%,9.75%,12.92%,10.77%,6.46%,10.91%,2.26%
18,FCF Yield,-14.27%,-13.29%,-11.89%,-31.98%,-31.43%,8.22%,2.95%,-7.32%,6.08%,-2.09%,-2.50%
19,Buyback Yield / Dilution,0.30%,0.49%,0.23%,-0.24%,0.13%,0.73%,0.21%,-0.57%,0.27%,-32.84%,-
20,Total Shareholder Return,1.17%,0.49%,0.23%,-0.24%,0.13%,0.73%,0.21%,-0.57%,0.27%,-32.84%,-
