,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,1518,1384,1194,1052,1312,1805,1898,1723,2091,1869,1849,2164,2529,-,-,-,-
1,Market Cap Growth,-23.32%,-23.32%,-37.10%,-38.97%,-37.26%,-3.42%,2.62%,-20.37%,-17.30%,-,-,-,-,-,-,-,-
2,Enterprise Value,845,711,435,428,507,1000,1095,909,1265,1043,1007,1293,2335,-,-,-,-
3,Last Close Price,39.21,35.75,30.36,26.22,32.47,44.66,46.96,42.64,51.60,46.11,45.63,53.39,62.39,-,-,-,-
4,PE Ratio,-,-,56.10,46.16,71.48,218.52,-216.46,-,-,-,49.77,40.45,40.80,-,-,-,-
5,PS Ratio,9.06,7.80,6.71,6.15,7.70,10.98,10.49,8.04,8.39,6.15,5.99,6.72,8.46,-,-,-,-
6,PB Ratio,1.64,1.49,1.29,1.12,1.37,1.87,1.99,1.81,2.19,1.94,1.91,2.24,2.64,-,-,-,-
7,P/TBV Ratio,1.49,1.49,1.29,1.14,1.37,1.88,2.00,1.82,2.19,1.95,1.92,2.24,2.64,-,-,-,-
8,P/FCF Ratio,-,-,45.17,44.88,122.22,-564.41,-97.63,-,-,-,-,-,77.18,-,-,-,-
9,P/OCF Ratio,-,-,26.07,25.28,41.60,104.98,-2798.71,-,-,-456.79,-,-,43.33,-,-,-,-
10,EV/Sales Ratio,4.76,4.01,2.45,2.50,2.98,6.08,6.06,4.24,5.07,3.43,3.26,4.02,7.82,-,-,-,-
11,EV/EBITDA Ratio,-,-,104.96,-,-146.70,-81.16,-41.53,-,-,-,26.85,23.57,35.13,-,-,-,-
12,EV/EBIT Ratio,-,-,-48.84,-,-,-,-,-,-,-,35.25,27.77,39.58,-,-,-,-
13,EV/FCF Ratio,-,-,16.48,18.27,47.25,-312.73,-56.34,-,-,-,-,-,71.26,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.01,-,0.02,0.02
15,Debt / EBITDA Ratio,-,-,0.28,-,1.64,0.49,23.16,-,-,-,0.68,0.19,0.04,0.09,-,0.07,0.04
16,Debt / FCF Ratio,-,-,0.18,0.24,0.59,-2.19,-0.40,-,-,-,-,-,0.11,0.14,-,1.39,-
17,Asset Turnover,-,0.17,0.16,0.17,0.18,0.14,0.16,0.14,0.23,0.26,0.28,0.51,-,-,-,-,
18,Inventory Turnover,-,-,1.31,1.35,1.25,1.40,0.76,1.01,1.02,4.65,2.74,4.44,5.84,-,-,-,-
19,Quick Ratio,-,-,10.76,11.54,9.67,11.06,13.68,12.27,11.44,9.83,10.19,9.78,9.54,3.89,-,3.89,-
20,Current Ratio,-,-,12.37,11.93,12.23,11.46,14.26,12.74,11.91,10.19,10.61,10.16,9.83,4.26,-,4.37,-
21,Return on Equity (ROE),-5.20%,0.15%,0.26%,1.54%,6.94%,0.78%,-1.60%,-2.67%,-0.18%,0.76%,2.12%,10.78%,-,-,23.28%,-,
22,Return on Assets (ROA),-,0.28%,-1.31%,-0.53%,-0.57%,-0.72%,-2.01%,-2.55%,-3.76%,0.21%,0.28%,6.58%,-,-,-,-,
23,Return on Capital (ROIC),-2.08%,0.30%,-1.42%,-0.58%,-0.62%,-0.79%,-2.21%,-2.84%,-4.20%,0.23%,0.32%,7.67%,-,-,14.35%,-,
24,Return on Capital Employed (ROCE),-,-,-0.95%,-,-,-,-,-,-,-,2.87%,4.70%,6.00%,20.04%,-,13.14%,-
25,Earnings Yield,-0.49%,-0.53%,1.78%,2.17%,1.40%,0.46%,-0.46%,-0.51%,0.01%,1.25%,2.01%,2.47%,2.45%,-,-,-,-
26,FCF Yield,-,2.21%,2.23%,0.82%,-0.18%,-1.02%,-1.97%,-1.63%,-1.35%,-0.14%,0.66%,1.30%,-,-,-,-,
27,Dividend Yield,0.51%,-,-,1.14%,-,0.45%,-,-,-,0.27%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,1250.45%,2.87%,0.05%,-,-,-,-,-,-,-,-,0.01%,-,0.81%
29,Buyback Yield / Dilution,-4.21%,-23.69%,-18.47%,25.40%,-3.01%,23.97%,-21.09%,-2.18%,-33.12%,-61.99%,-4.35%,-34.58%,1.18%,-,-,-,-
30,Total Shareholder Return,-3.70%,-23.69%,-18.47%,26.54%,-3.01%,24.42%,-21.09%,-2.18%,-33.12%,-61.72%,-4.35%,-34.58%,1.18%,-,-,-,-
