,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,235.08,242.03,589.91,609.57,681.83,288.9,273.24,298.93,724.29,846.2,874.76,197.94,-,173.36,-
1,Short-Term Investments,-,-,75.76,-,125.66,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,442.78,446.03,40.02,50.21,130.64,521.63,550.29,530.98,110,-,-,-,-,-,-
3,Cash & Short-Term Investments,677.85,677.85,763.82,629.93,785.44,812.47,810.53,823.52,829.91,834.29,846.2,874.76,197.94,-,173.36,171.98
4,Cash Growth,-13.70%,-16.57%,-5.76%,-23.51%,-5.36%,-2.62%,-4.21%,-5.86%,319.27%,-,388.10%,408.65%,-,-,-,-
5,Accounts Receivable,-,66.14,72.4,70.48,77.6,81.97,86.38,88.78,105.13,100.9,99.01,77.88,55.5,-,42.47,-
6,Other Receivables,-,1.31,4.83,0.96,4.83,1.59,4.07,1.68,3.54,1.21,4.99,0.71,4.29,-,3.68,-
7,Receivables,-,67.45,77.22,71.44,82.43,83.56,90.46,90.46,108.66,102.11,104,78.59,59.79,-,46.16,-
8,Inventory,-,24.2,25.19,27.03,28.6,31.17,31.15,31.51,28.29,28.18,26.48,20.05,19.39,-,24.04,-
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,0.25,-,-,-,-,-
10,Other Current Assets,-,87.59,3.18,158.83,2.67,6.81,3.87,6.23,5.72,10.53,9.24,8.95,5.42,-,2.87,-
11,Total Current Assets,-,857.08,869.41,887.22,899.14,934.01,936.01,951.72,972.58,975.12,986.17,982.35,282.54,-,246.43,-
12,"Property, Plant & Equipment",-,85.84,76.35,90.84,92.72,92.47,95.91,97.11,100.91,101.3,91.88,91.46,87.64,-,81.51,-
13,Other Intangible Assets,-,0.47,13.66,0.4,0.45,0.49,0.55,0.6,0.66,0.71,0.51,0.55,0.6,-,0.52,-
14,Long-Term Deferred Tax Assets,-,13.14,13.47,13.34,12.96,12.69,12.33,11.6,9.63,4.98,4.62,3.88,3.23,-,3.79,-
15,Long-Term Deferred Charges,-,6.97,7.19,7.81,8.3,7.51,7.68,3.46,3.73,4.12,3.31,3.62,3.92,-,1.31,-
16,Other Long-Term Assets,-,41.8,41.41,41.21,41.15,0.55,0.79,1.89,1.21,0.32,1.1,1.88,0.68,-,0.6,-
17,Total Assets,-,1005,1022,1041,1055,1048,1053,1066,1089,1087,1088,1084,378.61,-,334.16,-
18,Accounts Payable,-,5.24,3.82,3.91,4.09,5.58,5.82,3.63,11.38,9.98,20.37,16.72,9.84,-,7.48,-
19,Accrued Expenses,-,9.3,54.95,8.34,58.65,9.65,53.84,10.91,65.77,12.47,58.19,10.86,36.96,-,30.42,-
20,Current Portion of Leases,-,2.57,2.91,2.5,2.93,0.68,1.99,2.18,2.6,1.91,1.75,1.59,1.88,-,1.08,-
21,Current Income Taxes Payable,-,1.12,0.39,1.79,1,1.12,0.39,1.26,1.12,5.53,2.87,6.79,2.39,-,1.1,-
22,Current Unearned Revenue,-,2.88,3.84,3.99,5.58,4.41,4.51,6.65,7.33,7.95,6.76,8.53,9.22,-,10.1,-
23,Other Current Liabilities,-,48.18,6.97,52.02,6.21,44.08,6.89,55.25,7.26,54.03,7.17,55.43,6.02,-,6.22,-
24,Total Current Liabilities,-,69.29,72.87,72.56,78.45,65.52,73.44,79.89,95.46,91.88,97.11,99.93,66.31,-,56.39,-
25,Long-Term Leases,-,2.29,2.8,3.88,4.09,7.01,6.01,6.72,7.91,6.18,1.86,2.04,2.11,-,3.59,-
26,Long-Term Unearned Revenue,-,6.4,7.21,8.32,9.42,22.66,22.66,22.66,22.2,22.2,22.2,22.2,22.2,-,21.3,-
27,Long-Term Deferred Tax Liabilities,-,-,-,-,-,1.2,1.35,1.34,1.72,-,-,-,-,-,-,-
28,Other Long-Term Liabilities,-,0.03,0,-,0.01,0,0.03,0.04,0.05,-,0.15,0.24,0.24,-,0.67,-
29,Total Liabilities,-,78.02,82.88,84.76,91.97,96.4,103.49,110.65,127.34,120.26,121.31,124.4,90.86,-,81.96,-
30,Common Stock,-,40,40,40,40,40,40,40,40,40,40,40,30,-,30,-
31,Additional Paid-In Capital,-,777.48,776.22,774.96,773.7,778.3,778.3,777.47,776.23,779.37,781.64,780.25,135.44,-,131.39,-
32,Retained Earnings,-,146.22,145.88,153.09,149.39,132.79,130.94,139.74,146.13,146.55,144.72,139.6,122.8,-,91.22,-
33,Treasury Stock,-,-35.66,-23.38,-11.71,-,-,-,-,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,-,-0.76,-0.1,-0.28,-0.35,0.23,0.54,-1.49,-0.97,0.36,-0.09,-0.51,-0.49,-,-0.4,-
35,Shareholders' Equity,927.28,927.28,938.62,956.07,962.74,951.32,949.78,955.72,961.38,966.28,966.27,959.35,287.75,-,252.21,215.03
36,Total Liabilities & Equity,-,1005,1022,1041,1055,1048,1053,1066,1089,1087,1088,1084,378.61,-,334.16,-
37,Total Debt,4.86,4.86,5.71,6.38,7.02,7.69,8,8.9,10.51,8.09,3.61,3.63,3.99,-,4.67,3.84
38,Net Cash (Debt),672.99,672.99,758.12,623.55,778.42,804.78,802.53,814.62,819.4,826.2,842.59,871.13,193.95,-,168.69,168.13
39,Net Cash Growth,-13.54%,-16.38%,-5.53%,-23.46%,-5.00%,-2.59%,-4.75%,-6.49%,322.47%,-,399.47%,418.12%,-,-,-,-
