,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,46.71,46.89,38.93,44.82,45.66,38.44,39.9,38.77,53.85,78.36,68.45,93.28,62.57,85.07,51.66,86.83
1,Other Revenue,-,-2.93,2.93,-,1.65,-1.37,1.37,-,9.91,-7.93,7.93,-,6.18,-1.65,1.65,-
2,Revenue,46.71,43.96,41.87,44.82,47.31,37.07,41.26,38.77,63.75,70.43,76.38,93.28,68.75,83.42,53.31,86.83
3,Revenue Growth (YoY),-1.28%,18.60%,1.46%,15.60%,-25.79%,-47.37%,-45.98%,-58.44%,-7.27%,-15.57%,43.28%,7.43%,-,-,-,-
4,Cost of Revenue,-25.62,8.07,8.84,8.71,10.48,5.9,7.92,7.59,32.83,18.69,25.8,28.78,19.81,21.7,13.38,19.49
5,Gross Profit,72.33,35.9,33.02,36.1,36.84,31.16,33.35,31.18,30.92,51.74,50.58,64.5,48.94,61.73,39.93,67.33
6,"Selling, General & Admin",-85.14,29.39,28.26,27.48,29.43,22.62,33.03,33.23,31.4,44.21,42.49,36.95,31.83,35.73,23.04,36.8
7,Research & Development,-30,9.59,10.23,10.18,10.84,11.31,9.88,8.52,7.8,11.51,7.31,7.27,8.04,7.46,3.98,6.64
8,Other Operating Expenses,195.35,-4.21,0.25,0.24,-1.39,0.23,-0.94,0.1,6.99,-4.32,-2.27,0.47,1.99,-1.23,-0.06,0.13
9,Operating Expenses,80.1,34.77,38.43,38.33,39.24,34.18,41.86,42.17,47.28,50.84,49.36,45.24,41.75,42.83,26.28,44.49
10,Operating Income,-7.77,1.13,-5.41,-2.23,-2.4,-3.02,-8.51,-10.99,-16.35,0.9,1.22,19.25,7.18,18.9,13.66,22.84
11,Interest Expense,-9.57,-0.03,-0.05,-0.11,-0.02,-0.11,-0.17,-0.13,-0.24,-,-0.39,-0.07,-0.04,-0.04,-0.08,-0.1
12,Interest & Investment Income,0.19,2.42,3.62,3.53,3.45,5.84,2.15,4.2,3.13,4.67,4.15,0.97,0.88,0.81,0.96,0.56
13,Currency Exchange Gain (Loss),-,0,-0,-,-0.12,-0.01,0.01,-,0.56,-0.44,0.44,-,-0.2,0.13,-0.13,-
14,Other Non Operating Income (Expenses),-0.53,0.07,-0.61,0.43,-0.75,0.35,0.03,-0.18,0.37,-0.13,-0.23,0.12,-0.27,0.19,-0.7,0.63
15,EBT Excluding Unusual Items,-17.68,3.59,-2.45,1.62,0.16,3.05,-6.49,-7.1,-12.54,5,5.2,20.27,7.55,19.98,13.71,23.94
16,Gain (Loss) on Sale of Investments,-3.66,2.1,0.94,0.62,1,-0.99,1.34,-0.69,0.98,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,0.14,-0.14,-,-,-0.02,-0.04,-,0,0.05,-0,0.09,0.39,0.69,-0.31,-
18,Asset Writedown,1.93,-1.93,0.36,-0.36,0.51,-0.85,0.54,-0.54,-0.41,-0.78,0.3,-0.3,-0.26,-0.12,0.04,-0.04
19,Other Unusual Items,0.02,-3.24,1.74,1.49,14.87,-,-,-,8.82,-,-,-,6.89,-0.64,0.64,-
20,Pretax Income,-19.4,0.67,0.44,3.37,16.54,1.19,-4.64,-8.32,-3.14,4.26,5.49,20.07,14.56,19.91,14.08,23.9
21,Income Tax Expense,-7.36,0.33,-0.18,-0.33,-0.06,-0.66,-0.84,-1.93,-2.71,2.43,0.37,3.26,1.16,1.73,0.48,4.46
22,Net Income,-12.05,0.34,0.63,3.7,16.6,1.85,-3.8,-6.39,-0.42,1.83,5.12,16.81,13.4,18.19,13.6,19.44
