,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Operating Revenue,29.78,5.24,44.23,-,91.99,126.79,181.9,215.74,95.24,109.62,79.64,34.81,99.89,91.15,88.93,125.42,86.39,77.28,37.24,223.82,Upgrade
1,Other Revenue,-2.48,2.48,-,-,-7.71,7.71,-,21.77,-1.4,5.86,-,5.96,-3.59,3.59,-,2.97,-2.31,2.31,-,8.93,Upgrade
2,Revenue,27.3,7.72,44.23,-,84.28,134.5,181.9,237.51,93.83,115.48,79.64,40.77,96.3,94.74,88.93,128.39,84.07,79.59,37.24,232.75,Upgrade
3,Revenue Growth (YoY),-67.61%,-94.26%,-75.68%,-,-10.18%,16.47%,128.39%,482.56%,-2.56%,21.90%,-10.44%,-68.25%,14.54%,19.03%,138.82%,-44.84%,-37.98%,-28.70%,-71.97%,-25.77%,Upgrade
4,Cost of Revenue,78.22,73.77,86.55,-,71.16,167.5,180.75,295.44,111.82,112.54,71.91,51.37,64.02,63.65,61.53,92.82,63.98,51.09,32.02,243.48,Upgrade
5,Gross Profit,-50.93,-66.05,-42.31,-,13.13,-33,1.14,-57.93,-17.98,2.94,7.73,-10.6,32.28,31.08,27.4,35.57,20.1,28.5,5.22,-10.73,Upgrade
6,"Selling, General & Admin",15.59,24.24,24.73,-,18.2,20.55,16.16,42.13,12.12,32.11,22.1,14.57,12.94,14.26,15.14,46.19,29.19,25.5,17.56,46.23,Upgrade
7,Research & Development,4.52,13.08,8.77,-,9.42,5.4,4.66,0.68,9.31,8.51,8.28,12.31,3.52,1.74,1.1,8.76,2.6,2.25,1.39,7.42,Upgrade
8,Other Operating Expenses,0.4,1.52,0.95,-,1.33,1.51,0.73,-9.98,0.72,1.16,-12.51,2.55,0.67,0.69,0.36,1.29,0.74,-0,2.13,4.89,Upgrade
9,Operating Expenses,22.39,37.86,35.83,-,29.09,28.05,22.67,51.15,35.19,70.69,27.55,81.98,24.82,19.96,24.18,54.49,40.96,28.89,26.22,71.97,Upgrade
10,Operating Income,-73.32,-103.91,-78.15,-,-15.96,-61.05,-21.52,-109.08,-53.18,-67.74,-19.82,-92.57,7.47,11.12,3.22,-18.92,-20.86,-0.39,-21.01,-82.69,Upgrade
11,Interest Expense,-34.8,-27.92,-24.75,-,-26.75,-20.03,-19.16,-17.28,-15.96,-13.77,-5.32,-8.52,-7.95,-4.14,-4,-5.23,-3.16,-2.18,-2.24,-7.26,Upgrade
12,Interest & Investment Income,0.47,5.4,1.01,-,5.5,1.78,0.87,20.61,1.07,0.18,0.59,1.28,0.02,0.3,0.03,0.03,0.08,0.46,2.46,-,Upgrade
13,Currency Exchange Gain (Loss),-0.94,0.94,-,-,-2.66,2.66,-,13.77,-7,7,-,-4,0.48,-0.48,-,-7.43,-2.45,2.45,-,0.91,Upgrade
14,Other Non Operating Income (Expenses),-1.16,-1.19,0.12,-,1.36,3.86,-4.38,-17.83,18.11,-3.76,-3.38,-2.43,2.03,-4.58,1.87,-5.84,3.29,-9.1,1.56,-10.62,Upgrade
15,EBT Excluding Unusual Items,-109.75,-126.68,-101.77,-,-38.52,-72.77,-44.19,-109.81,-56.96,-78.1,-27.93,-106.24,2.05,2.21,1.12,-37.4,-23.1,-8.77,-19.22,-99.66,Upgrade
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.14,-0.14,-,-,-,Upgrade
17,Gain (Loss) on Sale of Assets,-1.03,-0.36,-0.75,-,-0.12,0,-0.13,-0.28,0.01,-,-,-9.61,-,0.02,-,-1.04,-0.19,-0.26,-,-,Upgrade
