,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,2618,3834,3035,3914,6452,3562,5912,8480,9253,11018,11817,6839,8186,4074,4409,2648,1989,2316,2357,2162,2372,Upgrade
1,Market Cap Growth,7.64%,7.64%,-48.67%,-53.85%,-30.28%,-67.67%,-49.97%,24.01%,13.03%,170.47%,168.05%,158.24%,311.51%,75.93%,87.08%,22.48%,-16.12%,-5.80%,47.63%,33.47%,79.71%,Upgrade
2,Enterprise Value,4764,5835,5062,4748,7286,5336,6950,9033,9807,11630,12286,6960,8308,4184,4508,2807,2148,2441,2393,2183,2393,Upgrade
3,Last Close Price,12.12,17.75,14.05,18.12,29.87,16.49,27.37,39.26,42.84,51.01,54.71,31.66,37.90,18.86,20.41,12.26,9.21,10.72,10.91,10.01,10.98,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-50.39,-42.00,-23.66,-,-,-,-,-,Upgrade
5,Forward PE,-,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,Upgrade
6,PS Ratio,10.11,48.38,22.28,14.88,-,5.58,9.13,13.49,17.58,33.42,35.57,21.96,25.52,9.98,11.13,6.95,6.04,5.34,4.86,4.18,3.87,Upgrade
7,PB Ratio,-10.97,-10.97,-13.55,-53.18,-,-,-164.04,306.36,133.19,78.18,56.22,24.61,26.64,7.99,8.65,5.22,3.92,3.97,3.91,3.54,3.76,Upgrade
8,P/TBV Ratio,-,-,-,-,-,-,-,-,-,103.54,67.45,28.21,32.56,8.61,9.33,5.64,4.24,4.24,4.16,3.77,4.00,Upgrade
9,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-27.59,-,-,-,7.79,9.10,Upgrade
10,P/OCF Ratio,-,-,-,-,-,-10.02,-,-,-,-27.97,-,-,-,62.17,-,-30.04,-17.34,-,-,7.47,8.63,Upgrade
11,EV/Sales Ratio,18.39,73.64,37.16,18.05,-,8.36,10.73,14.37,18.63,35.27,36.98,22.35,25.90,10.24,11.38,7.37,6.52,5.63,4.93,4.22,3.91,Upgrade
12,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,84.92,201.11,167.61,-,-,-55.31,-,-,Upgrade
13,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,1448.63,-177.20,-75.95,-,-,-,-,-,Upgrade
14,EV/FCF Ratio,-12.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-29.25,-,-,-,7.87,9.18,Upgrade
15,Debt / Equity Ratio,-6.53,-6.53,-9.11,-28.62,-,-,-55.66,51.59,21.28,6.19,4.37,2.36,3.39,0.44,0.36,0.34,0.32,0.30,0.32,0.26,0.41,Upgrade
16,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,2.80,2.34,2.75,-,-,3.42,-,-,Upgrade
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1.81,-,-,-,0.57,0.98,Upgrade
18,Asset Turnover,0.04,0.01,-,-,-,0.19,0.27,0.44,0.20,0.26,0.18,0.11,0.35,0.36,0.35,0.51,0.32,0.29,0.12,0.70,Upgrade,
19,Inventory Turnover,-,3.61,2.91,-,-,-,4.11,4.88,6.83,2.22,2.52,1.83,1.44,2.00,2.17,2.10,2.66,1.68,1.41,0.94,5.25,Upgrade
20,Quick Ratio,0.07,0.07,0.03,0.05,-,-,0.19,0.41,0.40,0.46,0.52,0.59,0.42,0.92,0.93,0.93,0.90,0.91,0.99,1.06,1.06,Upgrade
21,Current Ratio,0.13,0.13,0.10,0.14,-,-,0.34,0.56,0.53,0.68,0.73,0.86,0.80,1.21,1.23,1.23,1.24,1.39,1.43,1.47,1.33,Upgrade
22,Return on Equity (ROE),-,-,-,-,-,-,-367.12%,-419.95%,-141.72%,-121.35%,-38.32%,-200.37%,0.38%,0.58%,0.25%,-60.28%,-15.92%,-4.14%,-12.16%,-59.03%,Upgrade,
23,Return on Assets (ROA),-6.26%,-9.08%,-,-,-,-5.38%,-2.02%,-12.57%,-7.00%,-9.45%,-2.81%,-15.33%,1.70%,2.65%,0.79%,-4.67%,-4.95%,-0.09%,-4.39%,-15.48%,Upgrade,
24,Return on Capital (ROIC),-9.77%,-13.50%,-,-,-,-8.91%,-3.58%,-21.30%,-12.41%,-16.43%,-4.34%,-22.22%,2.61%,4.04%,1.19%,-6.60%,-6.70%,-0.13%,-6.34%,-21.88%,Upgrade,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,-,-,-,0.50%,-4.63%,-6.73%,-,-,-,-,-,Upgrade
26,Earnings Yield,-20.60%,-9.15%,-9.56%,-5.47%,-,-8.08%,-4.78%,-3.39%,-2.96%,-3.30%,-2.54%,-3.40%,-2.47%,-1.98%,-2.38%,-4.23%,-6.59%,-6.36%,-5.20%,-4.99%,-3.72%,Upgrade
27,FCF Yield,-14.30%,-3.60%,-9.22%,-7.23%,-,-37.30%,-19.66%,-15.09%,-13.92%,-12.65%,-11.82%,-18.34%,-9.00%,0.79%,0.06%,-3.62%,-6.11%,-4.06%,-1.68%,12.84%,10.99%,Upgrade
28,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,197.52%,316.86%,306.94%,-,-,-,-,-,Upgrade
29,Buyback Yield / Dilution,0.02%,0.00%,0.02%,0.00%,-,-0.02%,-0.04%,0.02%,-0.61%,2.40%,-3.16%,1.22%,-1.47%,3.67%,0.00%,-4.65%,11.53%,-10.83%,11.78%,4.00%,25.17%,Upgrade
30,Total Shareholder Return,0.02%,0.00%,0.02%,0.00%,-,-0.02%,-0.04%,0.02%,-0.61%,2.40%,-3.16%,1.22%,-1.47%,3.67%,0.00%,-4.65%,11.53%,-10.83%,11.78%,4.00%,25.17%,Upgrade
