,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,135.08,35.6,63.36,-,-,268.85,433.66,369.21,316.61,303.31,184.8,141.89,101.01,72.83,72.85,13.33,15.81,64.89,120.97,249.36,Upgrade
1,Cash & Short-Term Investments,135.08,35.6,63.36,-,-,268.85,433.66,369.21,316.61,303.31,184.8,141.89,101.01,72.83,72.85,13.33,15.81,64.89,120.97,249.36,Upgrade
2,Cash Growth,-,-86.76%,-85.39%,-,-,-11.36%,134.66%,160.21%,213.45%,316.45%,153.68%,964.42%,539.06%,12.25%,-39.78%,-94.65%,-93.72%,-77.69%,-16.89%,299.64%,Upgrade
3,Accounts Receivable,29.21,26.29,40.75,-,-,69.29,24.86,36.1,196.15,277.67,309.1,291.34,382.58,374.84,344.24,339.32,285.92,268.75,238.72,272.3,Upgrade
4,Other Receivables,9.84,8.5,7.12,-,-,7.52,212.88,220.94,24.28,22.29,23.81,30.55,28.42,28.6,39.24,40.36,51.09,60.86,70.67,71.97,Upgrade
5,Receivables,39.05,34.79,47.86,-,-,76.81,237.75,257.05,220.42,299.95,332.9,321.89,411,403.44,383.49,379.68,337,329.61,309.39,344.27,Upgrade
6,Inventory,88.75,84.56,118.34,-,-,165.27,160.37,135.86,209.99,193.24,163.48,151.71,132.84,122.96,112.23,122.31,157.14,148.37,142.25,130.92,Upgrade
7,Prepaid Expenses,-,-,-,-,-,-,-,0.67,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
8,Other Current Assets,87.75,79.85,78.32,-,-,94.89,92.96,64.35,38.01,55.26,71.18,262.72,33.38,28.89,33.93,29.99,32.01,25.79,25.01,23.36,Upgrade
9,Total Current Assets,350.63,234.79,307.88,-,-,605.81,924.73,827.14,785.02,851.78,752.37,878.21,678.23,628.12,602.5,545.31,541.97,568.65,597.62,747.9,Upgrade
