,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 12, 2025","Nov '24 Nov 30, 2024","May '24 May 31, 2024","Nov '23 Nov 30, 2023","May '23 May 31, 2023","Nov '22 Nov 30, 2022","May '22 May 31, 2022","Nov '21 Nov 30, 2021","May '21 May 31, 2021","Nov '20 Nov 30, 2020","May '20 May 31, 2020"
0,Market Capitalization,31,39,49,57,129,165,189,331,285,-,-
1,Market Cap Growth,-32.55%,-32.55%,-62.14%,-65.14%,-31.76%,-50.34%,-33.59%,-,-,-,-
2,Enterprise Value,0,11,4,21,40,73,78,187,263,-,-
3,Last Close Price,0.10,0.13,0.18,0.21,0.58,0.74,0.85,1.49,1.17,-,-
4,PE Ratio,-,-,-,-,-,-,11.33,12.86,7.56,-,-
5,PS Ratio,0.14,0.19,0.22,0.30,0.65,0.75,0.89,1.16,0.82,-,-
6,PB Ratio,0.48,0.60,0.66,0.58,1.21,0.99,0.98,1.77,1.41,-,-
7,P/TBV Ratio,0.60,0.60,0.66,0.58,1.21,0.99,0.98,1.77,1.41,-,-
8,P/FCF Ratio,-,-,-,-,-,-33.66,-,-,14.12,-,-
9,P/OCF Ratio,-,-,-,-,-,7.54,41.84,-,8.31,-,-
10,EV/Sales Ratio,0.00,0.05,0.02,0.11,0.20,0.33,0.37,0.66,0.76,-,-
11,EV/EBITDA Ratio,-,-,-,-,-,-,2.75,4.38,4.90,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,4.22,5.44,5.67,-,-
13,EV/FCF Ratio,-0.01,-,-,-,-,-14.86,-,-,13.03,-,-
14,Debt / Equity Ratio,0.07,0.07,0.07,0.06,0.06,0.02,0.01,0.01,0.01,0.08,0.07
15,Debt / FCF Ratio,-,-,-,-,-,-0.70,-,-,0.08,0.26,0.44
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,9.22%,17.80%,22.23%,43.39%,40.17%
17,Earnings Yield,-117.15%,-94.44%,-90.37%,-137.87%,-67.48%,-13.01%,8.83%,7.78%,13.22%,-,-
18,FCF Yield,-85.62%,-69.02%,-54.86%,-80.48%,-31.65%,-2.97%,-12.68%,-3.83%,7.08%,-,-
19,Buyback Yield / Dilution,-18.66%,-17.35%,-20.07%,-7.80%,-,-,-0.90%,-33.33%,-,-,-
20,Total Shareholder Return,-18.66%,-17.35%,-20.07%,-7.80%,-,-,-0.90%,-33.33%,-,-,-
