,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Aug '23 Aug 31, 2023","Feb '23 Feb 28, 2023","Aug '22 Aug 31, 2022","Feb '22 Feb 28, 2022","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,267.39,332.06,241.66,321.67,227.72,287.24,204.97,162.45,125.58,136.4
1,Revenue Growth (YoY),10.65%,3.23%,6.12%,11.99%,11.10%,76.82%,63.22%,19.10%,9.49%,69.41%
2,Cost of Revenue,181.28,229.82,139.89,194.98,150.41,181.75,100.1,60.97,39.41,47.26
3,Gross Profit,86.12,102.24,101.77,126.7,77.31,105.49,104.86,101.48,86.17,89.13
4,"Selling, General & Admin",71.62,71.84,82.29,65.26,62.96,60.15,49.9,47.84,41.78,57.75
5,Other Operating Expenses,-43.24,-5.11,-30.58,-0.67,-4.79,-3.44,-7.08,-10.14,-2.44,-22.82
6,Operating Expenses,27.74,66.74,49.59,64.6,54.94,62.02,45.73,41.31,43.48,41.95
7,Operating Income,58.38,35.51,52.19,62.1,22.37,43.47,59.13,60.17,42.69,47.18
8,Interest Expense,-48.62,-49.79,-36.89,-41.32,-21.34,-37.6,-24.4,-10.65,-11.23,-10.39
9,Interest & Investment Income,0.17,0.2,0.38,0.19,0.17,0.92,0.82,2.66,0.51,0.11
10,Currency Exchange Gain (Loss),-0.17,0.08,-0.86,-0,2.87,-3.27,-0,-6.86,4.81,-1.51
11,Other Non Operating Income (Expenses),-0.9,-,-2.52,-,4.66,-,-,-,-,-
12,EBT Excluding Unusual Items,8.85,-14,12.29,20.96,8.72,3.53,35.54,45.32,36.78,35.4
13,Gain (Loss) on Sale of Investments,-0.01,-0,-0,0.01,-6.05,-36.47,0.89,-0.2,-0.41,2.75
14,Gain (Loss) on Sale of Assets,-0.14,-0.61,-,-,-,-,-0.02,0.04,-2.65,-0.09
15,Legal Settlements,22.31,-,-,-,-,-,-,-,-,-
16,Other Unusual Items,-,-,-,-,-,-,-,-,-,4.87
17,Pretax Income,31.02,-14.61,12.29,20.97,2.67,-32.94,36.41,45.15,33.72,42.92
18,Income Tax Expense,1.44,-0.4,-0.42,-,4.82,2.89,0.54,0.56,0.85,10
19,Net Income,29.58,-14.21,12.71,20.97,-2.16,-35.83,35.88,44.59,32.87,32.93
20,Net Income to Common,29.58,-14.21,12.71,20.97,-2.16,-35.83,35.88,44.59,32.87,32.93
21,Net Income Growth,132.77%,-,-,-,-,-,9.15%,35.42%,-35.10%,-2.03%
22,Shares Outstanding (Basic),960,960,960,960,960,960,960,960,960,736
23,Shares Outstanding (Diluted),1012,960,1012,960,960,960,960,960,982,757
24,Shares Change (YoY),-,-,5.44%,-,-,-,-2.20%,26.86%,38.25%,6.59%
25,EPS (Basic),0.03,-0.01,0.01,0.02,-0.00,-0.04,0.04,0.05,0.03,0.04
26,EPS (Diluted),0.03,-0.01,0.01,0.02,-0.00,-0.04,0.04,0.05,0.03,0.04
27,EPS Growth,182.42%,-,-,-,-,-,24.57%,13.50%,-57.14%,-13.55%
28,Free Cash Flow,175.02,-560.93,-203.41,-319.92,46,-115.33,-169.36,17.57,-86.11,81.56
29,Free Cash Flow Per Share,0.17,-0.58,-0.20,-0.33,0.05,-0.12,-0.18,0.02,-0.09,0.11
30,Operating Margin,21.83%,10.69%,21.60%,19.31%,9.82%,15.13%,28.85%,37.04%,34.00%,34.59%
31,Profit Margin,11.06%,-4.28%,5.26%,6.52%,-0.95%,-12.47%,17.50%,27.45%,26.17%,24.14%
32,Free Cash Flow Margin,65.45%,-168.93%,-84.17%,-99.46%,20.20%,-40.15%,-82.63%,10.82%,-68.57%,59.80%
33,EBITDA,109.73,83.85,90.61,116.41,64.49,84.27,84.69,76.4,58.56,62.51
34,D&A For EBITDA,51.36,48.34,38.42,54.31,42.12,40.8,25.56,16.23,15.86,15.33
35,EBIT,58.38,35.51,52.19,62.1,22.37,43.47,59.13,60.17,42.69,47.18
36,Advertising Expenses,-,-,-,-,-,-,-,-,0.04,-
