,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,36861,19236,20918,19537,24581,35753,31123,35978,39403,45901,44244,-,-,-,-,-,-
1,Market Cap Growth,-46.20%,-46.20%,-32.79%,-45.70%,-37.62%,-22.11%,-29.66%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,33835,16210,17627,15746,19879,31052,25705,30261,31758,38255,41805,-,-,-,-,-,-
3,Last Close Price,89.66,46.79,50.99,47.41,59.14,86.02,74.88,86.22,94.72,110.67,106.67,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,22.70,-,22.65,21.63,-,-,-,-,-,-
5,Forward PE,-,-,-,255.86,-,-,-,101.84,61.11,38.61,-,-,-,-,-,-,-
6,PS Ratio,11.54,5.99,8.12,7.30,8.71,12.28,9.90,10.86,10.85,10.85,10.12,-,-,-,-,-,-
7,PB Ratio,4.61,2.41,2.62,2.38,2.95,4.12,3.38,3.87,4.24,4.86,4.68,-,-,-,-,-,-
8,P/TBV Ratio,2.61,2.61,2.84,2.59,3.21,4.48,3.67,4.21,4.60,5.26,5.07,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,19.99,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,-41.09,-,-,-,-,17.32,-,-,-,-,-,-
11,EV/Sales Ratio,10.54,5.05,6.84,5.88,7.04,10.67,8.17,9.13,8.75,9.04,9.56,-,-,-,-,-,-
12,EV/EBITDA Ratio,-,-,-,-,-,-,-91.64,-,-,-,70.44,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,-,-50.21,-,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-,-,-,-,-,18.89,-,-,-,-,-,-
15,Debt / Equity Ratio,0.07,0.07,0.07,0.07,0.05,0.05,0.04,0.05,0.02,0.02,0.01,0.03,0.04,0.04,-,-,0.21
16,Debt / EBITDA Ratio,-,-,-,-,-,-,1.48,-,-,-,0.78,0.31,0.09,0.54,-,-,0.61
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,0.06,-,0.23,0.21,-,-,5.12
18,Asset Turnover,-,0.27,0.27,0.21,0.26,0.27,0.30,0.23,0.33,0.41,-,-,-,-,-,-,
19,Inventory Turnover,-,-,0.50,1.40,0.63,1.51,0.30,1.42,0.82,1.80,1.05,-,-,-,-,-,-
20,Quick Ratio,-,-,3.79,4.54,3.82,3.70,4.49,3.82,5.22,4.50,3.96,1.94,-,1.86,-,-,-
21,Current Ratio,-,-,4.88,5.81,4.92,4.71,5.85,4.83,6.45,5.44,4.64,2.82,-,2.55,-,-,-
22,Return on Equity (ROE),-6.63%,-8.17%,-4.78%,-9.51%,-18.36%,-4.37%,2.33%,-6.41%,0.14%,96.88%,0.06%,33.58%,-,-,-,23.78%,
23,Return on Assets (ROA),-,-2.86%,-3.11%,-4.24%,-13.39%,0.30%,-2.54%,-2.86%,-6.26%,-0.11%,-,-,-,-,-,-,
24,Return on Capital (ROIC),-3.46%,-3.27%,-3.55%,-4.90%,-15.40%,0.35%,-2.94%,-3.29%,-7.48%,-0.14%,1.55%,22.64%,-,-,-,15.17%,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-,-5.32%,-,-,-,-,13.59%,-,-,-,-,-
26,Earnings Yield,-1.63%,-3.11%,-4.17%,-4.13%,-2.68%,-1.70%,-0.62%,4.40%,3.89%,4.41%,4.62%,-,-,-,-,-,-
27,FCF Yield,-,-6.57%,-7.94%,-6.12%,-4.55%,-8.75%,-1.27%,-0.28%,1.05%,5.00%,-,-,-,-,-,-,
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,0.33%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,-,-,2.20%,-,3.28%,-,-,0.09%,1.38%,0.78%,3.12%,3.12%
30,Buyback Yield / Dilution,0.70%,1.33%,4.17%,-4.37%,1.44%,-1.70%,-9.02%,-6.80%,-11.89%,-11.31%,-3.08%,-0.31%,0.57%,-,-,-,-
31,Total Shareholder Return,0.70%,1.33%,4.17%,-4.37%,1.44%,-1.70%,-9.02%,-6.80%,-11.89%,-10.99%,-3.08%,-0.31%,0.57%,-,-,-,-
