,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,3623,3920,4224,4776,5155,5878,5918,6475,7817,2562,-,2608,-,-,-
1,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,35.29,-,-,-,-,-
2,Cash & Short-Term Investments,3623,3623,3920,4224,4776,5155,5878,5918,6475,7817,2597,2608,2608,-,-,2811
3,Cash Growth,-24.15%,-29.72%,-33.31%,-28.62%,-26.24%,-34.05%,126.36%,126.88%,148.26%,-,-,-7.22%,-,-,-,-
4,Accounts Receivable,-,1200,986.13,751.78,697.16,777.95,757.38,651.43,706.26,542.55,518.08,-,493.64,-,-,-
5,Other Receivables,-,25.68,27.22,26.52,27.61,25.2,34.9,36.1,28.4,35.53,9.54,-,21.41,-,-,-
6,Receivables,-,1226,1013,778.3,724.77,803.15,792.27,687.53,734.66,578.08,527.62,-,515.05,-,-,-
7,Inventory,-,1139,1094,1153,1206,1523,1479,1346,1301,1245,1191,-,955.82,-,-,-
8,Other Current Assets,-,249.88,284.69,296.67,290.76,287.18,271.86,210.72,205.75,189.52,228.17,-,188.29,-,-,-
9,Total Current Assets,-,6238,6312,6452,6998,7768,8422,8162,8717,9830,4543,-,4267,-,-,-
10,"Property, Plant & Equipment",-,2620,2554,2483,2441,2101,1937,1537,1496,946.84,813.15,-,772.81,-,-,-
11,Long-Term Investments,-,162.4,164.2,153.32,133.35,78.92,105.22,106.22,106.21,60.11,59.84,-,51.83,-,-,-
12,Other Intangible Assets,-,606.25,631.74,635.67,659.28,689.48,699.59,671.36,687.75,683.11,599.37,-,649.65,-,-,-
13,Long-Term Deferred Tax Assets,-,130.24,121.79,104.77,114.92,115.98,127.18,111.75,94.6,82.8,53.77,-,44.64,-,-,-
14,Long-Term Deferred Charges,-,140.93,123.87,113.46,112.82,79.6,80.22,84.71,70.65,54.93,58.07,-,66.51,-,-,-
15,Other Long-Term Assets,-,43.48,57.86,95.19,97.57,110.71,60.82,47.49,45.99,78.42,44.98,-,90.31,-,-,-
16,Total Assets,-,9941,9966,10038,10557,10944,11432,10721,11218,11736,6172,-,5943,-,-,-
17,Accounts Payable,-,293.82,218.59,182.69,215.72,355.02,361.54,346.86,459.87,461.4,526.09,-,347.3,-,-,-
18,Accrued Expenses,-,135.02,257.58,240.22,310.05,156.19,357.47,145.79,379.89,142.26,265.74,-,355.13,-,-,-
19,Short-Term Debt,-,-,-,100.08,100.08,100.07,100.07,50.04,50.04,-,-,-,30.04,-,-,-
20,Current Portion of Long-Term Debt,-,-,10.79,45.93,0.55,-,0.55,-,-,-,-,-,-,-,-,-
21,Current Portion of Leases,-,60.47,45.25,-,48.22,42.04,49.92,44.12,42.42,45.39,34.23,-,35.03,-,-,-
22,Current Income Taxes Payable,-,149.2,115.28,131.39,115.18,160.71,121.83,148.03,126.07,736.14,80.51,-,91.03,-,-,-
23,Current Unearned Revenue,-,148.83,124.78,168.26,165.13,172.29,217.3,249.77,283.69,264,351.82,-,444.85,-,-,-
24,Other Current Liabilities,-,491.34,313.33,441.88,530.81,340.53,535.68,280.54,260.08,469.39,354.55,-,371.98,-,-,-
25,Total Current Liabilities,-,1279,1086,1310,1486,1327,1744,1265,1602,2119,1613,-,1675,-,-,-
26,Long-Term Debt,-,487.1,489.2,199.3,199.4,199.5,199.6,-,-,-,-,-,-,-,-,-
27,Long-Term Leases,-,42.48,46.75,50.25,60.13,71.46,69.07,67.33,77.69,84.31,81.17,-,92.48,-,-,-
28,Long-Term Unearned Revenue,-,140.49,93.96,98.43,96.66,98.69,93.8,65.48,48.86,43.4,45.61,-,49.28,-,-,-
29,Long-Term Deferred Tax Liabilities,-,2.19,2.14,2.13,2.13,0.9,0.91,0.75,0.88,1.35,2.13,-,4.9,-,-,-
30,Other Long-Term Liabilities,-,-,40.04,39.41,38.78,38.14,37.5,36.87,36.24,35.6,34.96,-,46.51,-,-,-
31,Total Liabilities,-,1951,1758,1700,1883,1736,2145,1436,1766,2283,1777,-,1869,-,-,-
32,Common Stock,-,415.64,415.64,415.64,415.64,415.64,415.64,414.33,414.33,413.11,371.79,-,371.79,-,-,-
33,Additional Paid-In Capital,-,8836,8781,8781,8781,8780,8776,8736,8733,8696,5437,-,5457,-,-,-
34,Retained Earnings,-,-878,-712.87,-615.63,-414.65,-4.92,94.83,192.67,342.48,337.99,-1340,-,-1684,-,-,-
35,Treasury Stock,-,-349.99,-300.01,-265.01,-119.7,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-,-40.07,-12.48,-15.97,-27.67,-22.63,-41.26,-97.23,-76.72,-35.41,-115.23,-,-137.35,-,-,-
37,Total Common Equity,7984,7984,8171,8300,8634,9168,9245,9246,9413,9411,4353,4007,4007,-,-,3493
38,Minority Interest,-,6.47,36.82,38.52,39.8,40.38,41.67,39.27,39.49,41.64,42.85,-,67.63,-,-,-
39,Shareholders' Equity,7990,7990,8208,8338,8674,9208,9287,9286,9453,9453,4396,4075,4075,-,-,3556
40,Total Liabilities & Equity,-,9941,9966,10038,10557,10944,11432,10721,11218,11736,6172,-,5943,-,-,-
41,Total Debt,590.05,590.05,591.99,395.56,408.38,413.06,419.21,161.48,170.15,129.69,115.4,157.55,157.55,-,-,750.19
42,Net Cash (Debt),3033,3033,3328,3829,4368,4742,5459,5756,6305,7687,2481,2451,2451,-,-,2061
43,Net Cash Growth,-30.57%,-36.04%,-39.03%,-33.48%,-30.73%,-38.31%,119.99%,134.88%,157.28%,-,-,18.90%,-,-,-,-
