,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,1341,678.87,659.46,530.74,663.36,768.61,816.2,619,917.15,934.92,1135,1220,1050,916.23,965.18,965.18
1,Other Revenue,-,-19.04,19.04,-,44.04,-8.25,8.25,-,23.92,-5.96,5.96,-,31.78,-28.38,14.19,14.19
2,Revenue,1341,659.83,678.49,530.74,707.4,760.36,824.45,619,941.07,928.96,1141,1220,1082,887.85,979.37,979.37
3,Revenue Growth (YoY),89.61%,-13.22%,-17.70%,-14.26%,-24.83%,-18.15%,-27.74%,-49.25%,-13.03%,4.63%,16.50%,24.55%,-,-,-,-
4,Cost of Revenue,-720.11,140.27,393.04,186.8,514.53,113.55,500.62,272.92,573.24,320.33,704.04,446.02,473.92,266,309.02,309.02
5,Gross Profit,2061,519.57,285.45,343.94,192.87,646.81,323.83,346.08,367.83,608.63,436.93,773.77,608.12,621.84,670.36,670.36
6,"Selling, General & Admin",-1031,386.93,317.73,326.83,448.23,333.91,310.65,267.53,325.2,326.06,340.17,230.15,427.35,258.77,275.34,275.34
7,Research & Development,-553.5,286.42,64.63,202.46,267.86,334.55,88.78,218.8,289.05,299.95,69.2,156.17,151.76,173,141.77,141.77
8,Other Operating Expenses,3785,-49.84,20.59,-13.93,16.8,-39.1,25.17,-16.93,39.06,-14.96,-14.09,-2.77,29.3,-22.83,1.28,1.28
9,Operating Expenses,2180,633.26,410.03,518.56,768.85,633.42,436.37,471.71,655.07,612.6,409.8,390.45,610.8,409.95,409.05,409.05
10,Operating Income,-118.71,-113.7,-124.58,-174.62,-575.98,13.39,-112.53,-125.63,-287.23,-3.97,27.13,383.32,-2.69,211.89,261.31,261.31
11,Interest Expense,-52.99,-7.45,-4.8,-3.85,-3.22,-4,-3.88,-2.31,-1.93,-2.37,-3.32,-0.95,-1.58,-3.4,-8.19,-8.19
12,Interest & Investment Income,16.11,16.12,15.5,21.36,58.38,20.49,30.32,19.96,26.36,11.12,4.75,5.84,17.5,8.14,6.87,6.87
13,Earnings From Equity Investments,-,-,0.03,-0.03,-,-,-0.02,0.02,-,-,-,-,-,-,-,-
14,Currency Exchange Gain (Loss),-,30.12,-30.12,-,25.2,-66.64,66.64,-,114.45,-1.49,1.49,-,-122.22,-,-,-
15,Other Non Operating Income (Expenses),9.77,-12.71,23.18,-25.22,-38.61,33.44,4.42,-2.72,-2283,2283,14.15,-16.85,167.19,-125.6,-22.58,-22.58
16,EBT Excluding Unusual Items,-145.83,-87.62,-120.79,-182.35,-534.23,-3.32,-15.04,-110.68,-2432,2287,44.2,371.37,58.2,91.03,237.41,237.41
17,Gain (Loss) on Sale of Investments,2.51,-1.17,-1.35,-,-0.58,-1.31,-0.98,-,-6.28,-29.3,-21.91,6.32,20.6,5.23,-0.13,-0.13
18,Gain (Loss) on Sale of Assets,-0.93,1.02,-0.11,0.02,-0.8,2.01,-0.13,0,-2.78,0.81,-0.21,-0.29,-2.05,0.08,-0,-0
19,Asset Writedown,26.52,-26.52,1.1,-1.1,42.45,-46.9,32.71,-32.71,36.08,-36.08,11.6,-11.6,29.52,-29.52,-,-
20,Legal Settlements,-,-,-,-,18.69,-17.21,17.21,-,2279,9.93,-9.93,-,-89.36,30.39,-15.19,-15.19
21,Other Unusual Items,-1.69,-40.62,42.24,0.07,60.25,-33.59,33.59,-,35.79,-,-,-,37.75,-17.43,8.72,8.72
22,Pretax Income,-119.41,-154.91,-78.9,-183.37,-414.23,-100.33,67.36,-143.38,-90.2,2232,23.76,365.79,54.66,79.78,230.8,230.8
