,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,3815,4985,5432,4997,5686,5628,6128,5959,6685,5977,6675,Upgrade
1,Market Cap Growth,-0.25%,-0.25%,-4.47%,-11.20%,-7.21%,-5.56%,-8.33%,-0.30%,0.14%,2.90%,0.08%,Upgrade
2,Enterprise Value,4265,5429,6021,5566,6240,6100,6409,6393,7139,6363,6847,Upgrade
3,Last Close Price,3.52,4.56,4.83,4.38,4.84,4.75,4.94,4.72,5.09,4.47,4.86,Upgrade
4,PE Ratio,19.42,25.29,23.12,20.08,24.36,17.41,13.89,14.10,18.43,20.88,21.85,Upgrade
5,Forward PE,-,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,10.23,Upgrade
6,PS Ratio,2.09,2.73,2.84,2.63,2.93,2.69,2.59,2.60,3.29,3.19,3.32,Upgrade
7,PB Ratio,2.05,2.68,2.76,2.66,2.84,2.85,2.72,2.88,3.21,3.29,3.52,Upgrade
8,P/TBV Ratio,2.68,2.68,2.77,2.66,2.85,2.86,2.73,2.89,3.22,3.30,3.53,Upgrade
9,P/FCF Ratio,11.64,15.21,11.89,17.25,16.34,21.10,-,12.90,21.46,24.60,23.46,Upgrade
10,P/OCF Ratio,11.80,11.80,10.09,13.21,12.41,14.28,16.18,11.05,18.47,20.77,19.68,Upgrade
11,EV/Sales Ratio,2.33,2.97,3.15,2.93,3.22,2.92,2.71,2.79,3.51,3.40,3.41,Upgrade
12,EV/EBITDA Ratio,9.00,14.02,13.96,12.29,14.63,11.06,8.74,8.64,10.72,11.64,11.98,Upgrade
13,EV/EBIT Ratio,14.27,18.43,17.73,15.25,18.68,13.20,9.94,9.85,12.31,13.54,13.90,Upgrade
14,EV/FCF Ratio,13.01,16.57,13.18,19.22,17.93,22.87,-,13.84,22.92,26.19,24.06,Upgrade
15,Debt / Equity Ratio,0.44,0.44,0.38,0.48,0.48,0.49,0.41,0.39,0.42,0.52,0.39,Upgrade
16,Debt / FCF Ratio,2.52,2.52,1.64,3.13,2.78,3.60,-,1.73,2.77,3.89,2.60,Upgrade
17,Return on Capital Employed (ROCE),13.29%,13.29%,14.99%,16.85%,14.61%,20.69%,25.94%,28.57%,25.20%,23.56%,23.71%,Upgrade
18,Earnings Yield,5.17%,3.95%,4.32%,4.98%,4.10%,5.74%,7.20%,7.09%,5.43%,4.79%,4.58%,Upgrade
19,FCF Yield,8.59%,6.57%,8.41%,5.80%,6.12%,4.74%,4.25%,7.75%,4.66%,4.07%,4.26%,Upgrade
20,Dividend Yield,4.76%,3.23%,3.56%,3.85%,3.36%,5.53%,6.46%,6.12%,5.23%,4.52%,4.24%,Upgrade
21,Buyback Yield / Dilution,0.16%,0.46%,-0.15%,0.27%,0.85%,0.39%,0.84%,0.83%,2.96%,5.52%,6.47%,Upgrade
22,Total Shareholder Return,4.91%,3.69%,3.41%,4.12%,4.21%,5.92%,7.31%,6.94%,8.18%,10.04%,10.71%,Upgrade
