,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,346.13,275.13,289.11,348.44,341.39,238.38,293.73,361,447.68,190.97,Upgrade
1,Short-Term Investments,-,-,-,-,-,130,130,-,-,123.19,Upgrade
2,Trading Asset Securities,3.33,3.32,3.73,4.14,4.4,5,5.49,1,-,2.71,Upgrade
3,Cash & Short-Term Investments,349.46,278.45,292.84,352.59,345.79,373.38,429.22,362,447.68,316.87,Upgrade
4,Cash Growth,19.34%,-21.03%,-15.31%,-5.57%,-19.44%,3.14%,-4.12%,14.24%,15.95%,-56.21%,Upgrade
5,Accounts Receivable,170.74,241.21,205.78,275.9,214.97,356.8,232.92,305.1,238.82,307.29,Upgrade
6,Other Receivables,10.69,7.05,6.24,6.41,6.09,24.09,20.39,16.26,13.23,12.71,Upgrade
7,Receivables,181.43,248.27,212.02,282.3,221.06,380.9,253.31,321.35,252.06,320,Upgrade
8,Inventory,1043,1035,1049,1090,1030,1074,912.82,883.27,828.35,798.03,Upgrade
9,Prepaid Expenses,17.23,19.56,15.98,18.69,21.75,29.42,18.12,31.29,18.84,21.62,Upgrade
10,Restricted Cash,3.38,1.8,2.4,-,-,-,-,4,4,4,Upgrade
11,Other Current Assets,34.01,23.61,35.34,34.57,22.67,23.16,27.08,24.3,21.11,24.07,Upgrade
12,Total Current Assets,1628,1606,1607,1778,1641,1881,1641,1626,1572,1485,Upgrade
13,"Property, Plant & Equipment",1099,1082,1120,1136,1133,1118,992.91,1039,1066,1109,Upgrade
14,Long-Term Investments,97.11,178.51,164.4,115.15,113.75,112.8,110.67,132.97,129.84,137.59,Upgrade
15,Goodwill,-,2.82,-,2.82,1.08,2.82,1.74,1.74,1.74,1.74,Upgrade
16,Other Intangible Assets,3.93,1.63,5.13,2.9,5.1,1.77,1.96,2.26,1.29,1.7,Upgrade
17,Long-Term Deferred Tax Assets,46.8,47.34,44.35,45.01,44.47,46.75,41.79,47.75,50.25,50.87,Upgrade
18,Other Long-Term Assets,81.9,82.76,85.13,59.96,34.84,48.71,42.2,117.89,116.81,117.41,Upgrade
19,Total Assets,2956,3002,3026,3139,2973,3212,2832,2968,2938,2903,Upgrade
20,Accounts Payable,80.71,127.73,81.57,136.07,116.56,166.59,121.85,144.74,127,218.17,Upgrade
21,Accrued Expenses,42.59,64.91,44.51,57.74,51.22,51.82,41.99,50.35,37.34,54.03,Upgrade
22,Short-Term Debt,-,-,-,-,652.9,619.4,530.8,586.6,712.6,510,Upgrade
23,Current Portion of Long-Term Debt,515.76,481.1,629.83,658.43,-,-,-,-,0.85,0.83,Upgrade
24,Current Portion of Leases,44.51,42.22,50.58,45.52,40,37.13,41.88,37.46,43.61,49.06,Upgrade
25,Current Income Taxes Payable,37.02,46.97,40.24,45.84,34.06,52.41,43.58,54.71,45.23,54.08,Upgrade
26,Current Unearned Revenue,64.57,75.61,69.95,72.72,77.67,74.25,71.39,75.44,77.92,85.83,Upgrade
27,Other Current Liabilities,108.06,107.1,105.11,100.77,93.94,185.8,91.15,81.15,74.94,73.31,Upgrade
28,Total Current Liabilities,893.22,945.64,1022,1117,1066,1187,942.63,1030,1119,1045,Upgrade
29,Long-Term Debt,69.96,39.96,9.8,19.7,19.8,-,-,-,5.45,5.88,Upgrade
30,Long-Term Leases,137.72,118.16,148.06,132.07,105.97,101.1,90.23,102.91,99.05,95.77,Upgrade
31,Long-Term Unearned Revenue,43.12,42.88,41.78,42.48,43.27,44.05,32.07,32.79,32.86,33.93,Upgrade
32,Long-Term Deferred Tax Liabilities,73.23,69.49,62.95,58.09,50.93,46.7,48.87,50.05,24.67,27.94,Upgrade
33,Other Long-Term Liabilities,6,-,-,-,-,-,-,-,-,-,Upgrade
34,Total Liabilities,1223,1216,1284,1369,1286,1379,1114,1216,1281,1209,Upgrade
35,Common Stock,89.29,89.47,89.71,89.78,89.9,90.03,90.27,90.57,91.07,91.27,Upgrade
36,Retained Earnings,1990,2041,1977,2004,1911,2053,1925,1949,1816,1846,Upgrade
