,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,318,318,359,341,346,328,374,392,287,265,238,Upgrade
1,Market Cap Growth,-6.67%,-6.67%,3.94%,4.07%,-7.55%,-16.42%,30.08%,47.95%,20.96%,-9.38%,-24.64%,Upgrade
2,Enterprise Value,22,-5,-16,9,45,44,144,210,163,200,140,Upgrade
3,Last Close Price,0.35,0.35,0.36,0.34,0.27,0.26,0.28,0.29,0.21,0.19,0.17,Upgrade
4,PE Ratio,4.05,4.05,4.22,4.03,4.35,5.24,6.22,7.91,10.04,14.26,41.73,Upgrade
5,Forward PE,-,12.84,12.84,12.84,12.84,12.84,12.84,12.84,12.84,12.84,12.84,Upgrade
6,PS Ratio,0.40,0.40,0.46,0.40,0.39,0.39,0.46,0.52,0.45,0.46,0.39,Upgrade
7,PB Ratio,0.41,0.41,0.48,0.47,0.45,0.45,0.53,0.57,0.43,0.41,0.37,Upgrade
8,P/TBV Ratio,0.41,0.41,0.48,0.47,0.45,0.45,0.53,0.57,0.44,0.41,0.37,Upgrade
9,P/FCF Ratio,3.02,3.02,2.49,2.64,3.86,2.64,2.31,2.43,1.84,2.12,2.62,Upgrade
10,P/OCF Ratio,2.66,2.66,2.33,2.63,3.50,2.42,2.17,2.26,1.78,2.09,2.52,Upgrade
11,EV/Sales Ratio,0.03,-,-,0.01,0.05,0.05,0.18,0.28,0.25,0.35,0.23,Upgrade
12,EV/EBITDA Ratio,0.21,-,-,0.11,0.48,0.54,2.01,3.57,4.16,8.71,15.95,Upgrade
13,EV/EBIT Ratio,0.32,-,-,0.12,0.52,0.58,2.10,3.65,4.29,9.26,19.17,Upgrade
14,EV/FCF Ratio,0.21,-,-,0.07,0.50,0.36,0.89,1.30,1.04,1.60,1.54,Upgrade
15,Debt / Equity Ratio,0.15,0.15,0.13,0.15,0.05,0.12,0.16,0.19,0.19,0.20,0.24,Upgrade
16,Debt / FCF Ratio,1.12,1.12,0.70,0.84,0.46,0.69,0.71,0.83,0.80,1.04,1.70,Upgrade
17,Return on Capital Employed (ROCE),8.64%,8.89%,10.43%,11.06%,11.08%,10.17%,9.42%,7.85%,5.35%,3.09%,1.03%,Upgrade
18,Earnings Yield,24.67%,24.67%,23.72%,24.80%,23.00%,19.07%,16.07%,12.64%,9.96%,7.01%,2.40%,Upgrade
19,FCF Yield,33.16%,33.16%,40.21%,37.81%,25.88%,37.84%,43.35%,41.24%,54.49%,47.22%,38.23%,Upgrade
20,Dividend Yield,8.57%,8.67%,8.29%,7.07%,8.74%,7.77%,7.11%,1.37%,-,-,-,Upgrade
21,Buyback Yield / Dilution,0.03%,0.00%,0.05%,0.21%,0.21%,0.05%,0.17%,0.21%,0.04%,-,-,Upgrade
22,Total Shareholder Return,8.60%,8.68%,8.34%,7.28%,8.95%,7.81%,7.29%,1.58%,0.04%,-,-,Upgrade
