,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H1 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Jun '19 Jun 30, 2019"
0,Cash & Equivalents,13.43,16.98,6.22,4.05,8.5,10.65,10.12,17.07,14.87,-
1,Short-Term Investments,0.33,0.21,0.49,0.23,0.84,0.93,1.05,0.75,0.65,-
2,Trading Asset Securities,0.33,-,-,-,-,-,1.49,1.42,-,-
3,Cash & Short-Term Investments,14.09,17.19,6.71,4.28,9.34,11.58,12.65,19.23,15.53,-
4,Cash Growth,109.97%,301.92%,-28.17%,-63.06%,-26.15%,-39.80%,-18.53%,-,-,-
5,Accounts Receivable,19.2,22.85,34.15,32.28,32.76,41.37,29.09,38.85,35.1,-
6,Other Receivables,0.91,0.22,0.02,0.02,0.01,0.04,0.02,0.47,0.32,-
7,Receivables,20.11,23.07,34.17,32.3,32.77,41.41,29.1,39.31,35.41,-
8,Inventory,0.18,-,-,-,-,-,-,-,-,-
9,Prepaid Expenses,0.3,0.24,0.15,0.37,0.2,0.19,0.49,0.61,4.73,-
10,Other Current Assets,2.43,2.47,2.18,2.68,1.67,1.83,1.69,1.69,1.56,-
11,Total Current Assets,37.1,42.97,43.22,39.63,43.98,55,43.94,60.85,57.22,-
12,"Property, Plant & Equipment",0.99,1.25,1.62,1.84,2.3,2.6,3,3.49,3.15,-
13,Goodwill,3.86,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,2.05,-,-,-,-,-,-,-,-,-
15,Total Assets,44,44.22,44.83,41.47,46.29,57.6,46.94,64.34,60.38,-
16,Accounts Payable,4.48,6.66,6.4,8.05,7.77,8.04,6.48,14.1,9.99,-
17,Accrued Expenses,2.51,3.57,1.41,1.89,1.09,1.5,1.73,2.94,1.19,-
18,Short-Term Debt,5.64,-,-,4.37,6.21,8.32,3.81,9.48,7,-
19,Current Portion of Long-Term Debt,1.94,1,1,1,1,1,1,1,-,-
20,Current Portion of Leases,0.18,0.21,0.22,0.2,0.24,0.27,0.29,0.28,0.14,-
21,Current Income Taxes Payable,0.23,-,-,-,-,0,-,0.21,1.85,-
22,Current Unearned Revenue,0.02,0.18,0.05,0.03,0.03,0.12,0.1,0.84,1.48,-
23,Other Current Liabilities,14.89,19.45,21.17,13.09,15.48,23.05,16.74,17.84,9.21,-
24,Total Current Liabilities,29.88,31.07,30.27,28.63,31.82,42.29,30.14,46.7,30.86,-
25,Long-Term Debt,0.08,0.58,1.08,1.58,2.08,2.58,3.08,3.58,-,-
26,Long-Term Leases,0.22,0.2,0.3,0.28,0.33,0.37,0.44,0.58,0.51,-
27,Long-Term Deferred Tax Liabilities,0.52,0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,-
28,Total Liabilities,30.7,31.86,31.67,30.5,34.24,45.25,33.67,50.87,31.37,-
29,Common Stock,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,-
30,Additional Paid-In Capital,29.73,29.73,29.73,29.73,29.73,29.73,29.73,29.73,29.73,-
31,Retained Earnings,-5.73,-6.12,-5.32,-7.52,-6.45,-6.16,-5.24,-5.04,10.49,-
32,Comprehensive Income & Other,-13.08,-13.08,-13.08,-13.07,-13.06,-13.05,-13.05,-13.05,-13.05,-
33,Total Common Equity,12.75,12.36,13.16,10.97,12.05,12.35,13.27,13.47,29.01,-
34,Minority Interest,0.55,-,-,-,-,-,-,-,-,-
35,Shareholders' Equity,13.3,12.36,13.16,10.97,12.05,12.35,13.27,13.47,29.01,-
36,Total Liabilities & Equity,44,44.22,44.83,41.47,46.29,57.6,46.94,64.34,60.38,-
37,Total Debt,8.07,2,2.61,7.44,9.86,12.54,8.61,14.92,7.64,-
38,Net Cash (Debt),6.02,15.19,4.1,-3.16,-0.52,-0.96,4.04,4.31,7.88,-
39,Net Cash Growth,46.88%,-,-,-,-,-,-48.78%,-,-,-
40,Net Cash Per Share,0.01,0.02,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.01,-
41,Filing Date Shares Outstanding,1000,1000,1000,1000,1000,1000,1000,1000,1000,750
42,Total Common Shares Outstanding,1000,1000,1000,1000,1000,1000,1000,1000,1000,750
43,Working Capital,7.22,11.9,12.95,11.01,12.17,12.71,13.81,14.16,26.37,-
44,Book Value Per Share,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,-
45,Tangible Book Value,6.84,12.36,13.16,10.97,12.05,12.35,13.27,13.47,29.01,-
46,Tangible Book Value Per Share,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,-
47,Buildings,-,5.46,-,5.46,-,5.46,-,5.46,5.46,-
48,Machinery,-,2.56,-,2.53,-,2.51,-,2.45,2.01,-
