,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,342.75,671.28,734.5,874.39,806.3,1022,1080,2168,1836,1957
1,Other Revenue,11.41,-,5.32,-,-,-,-,-,-,-
2,Revenue,354.16,671.28,739.82,874.39,806.3,1022,1080,2168,1836,1957
3,Revenue Growth (YoY),-52.13%,-23.23%,-8.25%,-14.47%,-25.36%,-52.84%,-41.17%,10.79%,11.20%,-
4,Cost of Revenue,327.02,615.39,665.64,782.08,715.68,958.91,1003,1956,1613,1743
5,Gross Profit,27.14,55.89,74.18,92.31,90.62,63.39,77.24,211.63,223.3,213.29
6,"Selling, General & Admin",41.54,60.82,47.2,55.1,49.06,64.19,62.94,81.93,62.25,82.14
7,Research & Development,6.05,17.12,8.94,11.6,-,8.07,-,-,-,-
8,Other Operating Expenses,2.04,-11.2,4.45,-3.96,-1.79,-18.3,-3.38,15.13,-5.45,-1.68
9,Operating Expenses,37.3,66.58,68.36,70.75,57.54,69.27,56.02,97.06,56.8,80.46
10,Operating Income,-10.16,-10.7,5.82,21.56,33.09,-5.88,21.22,114.58,166.5,132.83
11,Interest Expense,-12.5,-9.81,-9.4,-7.85,-7.17,-3.71,-3.81,-4.1,-3.35,-3.3
12,Interest & Investment Income,0.62,1.14,1.16,1.53,2.48,3.38,6.56,2.34,2.41,0.64
13,Currency Exchange Gain (Loss),0.01,-0.08,0.34,0.82,0.7,-0.28,-0.37,-1.41,1.58,-1.36
14,Other Non Operating Income (Expenses),0.38,-0.29,-6.42,-0.71,-0.72,-2.87,-0.27,-0.41,-0.12,-0.33
15,EBT Excluding Unusual Items,-21.66,-19.74,-8.49,15.36,28.37,-9.36,23.33,110.99,167.03,128.47
16,Gain (Loss) on Sale of Investments,-3,-,-0.99,-,-,-,-,7.76,-7.76,-6.98
17,Gain (Loss) on Sale of Assets,1.52,-1.54,0.14,0.23,-0.11,1.46,0.13,-0.03,-0,-1.16
18,Asset Writedown,-0.08,0.52,0.01,-,-,-,-,-,-,-
19,Legal Settlements,-1.58,-6.9,-6,-4.8,-1.08,-0.52,-,-,-,-
20,Other Unusual Items,0.28,-0.09,1.05,-1.57,-,-,-,-,-,-
21,Pretax Income,-24.51,-27.75,-14.27,9.22,27.18,-8.42,23.46,118.71,159.27,120.33
22,Income Tax Expense,3.43,-6.54,-3.63,0.04,6.48,3.07,5.28,23.07,27.82,14.05
23,Earnings From Continuing Operations,-27.95,-21.2,-10.63,9.17,20.7,-11.49,18.18,95.64,131.45,106.28
24,Minority Interest in Earnings,2.46,0.93,-2.34,-0.75,-1.95,-1.77,-4.23,-11.78,-8.86,-6.39
25,Net Income,-25.49,-20.27,-12.98,8.42,18.75,-13.26,13.96,83.86,122.59,99.89
26,Net Income to Common,-25.49,-20.27,-12.98,8.42,18.75,-13.26,13.96,83.86,122.59,99.89
27,Net Income Growth,-,-,-,-,34.36%,-,-88.62%,-16.05%,18.11%,-
28,Shares Outstanding (Basic),425,446,433,446,446,446,446,446,446,357
29,Shares Outstanding (Diluted),425,446,433,446,446,446,446,446,446,357
30,Shares Change (YoY),-1.81%,-,-3.06%,-,-,-,-,24.96%,42.86%,-
31,EPS (Basic),-0.06,-0.05,-0.03,0.02,0.04,-0.03,0.03,0.19,0.27,0.28
32,EPS (Diluted),-0.06,-0.05,-0.03,0.02,0.04,-0.03,0.03,0.19,0.27,0.28
33,EPS Growth,-,-,-,-,34.36%,-,-88.62%,-32.82%,-17.32%,-
34,Free Cash Flow,-135.04,-184.86,2.76,-12.24,-323.25,-167.75,-3.44,-30.19,-75.35,404.51
35,Free Cash Flow Per Share,-0.32,-0.41,0.01,-0.03,-0.72,-0.38,-0.01,-0.07,-0.17,1.13
36,Operating Margin,-2.87%,-1.59%,0.79%,2.47%,4.10%,-0.57%,1.96%,5.29%,9.07%,6.79%
37,Profit Margin,-7.20%,-3.02%,-1.75%,0.96%,2.33%,-1.30%,1.29%,3.87%,6.68%,5.10%
38,Free Cash Flow Margin,-38.13%,-27.54%,0.37%,-1.40%,-40.09%,-16.41%,-0.32%,-1.39%,-4.10%,20.67%
39,EBITDA,9.48,35.89,23.09,63.19,47.74,44.3,39.42,170.14,194.54,171.65
40,D&A For EBITDA,19.64,46.58,17.27,41.63,14.65,50.17,18.2,55.56,28.03,38.83
41,EBIT,-10.16,-10.7,5.82,21.56,33.09,-5.88,21.22,114.58,166.5,132.83
42,Revenue as Reported,354.16,-,739.82,-,-,-,-,-,-,-
