,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Feb '25 Feb 25, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,192,192,223,370,437,473,571,736,803,826,1080
1,Market Cap Growth,-48.19%,-48.19%,-48.98%,-21.70%,-23.44%,-35.76%,-28.89%,-10.81%,-25.62%,-,-
2,Enterprise Value,594,702,544,706,777,335,145,196,334,184,962
3,Last Close Price,0.43,0.43,0.50,0.83,0.94,1.01,1.23,1.58,1.59,1.50,1.96
4,PE Ratio,-,-,-,-,14.24,73.47,-,6.26,3.28,3.38,4.74
5,PS Ratio,0.17,0.17,0.14,0.21,0.23,0.22,0.22,0.19,0.17,0.20,0.27
6,PB Ratio,0.15,0.14,0.15,0.26,0.28,0.30,0.35,0.45,0.48,0.57,0.79
7,P/TBV Ratio,0.15,0.15,0.17,0.28,0.31,0.33,0.38,0.50,0.53,0.63,0.84
8,P/FCF Ratio,-,-,-,-36.16,-,-,-,-,-,-,2.80
9,P/OCF Ratio,-,-,-,10.35,-1.23,-,-,51.88,-13.26,-,2.56
10,EV/Sales Ratio,0.54,0.64,0.35,0.41,0.41,0.16,0.06,0.05,0.07,0.04,0.24
11,EV/EBITDA Ratio,10.53,14.40,8.37,7.58,6.20,3.10,1.42,0.78,0.77,0.46,2.55
12,EV/EBIT Ratio,-,-,-,23.88,12.58,10.50,-,1.20,1.00,0.56,3.29
13,EV/FCF Ratio,-1.69,-,-,-68.97,-,-,-,-,-,-,2.49
14,Debt / Equity Ratio,0.41,0.41,0.35,0.28,0.26,0.27,0.19,0.15,0.14,0.12,0.12
15,Debt / FCF Ratio,-,-,-,-39.85,-,-,-,-,-,-,0.42
16,Return on Capital Employed (ROCE),-,-,-,1.97%,3.92%,1.94%,-,9.71%,19.75%,22.44%,20.93%
17,Earnings Yield,-26.09%,-25.62%,-16.42%,-1.33%,7.02%,1.36%,0.15%,15.98%,30.52%,29.57%,21.10%
18,FCF Yield,-183.63%,-179.12%,-89.91%,-2.77%,-86.72%,-121.58%,-36.79%,-5.49%,-15.60%,43.74%,35.76%
19,Buyback Yield / Dilution,-0.66%,1.81%,-,3.06%,-,-,-,-,-24.96%,-42.86%,-
20,Total Shareholder Return,-0.66%,1.81%,-,3.06%,-,-,-,-,-24.96%,-42.86%,-
