,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,1444,1455,1334,1226,1138,979.52,859.3,814.24,611.84,857.38
1,Revenue Growth (YoY),8.24%,18.65%,17.19%,25.19%,32.46%,20.30%,40.44%,-5.03%,-22.66%,68.06%
2,Cost of Revenue,860.74,843.88,769.58,777.43,673.92,571.28,496.06,465.93,394.38,421.43
3,Gross Profit,583.02,611.12,564.32,448.82,464.3,408.24,363.24,348.32,217.46,435.94
4,"Selling, General & Admin",301.97,397.91,275.31,369.01,241.28,218.66,170.79,204.73,111.89,174.27
5,Research & Development,10.89,11.1,10.65,12.74,4.74,5.67,4.98,7.15,4.34,7.53
6,Operating Expenses,312.85,409.01,285.96,381.75,246.02,224.33,175.77,211.88,116.23,181.8
7,Operating Income,270.16,202.11,278.36,67.08,218.29,183.91,187.47,136.44,101.24,254.15
8,Interest Expense,-28.53,-36.99,-42.65,-38.86,-32.99,-12.3,-8.85,-8.2,-5.19,-4.94
9,Interest & Investment Income,4.49,5.3,15.4,13.66,14.69,19.06,15.39,17.69,30.93,32.85
10,Earnings From Equity Investments,1.98,2.8,2.15,-1.56,-2.81,-5.7,-4.42,-,-,-
11,Currency Exchange Gain (Loss),-5.88,-2.76,6.75,-10.32,19.74,-3.04,16.16,29.8,12.41,12.53
12,Other Non Operating Income (Expenses),21.73,11.8,15.89,-0.83,16.78,26.66,2.72,-1.96,9.58,11.34
13,EBT Excluding Unusual Items,263.95,182.27,275.89,29.17,233.7,208.59,208.48,173.77,148.96,305.92
14,Gain (Loss) on Sale of Investments,1.86,4.03,2.09,-34.97,-0.43,42.53,-1.67,19.14,1.4,1.79
15,Gain (Loss) on Sale of Assets,-0.12,-0.57,-0.5,-34.64,0.1,0.02,-0.02,0.05,0,-3.18
16,Other Unusual Items,0.06,-,1.05,-38.89,0.28,-,-,3.74,2.08,-1.02
17,Pretax Income,265.76,185.73,278.54,-79.34,233.66,251.14,206.79,196.69,152.44,303.52
18,Income Tax Expense,75.44,62.55,54.73,-9.69,46.06,60.07,44.16,59.68,28.96,60.8
19,Earnings From Continuing Operations,190.31,123.18,223.8,-69.65,187.6,191.07,162.63,137.01,123.48,242.72
20,Minority Interest in Earnings,-0.63,-2.02,-0.24,0.62,2.55,-6.81,-6.98,-1.49,-7.39,-3.26
21,Net Income,189.68,121.16,223.56,-69.03,190.15,184.25,155.65,135.53,116.09,239.46
22,Net Income to Common,189.68,121.16,223.56,-69.03,190.15,184.25,155.65,135.53,116.09,239.46
23,Net Income Growth,-15.16%,-,17.57%,-,22.17%,35.95%,34.07%,-43.40%,-31.78%,141.53%
24,Shares Outstanding (Basic),2685,2684,2669,2505,2488,2489,2467,2398,2402,2399
25,Shares Outstanding (Diluted),2700,2738,2734,2633,2616,2528,2481,2418,2413,2410
26,Shares Change (YoY),-1.24%,3.98%,4.50%,4.17%,5.44%,4.54%,2.79%,0.35%,20.49%,37.18%
27,EPS (Basic),0.07,0.05,0.08,-0.03,0.08,0.07,0.06,0.06,0.05,0.10
28,EPS (Diluted),0.07,0.04,0.08,-0.03,0.07,0.07,0.06,0.05,0.05,0.10
29,EPS Growth,-10.59%,-,13.60%,-,14.87%,48.04%,24.16%,-49.90%,-39.59%,80.23%
30,Free Cash Flow,290.23,269.95,240.97,238.87,-656.53,115.35,148.27,25.47,16.42,-43.26
31,Free Cash Flow Per Share,0.11,0.10,0.09,0.09,-0.25,0.05,0.06,0.01,0.01,-0.02
32,Operating Margin,18.71%,13.89%,20.87%,5.47%,19.18%,18.78%,21.82%,16.76%,16.55%,29.64%
33,Profit Margin,13.14%,8.33%,16.76%,-5.63%,16.71%,18.81%,18.11%,16.64%,18.97%,27.93%
34,Free Cash Flow Margin,20.10%,18.55%,18.06%,19.48%,-57.68%,11.78%,17.25%,3.13%,2.68%,-5.05%
35,EBITDA,370.17,311.93,370.1,176.42,299.79,259.91,234.17,188.12,143.79,295.14
36,D&A For EBITDA,100.01,109.81,91.74,109.35,81.5,75.99,46.7,51.68,42.55,40.99
37,EBIT,270.16,202.11,278.36,67.08,218.29,183.91,187.47,136.44,101.24,254.15
