,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,517.32,624.28,770.13,1330,1102,862.33,2137,681.62,844.53,579.64
1,Short-Term Investments,203,87.05,20,-,77.11,846.96,1001,1725,2352,2664
2,Trading Asset Securities,51.94,141.57,256.06,71.3,203.07,218.74,232.73,63,43.5,52.5
3,Cash & Short-Term Investments,772.26,852.9,1046,1401,1382,1928,3371,2469,3240,3296
4,Cash Growth,-26.18%,-39.13%,-24.29%,-27.32%,-59.00%,-21.92%,4.03%,-25.09%,2.71%,159.70%
5,Accounts Receivable,264.23,285.25,252.32,265.16,306.31,316.73,134.5,92.38,74.42,43.9
6,Other Receivables,47.62,45.82,67.82,41.57,104.97,175.87,46.2,12.25,38.73,39.05
7,Receivables,313.63,331.06,355.97,355.59,446.11,498.67,217.16,130.73,113.15,82.95
8,Inventory,60.89,62.43,46.75,62.55,36.13,46.81,20.86,25.48,26.39,26.08
9,Prepaid Expenses,-,-,-,-,29.69,-,-,-,-,-
10,Other Current Assets,107.3,96.06,93.82,84.49,231.81,69.63,38.42,26.58,40.05,20.94
11,Total Current Assets,1254,1342,1543,1904,2126,2543,3647,2652,3420,3426
12,"Property, Plant & Equipment",3136,3123,3146,3095,3096,1493,1352,1279,1119,1027
13,Long-Term Investments,274.56,271.58,189.62,131,236.96,353.17,172.9,180.44,10.18,10.02
14,Goodwill,3500,3496,3583,3485,2870,2720,883.94,889.64,819.54,809.31
15,Other Intangible Assets,6208,6211,6353,6205,5409,5207,3841,3881,3740,3656
16,Long-Term Accounts Receivable,-,-,-,-,-,-,-,35,-,-
17,Long-Term Deferred Tax Assets,125.28,121.07,113.89,88.52,17.89,7.02,2.99,-,-,-
18,Other Long-Term Assets,293.66,273.73,280.56,317.37,1311,485.46,325.36,246.53,65.35,12.34
19,Total Assets,14849,14896,15230,15232,15085,12825,10385,9163,9209,8941
20,Accounts Payable,263.56,239.46,240.74,236.83,209.88,156.58,141,132.58,132.16,140.89
21,Accrued Expenses,85.1,164.47,133.64,199.41,125.31,157.81,99.3,117.75,119.3,128
22,Current Portion of Long-Term Debt,1340,904.44,782.57,1845,1800,37.75,24.38,18,-,-
23,Current Portion of Leases,71.19,72.2,69.24,63.26,62.04,62.18,33.79,34.56,40.07,29.24
24,Current Income Taxes Payable,50.14,52.48,64.99,81.58,55.3,107.44,39.16,61.23,23.12,46.47
25,Current Unearned Revenue,11.65,11.35,9.18,10.08,3.85,4.14,3.7,4.13,4.65,5.75
26,Other Current Liabilities,421.63,245.44,325.7,327.56,490.47,545.63,214.39,186.83,291.41,85.85
27,Total Current Liabilities,2243,1690,1626,2764,2746,1072,555.71,555.08,610.71,436.2
28,Long-Term Debt,803.19,1459,1837,2171,2191,1619,130.03,144.54,-,-
29,Long-Term Leases,312.22,349.73,364.3,375.99,369.92,370.89,281.52,209.77,180.35,153.26
30,Long-Term Deferred Tax Liabilities,1222,1211,1216,1186,1055,1011,793.73,791.34,722.23,709.29
31,Total Liabilities,4580,4709,5043,6497,6362,4073,1761,1701,1513,1299
32,Common Stock,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16
33,Additional Paid-In Capital,8775,8904,8899,7878,7795,7891,7930,6800,6796,6992
34,Retained Earnings,1769,1579,1458,1234,1305,1115,931.01,775.36,639.84,523.74
35,Comprehensive Income & Other,-369.88,-392.01,-267.05,-472.96,-498.6,-461.05,-407.57,-292.49,136.33,11.33
36,Total Common Equity,10174,10091,10090,8640,8602,8545,8454,7283,7573,7527
37,Minority Interest,93.95,95.39,96.7,95.39,120.85,207.4,169.85,179.47,122.92,115.51
38,Shareholders' Equity,10268,10187,10187,8735,8723,8753,8624,7462,7696,7642
39,Total Liabilities & Equity,14849,14896,15230,15232,15085,12825,10385,9163,9209,8941
40,Total Debt,2527,2785,3053,4455,4422,2090,469.72,406.87,220.42,182.51
41,Net Cash (Debt),-1754,-1933,-2006,-3054,-3040,-161.73,2901,2062,3020,3114
42,Net Cash Growth,-,-,-,-,-,-,-3.93%,-33.76%,1.33%,145.32%
43,Net Cash Per Share,-0.65,-0.71,-0.73,-1.16,-1.16,-0.06,1.17,0.85,1.25,1.29
44,Filing Date Shares Outstanding,2758,2721,2721,2517,2502,2508,2508,2430,2430,2434
45,Total Common Shares Outstanding,2758,2721,2721,2517,2502,2508,2508,2430,2430,2434
46,Working Capital,-989.12,-347.39,-83.32,-860.1,-620.69,1472,3092,2097,2809,2990
47,Book Value Per Share,3.69,3.71,3.71,3.43,3.44,3.41,3.37,3.00,3.12,3.09
48,Tangible Book Value,466.11,384.31,154.09,-1050,322.35,618.75,3729,2512,3013,3061
49,Tangible Book Value Per Share,0.17,0.14,0.06,-0.42,0.13,0.25,1.49,1.03,1.24,1.26
50,Buildings,-,813.04,-,813.04,-,809.09,-,784.27,-,773.23
51,Machinery,-,338.85,-,371.62,-,271.42,-,191.45,-,139.68
52,Construction In Progress,-,1579,-,1460,-,10.63,-,135.77,-,1.09
53,Leasehold Improvements,-,355.27,-,306.26,-,269.97,-,133.05,-,57.71
