,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Revenue,238.31,200.39,241.56,196.13,244.47,225.99,275.23,239.94,280.31,197.05,Upgrade
1,Revenue Growth (YoY),-1.35%,2.18%,-1.19%,-13.21%,-11.17%,-5.82%,-1.81%,21.77%,-18.72%,-48.91%,Upgrade
2,Cost of Revenue,225.94,190.83,234.2,208.16,242.86,235.68,277.07,259.42,282,242.94,Upgrade
3,Gross Profit,12.37,9.56,7.36,-12.04,1.62,-9.7,-1.83,-19.47,-1.69,-45.89,Upgrade
4,"Selling, General & Admin",53.2,56.21,49.76,47.18,47.63,54.04,52.68,45.89,56.15,57.2,Upgrade
5,Other Operating Expenses,1.03,-3.11,3.11,3.32,-3.32,10.7,-1.24,15.39,-7.46,32.17,Upgrade
6,Operating Expenses,54.23,59.36,52.87,53.3,44.32,67.99,51.45,96.53,48.69,147.98,Upgrade
7,Operating Income,-41.86,-49.8,-45.51,-65.34,-42.7,-77.69,-53.28,-116.01,-50.38,-193.87,Upgrade
8,Interest Expense,-0.15,-0.15,-0.18,-0.21,-0.34,-0.28,-0.15,-0.18,-0.27,-0.25,Upgrade
9,Interest & Investment Income,2.9,4.43,2.19,4.72,2.37,4.27,3.1,7.07,6.47,11.63,Upgrade
10,Currency Exchange Gain (Loss),-,-0.11,-,-1.03,-,-0.63,-,5.22,-,-0.6,Upgrade
11,Other Non Operating Income (Expenses),-,0.39,-,1.56,-,-,-,-,-,-,Upgrade
12,EBT Excluding Unusual Items,-39.12,-45.24,-43.5,-60.29,-40.68,-74.33,-50.33,-103.9,-44.18,-183.09,Upgrade
13,Merger & Restructuring Charges,-,-,-,-,-,-,-,-4.81,-,-,Upgrade
14,Impairment of Goodwill,-,-,-,-,-,-10.56,-,-8.52,-,-,Upgrade
15,Gain (Loss) on Sale of Investments,1,3.66,0.66,-12.37,-13.78,-10.6,-6.57,-45.47,3.22,6.66,Upgrade
16,Gain (Loss) on Sale of Assets,-,0.93,0.01,0.05,-0.1,-0.77,0.74,-,-,0.11,Upgrade
17,Asset Writedown,-,-113.21,-,-,-,-57.25,-,-46.48,-,-96.11,Upgrade
18,Other Unusual Items,-,-,-,1.43,-,0.3,-,-,-,-,Upgrade
19,Pretax Income,-38.12,-153.86,-42.83,-71.18,-54.55,-153.22,-56.15,-209.17,-40.96,-272.44,Upgrade
20,Income Tax Expense,0.12,-0.24,-,0.01,-0.15,0.09,-0.31,-2.79,-0.12,-0.06,Upgrade
21,Earnings From Continuing Operations,-38.24,-153.62,-42.83,-71.19,-54.41,-153.31,-55.85,-206.38,-40.84,-272.37,Upgrade
22,Minority Interest in Earnings,-,-,-,-,-,0.61,-7.58,0,0,0.01,Upgrade
23,Net Income,-38.24,-153.62,-42.83,-71.19,-54.41,-152.7,-63.43,-206.38,-40.84,-272.37,Upgrade
24,Net Income to Common,-38.24,-153.62,-42.83,-71.19,-54.41,-152.7,-63.43,-206.38,-40.84,-272.37,Upgrade
25,Shares Outstanding (Basic),174,121,105,105,105,105,95,94,94,94,Upgrade
26,Shares Outstanding (Diluted),174,121,105,105,105,105,95,94,94,94,Upgrade
27,Shares Change (YoY),65.40%,14.73%,-,0.08%,10.53%,12.13%,1.53%,-,-,-,Upgrade
28,EPS (Basic),-0.22,-1.27,-0.41,-0.68,-0.52,-1.45,-0.67,-2.20,-0.44,-2.91,Upgrade
29,EPS (Diluted),-0.22,-1.27,-0.41,-0.68,-0.52,-1.45,-0.67,-2.20,-0.44,-2.91,Upgrade
30,Free Cash Flow,-19.63,4.14,-35.55,-19.09,-15.61,-21.44,-30.48,-78.79,-50.92,-39.43,Upgrade
31,Free Cash Flow Per Share,-0.11,0.03,-0.34,-0.18,-0.15,-0.20,-0.32,-0.84,-0.54,-0.42,Upgrade
32,Operating Margin,-17.57%,-24.85%,-18.84%,-33.31%,-17.47%,-34.38%,-19.36%,-48.35%,-17.97%,-98.38%,Upgrade
33,Profit Margin,-16.05%,-76.66%,-17.73%,-36.30%,-22.25%,-67.57%,-23.04%,-86.01%,-14.57%,-138.22%,Upgrade
34,Free Cash Flow Margin,-8.24%,2.06%,-14.72%,-9.74%,-6.38%,-9.49%,-11.07%,-32.84%,-18.17%,-20.01%,Upgrade
35,EBITDA,-28.75,-40.16,-28.93,-60.81,-30.22,-68.2,-33.14,-101,-26.82,-181.19,Upgrade
36,D&A For EBITDA,13.12,9.65,16.59,4.53,12.48,9.5,20.14,15.01,23.56,12.68,Upgrade
37,EBIT,-41.86,-49.8,-45.51,-65.34,-42.7,-77.69,-53.28,-116.01,-50.38,-193.87,Upgrade
