,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,741.05,658.21,615.5,577.03,958.42,800.41,301.33,348.72,211.45,377.33
1,Short-Term Investments,22.15,147.8,131.76,5.85,46.65,-,-,-,-,-
2,Trading Asset Securities,365.26,202.04,274.6,256.26,345.42,190.23,126.36,30.88,48.27,4.5
3,Cash & Short-Term Investments,1128,1008,1022,839.15,1350,990.64,427.69,379.59,259.72,381.82
4,Cash Growth,10.43%,20.13%,-24.33%,-15.29%,215.76%,160.98%,64.68%,-0.58%,49.55%,68.90%
5,Accounts Receivable,5747,7589,8008,8229,6457,6589,4280,3810,3965,3845
6,Other Receivables,44.88,49.12,78.83,27.45,11.3,41.18,6.26,4.44,4.06,2.13
7,Receivables,5887,7728,8285,8620,6468,6630,4286,3814,3973,3857
8,Other Current Assets,872.44,881.07,539.37,480.01,482.95,431,386.72,268.68,213.57,110.09
9,Total Current Assets,7888,9617,9847,9939,8301,8051,5100,4462,4447,4349
10,"Property, Plant & Equipment",225.58,171.24,138.05,108.75,104.5,23.06,27.48,32.72,30.26,27.99
11,Long-Term Investments,1835,1059,568.21,540.37,296.19,104.55,285.53,225.17,140.75,67.58
12,Goodwill,-,316.03,316.03,316.03,316.03,316.03,-,-,-,-
13,Other Intangible Assets,59.78,114.23,163.58,114.84,152.54,114.9,25.49,1.02,19.5,0.97
14,Long-Term Accounts Receivable,30.33,150.32,100.22,250.68,249.16,115.97,14.68,14.28,-,-
15,Long-Term Deferred Tax Assets,8.94,18.16,25.34,22.36,16.85,28.29,31.56,25.21,12.78,11.32
16,Long-Term Deferred Charges,-,54.39,-,40.84,-,33.53,-,21.2,-,19
17,Other Long-Term Assets,42.42,39.37,45.17,45.18,44.69,14.99,5.92,4.48,4.45,3.77
18,Total Assets,10370,11820,11203,11378,9481,8803,5491,4786,4654,4479
19,Accounts Payable,4.72,5.93,5.46,4.49,-,-,-,-,-,-
20,Accrued Expenses,81.09,129.26,59.74,79.18,64.63,96.37,48.84,73.11,70.85,67.86
21,Short-Term Debt,2835,1022,1038,420.57,788.86,493.38,805.11,1487,1882,1885
