,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,9296,4308,4809,5082,6318,5923,7783,7213,5666,5586,6250
1,Market Cap Growth,-15.24%,-15.24%,-23.89%,-14.20%,-18.82%,-17.89%,37.36%,29.14%,-9.34%,-14.23%,5.99%
2,Enterprise Value,14456,11350,11056,11848,10622,10279,9923,8690,7597,7436,8088
3,Last Close Price,9.41,4.36,4.59,4.84,5.84,5.41,7.12,7.07,5.51,5.78,6.42
4,PE Ratio,35.10,16.12,16.27,20.81,25.47,12.08,15.43,19.31,14.49,14.94,19.93
5,Forward PE,-,13.09,12.88,13.47,9.00,9.46,14.12,14.80,-,-,-
6,PS Ratio,9.48,4.43,4.53,5.17,6.98,7.63,11.02,9.83,7.52,7.35,9.21
7,PB Ratio,2.25,1.03,1.07,1.16,1.36,1.24,1.60,1.91,1.58,2.00,2.31
8,P/TBV Ratio,1.06,1.06,1.25,1.40,1.60,1.48,1.90,1.98,1.64,2.11,2.44
9,P/FCF Ratio,5.51,2.55,2.65,-7.60,-,8.17,-58.19,-,10.47,22.52,-9.33
10,P/OCF Ratio,2.47,2.47,2.60,-7.90,-,8.01,-66.39,-,10.37,22.19,-9.40
11,EV/Sales Ratio,14.87,11.68,10.42,12.06,11.74,13.25,14.05,11.85,10.09,9.79,11.92
12,EV/EBITDA Ratio,19.52,17.23,14.89,17.72,17.86,20.93,24.59,17.36,14.79,13.98,16.77
13,EV/EBIT Ratio,20.04,17.17,14.81,17.66,18.00,21.56,24.83,17.52,14.87,14.06,16.83
14,EV/FCF Ratio,8.56,6.72,6.09,-17.73,-,14.17,-74.19,-,14.03,29.98,-12.08
15,Debt / Equity Ratio,1.52,1.52,1.79,1.63,1.60,1.19,1.10,0.67,0.50,0.75,0.79
16,Debt / FCF Ratio,3.75,3.75,4.41,-10.66,-,7.80,-39.98,-,3.32,8.44,-3.19
17,Return on Capital Employed (ROCE),14.57%,14.57%,11.92%,9.89%,8.79%,8.36%,6.55%,11.21%,13.89%,18.47%,17.40%
18,Earnings Yield,2.87%,6.20%,6.15%,4.81%,3.93%,8.28%,6.48%,5.18%,6.90%,6.69%,5.02%
19,FCF Yield,18.16%,39.19%,37.73%,-13.15%,-13.94%,12.25%,-1.72%,0.74%,9.55%,4.44%,-10.72%
20,Buyback Yield / Dilution,1.69%,1.14%,2.24%,1.43%,-2.89%,-7.08%,-6.65%,-6.30%,-3.40%,-0.06%,-0.87%
21,Total Shareholder Return,4.55%,1.14%,2.24%,1.43%,-2.89%,-7.08%,-6.65%,-6.30%,-3.40%,-0.06%,-0.87%
