,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Operating Revenue,2688,3095,3778,2953,2830,3270,2346,1784,1606,1500,1686,1694,935.26,400.15
1,Other Revenue,-,-33.26,33.26,-,60.78,-51.57,51.57,-,18.97,-4.18,4.18,-,-,-
2,Revenue,2688,3061,3812,2953,2891,3218,2398,1784,1625,1496,1690,1694,935.26,400.15
3,Revenue Growth (YoY),-7.03%,-4.87%,58.98%,65.57%,77.96%,115.14%,41.86%,5.31%,73.71%,273.80%,-,-,-,-
4,Cost of Revenue,3094,2888,3352,2710,2708,2827,2128,1628,1425,1332,1492,1505,810.55,338.61
5,Gross Profit,-406.52,173.8,459.5,243.57,183.37,390.62,269.7,155.58,200.08,163.86,197.68,188.47,124.71,61.55
6,"Selling, General & Admin",-101.92,16.91,48.88,36.13,48.63,35.27,26.9,18.22,33.59,21.56,13.58,19.43,-,-
7,Research & Development,-234.82,73.56,86.63,74.62,86.2,81.19,66.39,58.49,50.97,60.55,57.61,44.91,-,-
8,Other Operating Expenses,62.38,-16.9,-33.08,-12.39,24.59,-8.58,-1.6,0.58,12.03,-6.52,0.85,1.07,60.4,33.47
9,Operating Expenses,-314,31.11,157.63,125.26,160.75,127.23,112.08,81.85,98.79,78.77,61.95,86.83,60.4,33.47
10,Operating Income,-92.52,142.69,301.87,118.31,22.62,263.39,157.62,73.74,101.29,85.09,135.73,101.63,64.31,28.08
11,Interest Expense,-33.48,-0.56,-2.24,-1.29,-0.71,-0.11,-0.98,-0.23,-0.49,-0.99,-1.39,-0.98,-,-
12,Interest & Investment Income,4.09,18.71,7.63,7.13,15.14,10.44,14.48,12.81,8.77,9.15,6.66,0.15,-,-
13,Currency Exchange Gain (Loss),-,4.46,-4.46,-,-6.1,-5.73,5.73,-,-0.88,-3.78,3.78,-,-,-
14,Other Non Operating Income (Expenses),75.38,-37.55,-22.75,-17.09,-8.92,-12.51,-8,-13.03,-7.26,-6.78,-29.57,14.64,0.09,0.01
