,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,526.07,732.23,326.6,748.8,602.81,227.07,812.3,773.19,-,58.21,-,-,-
1,Short-Term Investments,-,-,-,-,-,-,250,-,-,-,-,-,-,-
2,Trading Asset Securities,-,1340,1534,1488,1394,834.08,1311,1541,1999,-,6.11,-,-,-
3,Cash & Short-Term Investments,1866,1866,2267,1815,2143,1437,1788,2353,2772,-,64.32,107.42,40.99,6.37
4,Cash Growth,-12.93%,29.85%,26.79%,-22.89%,-22.70%,-,2679.27%,2090.81%,6663.52%,-,-,-,-,-
5,Accounts Receivable,-,4584,3901,3787,3220,3380,2725,1803,2015,-,1942,-,-,-
6,Other Receivables,-,6.29,58.1,6.26,61.8,14.73,139.48,451.9,31.14,-,9.53,-,-,-
7,Receivables,-,4591,3960,3794,3282,3395,2865,2255,2046,-,1952,-,-,-
8,Inventory,-,913.99,1347,1111,1327,1048,889.3,693.04,604.6,-,558.47,-,-,-
9,Other Current Assets,-,155.07,208.07,220.85,41.77,499.18,121.01,365.47,98.05,-,142.18,-,-,-
10,Total Current Assets,-,7525,7781,6940,6794,6379,5662,5667,5521,-,2717,-,-,-
11,"Property, Plant & Equipment",-,223.95,209.88,197.51,218.91,188.65,186.38,171,137.25,-,101.72,-,-,-
12,Long-Term Investments,-,472.67,281.76,348.31,284.52,156,401,-,-,-,-,-,-,-
13,Goodwill,-,23.45,23.45,23.45,23.45,54.78,54.78,54.78,-,-,-,-,-,-
14,Other Intangible Assets,-,120.32,127.39,136.61,115.3,124.37,130.95,139.44,126.71,-,59.89,-,-,-
15,Long-Term Deferred Tax Assets,-,51.15,64.48,38.54,34.36,24.64,10.84,24.64,19.52,-,13.86,-,-,-
16,Long-Term Deferred Charges,-,15.57,12.78,14.61,16.8,9.23,11.28,5.79,2.45,-,2.22,-,-,-
17,Other Long-Term Assets,-,183.55,125.41,14.86,8.39,400,5.78,10.94,4.78,-,5.35,-,-,-
18,Total Assets,-,8616,8626,7714,7496,7337,6463,6074,5811,-,2900,-,-,-
19,Accounts Payable,-,236.2,606.91,349.09,476.21,592.81,655.6,565.35,338.13,-,233.28,-,-,-
20,Accrued Expenses,-,50.27,64.65,27.73,72.64,18.47,15.2,11.93,87.11,-,44.3,-,-,-
21,Short-Term Debt,-,3536,3159,2432,1930,1690,992.16,673.76,765.58,-,1140,-,-,-
22,Current Portion of Leases,-,6.2,6.59,3.49,5.51,3.49,3.49,1.7,3.49,-,0.85,-,-,-
23,Current Income Taxes Payable,-,29.82,49.85,18.45,21.7,41.18,2.3,14.24,9.27,-,2.4,-,-,-
24,Current Unearned Revenue,-,38.86,39.64,11.76,35.58,7.73,34.29,4.73,32.42,-,13.18,-,-,-
25,Other Current Liabilities,-,46.85,9.27,141.91,10.58,54.92,11.1,65.66,9.64,-,1.96,-,-,-
26,Total Current Liabilities,-,3944,3936,2984,2552,2409,1714,1337,1246,-,1436,-,-,-
27,Long-Term Leases,-,9.92,9.93,13.92,9.96,8.08,9.3,10.73,9.11,-,-,-,-,-
28,Long-Term Unearned Revenue,-,8.6,8.72,8.84,8.96,9.08,9.2,9.32,9.44,-,9.6,-,-,-
29,Long-Term Deferred Tax Liabilities,-,3.93,4.02,4.1,4.49,-,-,16.48,-,-,2.63,-,-,-
30,Total Liabilities,-,3966,3959,3011,2576,2426,1733,1374,1264,-,1448,-,-,-
31,Common Stock,-,245.42,242.03,165.63,165.63,165.63,165.63,111.91,111.91,-,83.91,-,-,-
32,Additional Paid-In Capital,-,3442,3459,3532,3526,3529,3518,3597,3597,-,704.94,-,-,-
33,Retained Earnings,-,1461,1339,1296,1220,1219,1047,961.98,838.1,-,662.74,-,-,-
34,Treasury Stock,-,-520.02,-369.99,-292.23,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,-,21.32,-2.62,1.48,8.02,-1.59,-0.02,-,-,-,-,-,-,-
36,Total Common Equity,4649,4649,4667,4702,4920,4911,4731,4671,4547,-,1452,1236,989.39,200.84
37,Minority Interest,-,0.41,0.54,0.9,-,-,-,28.65,-,-,-,-,-,-
38,Shareholders' Equity,4650,4650,4667,4703,4920,4911,4731,4700,4547,-,1452,1236,989.39,200.84
39,Total Liabilities & Equity,-,8616,8626,7714,7496,7337,6463,6074,5811,-,2900,-,-,-
40,Total Debt,3552,3552,3176,2449,1946,1701,1005,686.18,778.18,-,1141,1267,346.56,174.16
41,Net Cash (Debt),-1686,-1686,-908.93,-634.63,197.28,-264.58,782.7,1667,1994,-,-1077,-1160,-305.57,-167.79
42,Net Cash Growth,-,-,-,-,-90.11%,-,-,-,-,-,-,-,-,-
43,Net Cash Per Share,-7.40,-7.16,-3.88,-2.60,0.80,-1.10,3.25,6.82,10.80,-,-5.89,-6.29,-1.66,-
44,Filing Date Shares Outstanding,227.67,230.17,235.58,237.67,245.13,245.13,245.13,245.13,245.13,183.41,183.8,184.32,183.8,-
45,Total Common Shares Outstanding,230.17,230.17,235.58,237.67,245.13,245.13,245.13,245.13,245.13,183.41,183.8,184.32,183.8,-
46,Working Capital,-,3582,3845,3956,4242,3971,3948,4330,4275,-,1281,-,-,-
47,Book Value Per Share,20.20,20.20,19.81,19.78,20.07,20.04,19.30,19.06,18.55,-,7.90,6.72,5.38,1.63
48,Tangible Book Value,4506,4506,4516,4542,4781,4732,4545,4477,4420,-,1392,1167,944.17,200.82
49,Tangible Book Value Per Share,19.58,19.58,19.17,19.11,19.50,19.30,18.54,18.26,18.03,-,7.57,6.35,5.14,1.63
50,Buildings,-,-,53.18,-,53.18,-,53.06,-,53.18,-,-,-,-,-
51,Machinery,-,-,155.43,-,132.85,-,115.19,-,74.21,-,33.82,-,-,-
52,Construction In Progress,-,-,23.53,-,43.31,-,20.98,-,2.1,-,80.76,-,-,-
