,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Market Capitalization,10146,10194,8457,6591,9539,8878,12369,16149,14064,16687,-,-,-,-,-
1,Market Cap Growth,14.83%,14.83%,-31.62%,-59.18%,-32.18%,-46.80%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,11832,11880,9367,7227,9341,9142,11586,14510,15141,17764,-,-,-,-,-
3,Last Close Price,44.08,44.29,35.90,28.10,38.06,35.43,49.36,64.44,55.87,66.29,-,-,-,-,-
4,PE Ratio,24.76,-,20.02,13.97,24.21,20.08,23.36,36.33,34.17,42.66,-,-,-,-,-
5,Forward PE,16.95,13.98,11.69,8.77,13.53,10.40,16.15,25.62,23.89,31.41,-,-,-,-,-
6,PS Ratio,0.83,0.81,0.67,0.51,0.83,0.86,1.37,2.21,2.13,2.57,-,-,-,-,-
7,PB Ratio,2.18,2.19,1.82,1.41,2.03,1.80,2.52,3.41,2.99,3.67,-,-,-,-,-
8,P/TBV Ratio,2.26,2.26,1.88,1.46,2.10,1.86,2.61,3.55,3.14,3.78,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-2.99,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-3.19,-,-,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,0.95,0.95,0.74,0.56,0.82,0.89,1.28,1.99,2.30,2.73,-,-,-,-,-
12,EV/EBITDA Ratio,22.33,-,14.49,9.49,15.21,16.22,18.21,31.98,35.72,39.69,-,-,-,-,-
13,EV/EBIT Ratio,25.16,-,16.00,10.23,16.62,17.67,19.44,34.74,38.25,41.92,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-3.28,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.76,0.76,0.76,0.68,0.52,0.40,0.35,0.21,0.15,0.17,-,0.79,1.03,0.35,0.87
16,Debt / EBITDA Ratio,6.70,-,5.63,2.47,4.60,11.35,1.56,1.45,2.08,1.73,-,2.00,2.98,1.33,1.53
17,Debt / FCF Ratio,-,-,-,-1.44,-,-,-,-,-,-,-,-,-,-,-
18,Asset Turnover,-,1.42,1.87,1.55,1.56,1.87,1.53,1.20,-,-,-,-,-,-,
19,Inventory Turnover,-,-,10.22,10.91,8.89,9.12,11.67,10.76,10.04,-,-,-,-,-,-
20,Quick Ratio,-,-,1.64,1.58,1.88,2.13,2.01,2.71,3.45,3.87,-,1.40,-,-,-
21,Current Ratio,-,-,1.91,1.98,2.33,2.66,2.65,3.30,4.24,4.43,-,1.89,-,-,-
22,Return on Equity (ROE),-0.14%,10.47%,19.02%,6.29%,0.10%,14.24%,12.26%,10.70%,-,-,33.45%,-,-,-,
23,Return on Assets (ROA),-,4.14%,9.24%,3.89%,0.76%,9.54%,6.29%,3.10%,-,-,-,-,-,-,
24,Return on Capital (ROIC),-2.82%,4.45%,10.07%,4.22%,0.84%,10.66%,7.09%,3.44%,-,-,13.32%,-,-,-,
25,Return on Capital Employed (ROCE),-,-,12.53%,15.06%,11.88%,10.47%,12.09%,8.80%,8.36%,9.28%,-,22.53%,-,-,-
26,Earnings Yield,4.13%,4.11%,4.99%,7.16%,4.13%,4.98%,4.28%,2.75%,2.93%,2.34%,-,-,-,-,-
27,FCF Yield,-,-20.44%,-33.45%,-36.52%,-31.14%,-19.28%,-10.38%,-8.81%,-8.23%,-,-,-,-,-,
28,Dividend Yield,1.66%,-,-,-,-,2.07%,-,-,-,0.37%,-,-,-,-,-
29,Payout Ratio,0.00%,-,0.88%,81.63%,1.14%,79.58%,-,41.61%,-,0.98%,1.54%,1.06%,0.52%,-,-
30,Buyback Yield / Dilution,4.32%,8.24%,2.61%,2.54%,0.20%,-34.39%,-31.72%,-31.55%,-32.62%,-0.45%,-,-,-,-,-
31,Total Shareholder Return,5.98%,8.24%,2.61%,2.54%,0.20%,-32.31%,-31.72%,-31.55%,-32.62%,-0.08%,-,-,-,-,-
