,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,145.51,150.88,342.6,228.7,807.78,44.45,35.08,59.62,-,-,-
1,Short-Term Investments,-,-,178.15,-,238.25,-,-,-,-,-,-,-
2,Trading Asset Securities,-,40,-,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,185.51,185.51,329.02,342.6,466.95,807.78,44.45,35.08,59.62,-,-,58.18
4,Cash Growth,-60.27%,-77.03%,640.21%,876.51%,683.22%,-,-,-39.70%,-,-,-,-
5,Accounts Receivable,-,330.18,329.34,314.51,360.77,314.24,316.12,253.9,260.98,-,-,-
6,Other Receivables,-,2.45,2.35,2.54,2.14,5.49,0.05,-,0.96,-,-,-
7,Receivables,-,332.63,331.68,317.05,362.91,319.73,316.17,253.9,261.94,-,-,-
8,Inventory,-,76.09,65.45,51.75,44.75,56.85,59.92,69.46,60.89,-,-,-
9,Prepaid Expenses,-,-,0.02,-,0.01,-,-,0.01,0.01,-,-,-
10,Other Current Assets,-,95.07,6.12,113.69,1.86,6.34,7.45,7.55,4.15,-,-,-
11,Total Current Assets,-,689.31,732.3,825.08,876.47,1191,427.99,366,386.6,-,-,-
12,"Property, Plant & Equipment",-,168.73,115.9,81.99,64.74,28.25,25.45,12.26,7.45,-,-,-
13,Long-Term Investments,-,330.78,338.52,306.03,303.7,-,-,-,-,-,-,-
14,Other Intangible Assets,-,41,41.4,41.79,42.19,42.59,42.98,43.38,43.78,-,-,-
15,Long-Term Accounts Receivable,-,8.93,9.91,11.51,11.44,-,12.99,11.42,11.83,-,-,-
16,Long-Term Deferred Tax Assets,-,25.09,19.97,17.72,11.81,14.97,12.14,14.65,11.49,-,-,-
17,Long-Term Deferred Charges,-,-,-,-,-,-,0.05,0.02,0.09,-,-,-
18,Other Long-Term Assets,-,-,-,-,-,13.85,-,-,-,-,-,-
19,Total Assets,-,1264,1258,1284,1310,1290,521.61,447.74,461.24,-,-,-
20,Accounts Payable,-,68.56,47.69,61.84,66.37,66.84,57.41,53.05,64.4,-,-,-
21,Accrued Expenses,-,13.78,29.31,12.61,40.4,13.78,35.39,23.09,40.65,-,-,-
22,Short-Term Debt,-,103.05,96.04,105.56,90.26,109.69,120.06,101.02,77.87,-,-,-
23,Current Portion of Leases,-,1.54,2.13,2.04,2.03,0.32,0.87,0.86,1.1,-,-,-
24,Current Income Taxes Payable,-,-,-,0.24,0.88,-,0.82,-,3.1,-,-,-
25,Current Unearned Revenue,-,23.97,16.14,14.99,10.62,17.87,9.93,16.43,10.47,-,-,-
26,Other Current Liabilities,-,1.76,3.21,1.89,2.75,2.49,2.41,2.96,2.64,-,-,-
27,Total Current Liabilities,-,212.66,194.52,199.17,213.31,211,226.9,197.41,200.22,-,-,-
28,Long-Term Debt,-,-,-,-,-,13.38,13.39,-,-,-,-,-
29,Long-Term Leases,-,1.11,1.19,0.37,0.73,2.5,-,0.03,0.11,-,-,-
30,Long-Term Deferred Tax Liabilities,-,-,-,-,-,0.56,0.16,0.16,0.17,-,-,-
31,Total Liabilities,-,213.77,195.71,199.54,214.04,227.44,240.44,197.6,200.5,-,-,-
32,Common Stock,-,66,66,66,66,66,49.5,49.5,49.5,-,-,-
33,Additional Paid-In Capital,-,802.5,802.17,801.85,801.52,801.64,29.97,29.75,29.4,-,-,-
34,Retained Earnings,-,181.57,194.11,216.74,228.79,195.29,201.7,170.89,181.84,-,-,-
35,Shareholders' Equity,1050,1050,1062,1085,1096,1063,281.17,250.14,260.74,-,-,190.3
36,Total Liabilities & Equity,-,1264,1258,1284,1310,1290,521.61,447.74,461.24,-,-,-
37,Total Debt,105.7,105.7,99.36,107.96,93.03,125.9,134.32,101.91,79.07,-,-,22.83
38,Net Cash (Debt),79.81,79.81,229.66,234.63,373.92,681.88,-89.87,-66.82,-19.45,-,-,35.35
39,Net Cash Growth,-78.66%,-88.30%,-,-,-,-,-,-,-,-,-,-
40,Net Cash Per Share,1.19,1.21,3.64,3.50,5.76,10.99,-1.82,-1.34,-0.39,-,-,0.71
41,Filing Date Shares Outstanding,66,66,66,66,66,66,49.5,49.5,49.5,46.9,50.83,49.58
42,Total Common Shares Outstanding,66,66,66,66,66,66,49.5,49.5,49.5,46.9,50.83,49.58
43,Working Capital,-,476.65,537.78,625.91,663.15,979.7,201.1,168.59,186.38,-,-,-
44,Book Value Per Share,15.91,15.91,16.10,16.43,16.61,16.10,5.68,5.05,5.27,-,-,3.84
45,Tangible Book Value,1009,1009,1021,1043,1054,1020,238.18,206.76,216.97,-,-,190.09
46,Tangible Book Value Per Share,15.29,15.29,15.47,15.80,15.97,15.46,4.81,4.18,4.38,-,-,3.84
47,Machinery,-,-,8.93,-,6.88,-,6.23,5.94,5.31,-,-,-
48,Construction In Progress,-,-,108.05,-,59.07,-,22.04,8.84,4.37,-,-,-
