,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,91.7,37.63,42.24,8.73,129.65,46.33,111.65,16.79,146.14,54.57,88.71,11.48
1,Other Revenue,-,-,-,-,0.01,-,-,-,0,-,-,-
2,Revenue,91.7,37.63,42.24,8.73,129.66,46.33,111.65,16.79,146.15,54.57,88.71,11.48
3,Revenue Growth (YoY),-29.28%,-18.78%,-62.17%,-48.01%,-11.28%,-15.09%,25.85%,46.33%,-,-,-,-
4,Cost of Revenue,-42.93,19.2,18.82,4.91,54.94,25.25,45.85,9.08,60.52,23.17,34.63,8.07
5,Gross Profit,134.62,18.44,23.42,3.82,74.72,21.09,65.8,7.72,85.62,31.4,54.08,3.4
6,"Selling, General & Admin",-52.16,19.33,16.56,16.28,19.84,19.85,15.86,14.65,20.41,15.24,14.98,12.42
7,Research & Development,-47.54,17.47,15.97,14.1,12.18,14.07,12.12,10.21,11.18,7.95,7.32,7.64
8,Other Operating Expenses,240.53,-1.05,0.81,-2.64,-0.53,-2.64,0.39,-2.97,0.64,-2.76,-2.72,-0.61
9,Operating Expenses,136.38,37.65,38.74,24.89,45.41,32.59,32.67,20.91,39.47,21.85,16.05,22.04
10,Operating Income,-1.75,-19.21,-15.32,-21.07,29.32,-11.51,33.13,-13.19,46.16,9.56,38.03,-18.64
11,Interest Expense,-11.35,-0.66,-0.68,-0.71,-0.61,-0.88,-0.71,-0.75,-0.46,-0.52,-0.45,-0.25
12,Interest & Investment Income,2.05,3.28,3.85,4.22,4.63,3.59,0.08,0.23,0.07,0.1,0.07,0.15
13,Other Non Operating Income (Expenses),-0.72,1.4,-0.01,-0.01,-1.43,0.09,1.22,-0.01,-0.58,0.36,0.16,-0.03
14,EBT Excluding Unusual Items,-11.77,-15.19,-12.17,-17.57,31.9,-8.7,33.72,-13.73,45.19,9.5,37.81,-18.77
15,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-0.02,-,-,-
16,Gain (Loss) on Sale of Assets,0.01,-0.01,0,-,-,0,-0,-,-,-,-,-
17,Asset Writedown,1.03,-1.03,0.39,-0.39,0.78,-0.79,0.39,-0.39,1.01,-1.01,-,-
18,Other Unusual Items,-,-1.42,1.41,0.01,4.87,-0.04,0.04,-,2.26,0.02,-0.1,0.08
19,Pretax Income,-10.73,-17.66,-10.37,-17.95,37.56,-9.53,34.15,-14.12,48.44,8.51,37.71,-18.69
20,Income Tax Expense,25.08,-5.12,-2.25,-5.89,4.05,-3.12,3.34,-3.17,5.8,0.07,3.77,-2.83
21,Net Income,-35.8,-12.54,-8.11,-12.05,33.51,-6.41,30.81,-10.95,42.63,8.44,33.94,-15.87
22,Net Income to Common,-35.8,-12.54,-8.11,-12.05,33.51,-6.41,30.81,-10.95,42.63,8.44,33.94,-15.87
23,Net Income Growth,-,-,-,-,-21.41%,-,-9.22%,-,-,-,-,-
24,Shares Outstanding (Basic),67,66,63,67,65,62,50,50,50,47,51,50
25,Shares Outstanding (Diluted),67,66,63,67,65,62,50,50,50,47,51,50
26,Shares Change (YoY),3.55%,6.63%,27.55%,34.50%,29.21%,32.29%,-2.61%,0.42%,-,-,-,-
27,EPS (Basic),-0.53,-0.19,-0.13,-0.18,0.52,-0.10,0.62,-0.22,0.85,0.18,0.67,-0.32
28,EPS (Diluted),-0.53,-0.19,-0.13,-0.18,0.52,-0.10,0.62,-0.22,0.85,0.18,0.67,-0.32
29,EPS Growth,-,-,-,-,-39.17%,-,-6.78%,-,-,-,-,-
30,Free Cash Flow,-,-72.43,-66.5,-31.39,-8.96,-13.5,-20.79,-45.74,27.67,-12.18,-12.8,-49.79
31,Free Cash Flow Per Share,-,-1.09,-1.05,-0.47,-0.14,-0.22,-0.42,-0.92,0.55,-0.26,-0.25,-1.00
32,Dividend Per Share,-,-,-,-,0.220,-,-,-,-,-,-,-
33,Gross Margin,146.81%,48.99%,55.44%,43.74%,57.63%,45.51%,58.93%,45.96%,58.59%,57.55%,60.96%,29.66%
34,Operating Margin,-1.91%,-51.05%,-36.28%,-241.31%,22.61%,-24.84%,29.67%,-78.56%,31.58%,17.51%,42.87%,-162.39%
35,Profit Margin,-39.04%,-33.33%,-19.21%,-138.05%,25.84%,-13.84%,27.60%,-65.23%,29.17%,15.47%,38.26%,-138.25%
36,Free Cash Flow Margin,-,-192.47%,-157.45%,-359.56%,-6.91%,-29.14%,-18.62%,-272.40%,18.93%,-22.32%,-14.42%,-433.84%
37,EBITDA,-1.15,-18.61,-14.66,-20.46,29.92,-11.19,33.38,-12.61,46.48,10.14,38.61,-18.35
