,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,1634,1424,1518,1606,1800,2434,2911,-,-,-,-,-,-
1,Market Cap Growth,-41.49%,-41.49%,-47.86%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1554,1344,1288,1372,1118,1752,3001,-,-,-,-,-,-
3,Last Close Price,24.76,21.58,23.00,24.34,27.04,36.56,43.73,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,51.84,-,-,-,-,-,-,-
5,Forward PE,-,15.12,14.47,15.31,17.15,24.42,30.85,-,-,-,-,-,-
6,PS Ratio,9.05,7.90,6.95,7.08,6.07,8.00,9.07,-,-,-,-,-,-
7,PB Ratio,1.56,1.36,1.45,1.51,1.66,2.22,2.74,-,-,-,-,-,-
8,P/TBV Ratio,1.41,1.41,1.50,1.57,1.73,2.31,2.85,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-,-61.47,-,-,-,-,-,-,-
10,EV/Sales Ratio,8.62,7.46,5.90,6.04,3.77,5.76,9.35,-,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,-,-,-,44.36,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-,46.42,-,-,-,-,-,-,-
13,Debt / Equity Ratio,0.10,0.10,0.10,0.09,0.10,0.08,0.12,0.48,0.41,0.30,-,-,0.12
14,Debt / EBITDA Ratio,-,-,-,-,-,0.73,-,0.97,-,0.41,-,-,-
15,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-1.68,-,-,-
16,Asset Turnover,-,0.12,0.13,0.03,0.40,0.20,0.92,0.15,-,-,-,-,
17,Inventory Turnover,-,-,1.08,1.28,0.41,4.33,1.73,2.83,0.56,-,-,-,-
18,Quick Ratio,-,-,2.44,3.40,3.31,3.89,5.34,1.59,1.46,1.61,-,-,-
19,Current Ratio,-,-,3.24,3.76,4.14,4.11,5.64,1.89,1.85,1.93,-,-,-
20,Return on Equity (ROE),-13.64%,-4.75%,-3.02%,-4.42%,12.41%,-3.82%,46.39%,-17.15%,-,-,-,-,
21,Return on Assets (ROA),-,-3.81%,-3.01%,-4.06%,5.64%,-3.18%,17.09%,-7.26%,-,-,-,-,
22,Return on Capital (ROIC),-0.38%,-4.15%,-3.25%,-4.42%,6.16%,-3.59%,21.58%,-9.53%,-,-,-,-,
23,Return on Capital Employed (ROCE),-,-,-,-,-,3.44%,-,25.67%,-,28.77%,-,-,-
24,Earnings Yield,-4.19%,-4.81%,0.05%,0.43%,2.55%,1.93%,1.93%,-,-,-,-,-,-
25,FCF Yield,-,-11.81%,-7.49%,-4.15%,-3.66%,-1.80%,-,-,-,-,-,-,
26,Dividend Yield,0.87%,-,-,-,-,0.60%,-,-,-,-,-,-,-
27,Payout Ratio,0.00%,-,-,-,-,3.71%,-,1.49%,-,0.88%,3.65%,0.81%,-
28,Buyback Yield / Dilution,-16.45%,-3.55%,-6.63%,-27.55%,-34.50%,-29.21%,-32.29%,2.61%,-0.42%,-,-,-,-
29,Total Shareholder Return,-15.58%,-3.55%,-6.63%,-27.55%,-34.50%,-28.61%,-32.29%,2.61%,-0.42%,-,-,-,-
