,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019"
0,Revenue,15.13,24.46,23.74,14.19,34.03,39.96,14.48,10.93,13.81,14.87
1,Revenue Growth (YoY),-36.28%,72.36%,-30.23%,-64.49%,135.07%,265.65%,4.79%,-26.49%,-1.46%,6.03%
2,Cost of Revenue,11.39,18.1,17.01,10.23,22.44,26.26,10.26,7.42,8.63,8.8
3,Gross Profit,3.74,6.36,6.73,3.97,11.59,13.7,4.21,3.51,5.18,6.07
4,"Selling, General & Admin",4.04,5.48,4.59,5.49,5.31,5.92,3.67,3.16,2.67,2.27
5,Operating Expenses,3.77,8.91,4.37,5.95,5.18,6.83,3.92,3.95,2.67,2.27
6,Operating Income,-0.03,-2.55,2.36,-1.99,6.41,6.87,0.29,-0.44,2.51,3.81
7,Interest Expense,-0.07,-0.09,-0.13,-0.1,-0.04,-0.04,-0.03,-0.04,-0.03,-0.03
8,Interest & Investment Income,0.17,0.17,0.06,-,-,-,0.01,0.12,0.03,-
9,Earnings From Equity Investments,-,-,-,-,-,-0.1,0.76,-,-,-
10,Currency Exchange Gain (Loss),-,-0.01,0.02,-0.04,0.01,0.85,-0.43,0.64,-0.02,-0
11,Other Non Operating Income (Expenses),0.1,0.24,0.1,0.26,0.09,1.33,0.08,0.17,0.08,0.92
12,EBT Excluding Unusual Items,0.17,-2.24,2.4,-1.87,6.47,8.9,0.69,0.45,2.58,4.7
13,Impairment of Goodwill,-,-,-,-1.87,-,-,-,-,-,-
14,Gain (Loss) on Sale of Investments,-,-,-,-,-,1.45,-,-,-,-
15,Other Unusual Items,-,0.02,-,-0.03,0.03,-0.29,0.29,0.25,-,-3.01
16,Pretax Income,0.17,-2.22,2.4,-3.77,6.5,10.07,0.98,0.7,2.58,1.69
17,Income Tax Expense,0.33,0.93,0.34,-0.1,0.93,1.29,0.34,0.31,0.49,0.7
18,Earnings From Continuing Operations,-0.16,-3.15,2.06,-3.67,5.57,8.78,0.64,0.4,2.08,0.99
19,Minority Interest in Earnings,-0.24,-0.1,-0.46,0.34,-1.14,-1.53,-0.16,-,-,-
20,Net Income,-0.4,-3.24,1.61,-3.33,4.43,7.26,0.48,0.4,2.08,0.99
21,Net Income to Common,-0.4,-3.24,1.61,-3.33,4.43,7.26,0.48,0.4,2.08,0.99
22,Net Income Growth,-,-,-63.73%,-,831.51%,1727.71%,-77.16%,-59.74%,21.94%,-56.18%
23,Shares Outstanding (Basic),800,800,800,800,800,800,800,800,800,605
24,Shares Outstanding (Diluted),800,800,800,800,800,800,800,800,800,605
25,Shares Change (YoY),-,-,-,-,-,-,-,32.13%,33.33%,-
26,EPS (Basic),-0.00,-0.00,0.00,-0.00,0.01,0.01,0.00,0.00,0.00,0.00
27,EPS (Diluted),-0.00,-0.00,0.00,-0.00,0.01,0.01,0.00,0.00,0.00,0.00
28,EPS Growth,-,-,-63.73%,-,831.43%,1728.63%,-77.16%,-69.53%,-8.53%,-
29,Free Cash Flow,-0.06,-0.22,-3.85,-6.46,5.29,5.22,2.39,-1.62,-6.04,0.89
30,Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.01,0.01,0.01,0.00,-0.00,-0.01,0.00
31,Operating Margin,-0.19%,-10.42%,9.95%,-13.99%,18.83%,17.18%,1.98%,-4.01%,18.19%,25.59%
32,Profit Margin,-2.64%,-13.25%,6.77%,-23.47%,13.03%,18.16%,3.29%,3.63%,15.09%,6.63%
33,Free Cash Flow Margin,-0.38%,-0.90%,-16.23%,-45.49%,15.56%,13.07%,16.53%,-14.80%,-43.72%,5.97%
34,EBITDA,0.06,-2.46,2.44,-1.94,6.52,6.95,0.38,-0.36,2.58,3.87
35,D&A For EBITDA,0.09,0.09,0.08,0.05,0.11,0.08,0.1,0.08,0.07,0.06
36,EBIT,-0.03,-2.55,2.36,-1.99,6.41,6.87,0.29,-0.44,2.51,3.81
