,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,2700,1860,2376,2418,534,555,570,390,240,390,510,Upgrade
1,Market Cap Growth,-23.08%,-23.08%,344.94%,335.68%,-6.32%,42.31%,137.50%,0%,-52.94%,-23.53%,3.66%,Upgrade
2,Enterprise Value,2623,1690,2319,2228,558,646,659,490,355,421,574,Upgrade
3,Last Close Price,4.50,2.87,3.67,3.74,0.81,1.23,1.26,0.87,0.53,0.87,1.13,Upgrade
4,PE Ratio,27.95,18.61,21.72,85.81,85.95,-24.66,-,-,-,-,107.98,Upgrade
5,PS Ratio,1.50,1.04,1.48,2.06,0.49,0.61,0.67,0.51,0.35,0.61,0.78,Upgrade
6,PB Ratio,5.99,3.28,3.99,5.70,1.24,2.28,2.25,1.45,0.88,1.41,1.76,Upgrade
7,P/TBV Ratio,4.16,4.16,5.41,7.09,1.46,3.02,2.99,1.79,1.09,1.73,2.15,Upgrade
8,P/FCF Ratio,-,-,90.63,-,7.20,7.89,-,5.36,-3.37,-,-8.42,Upgrade
9,P/OCF Ratio,22.79,-,31.49,-,5.87,5.79,13.57,4.09,-3.83,-,-9.79,Upgrade
10,EV/Sales Ratio,1.46,0.94,1.45,1.90,0.51,0.71,0.78,0.64,0.52,0.66,0.88,Upgrade
11,EV/EBITDA Ratio,12.42,8.73,12.01,31.91,15.72,-86.77,-,-47.00,-,-,21.89,Upgrade
12,EV/EBIT Ratio,15.47,9.96,13.43,42.71,29.10,-28.77,-,-,-,-,54.03,Upgrade
13,EV/FCF Ratio,-265.75,-,88.46,-,7.52,9.17,-,6.73,-4.99,-,-9.48,Upgrade
14,Debt / Equity Ratio,0.34,0.34,0.17,0.28,0.20,0.26,0.50,0.40,0.48,0.48,0.22,Upgrade
15,Debt / FCF Ratio,-,-,3.90,-,1.16,0.90,-,1.48,-1.85,-,-1.04,Upgrade
16,Return on Capital Employed (ROCE),27.45%,27.45%,27.90%,11.59%,4.14%,-9.08%,-,-,-,-,3.65%,Upgrade
17,Earnings Yield,3.70%,5.37%,4.60%,1.17%,1.16%,-4.05%,-5.65%,-8.04%,-12.97%,1.53%,0.93%,Upgrade
18,FCF Yield,-0.37%,-0.53%,1.10%,-3.12%,13.88%,12.68%,0.76%,18.67%,-29.70%,-23.08%,-11.88%,Upgrade
19,Buyback Yield / Dilution,-9.60%,-0.34%,-20.69%,-106.48%,-72.44%,-,-,-,-,-,-,Upgrade
20,Total Shareholder Return,-2.94%,-0.34%,-20.69%,-106.48%,-72.44%,-,-,-,-,-,-,Upgrade
