,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,60084,10414,6382,5261,13252,13912,7307,7380,37454,18444,13606,40215,29430,18178,7526,29693,115026,184071,159721,165841,Upgrade
1,Short-Term Investments,141000,221000,205500,237500,249000,314500,277900,274400,256100,266100,263500,230131,242131,218000,223500,187000,111500,11000,11000,8000,Upgrade
2,Cash & Short-Term Investments,201084,231414,211882,242761,262252,328412,285207,281780,293554,284544,277106,270345,271560,236178,231026,216693,226526,195071,170721,173841,Upgrade
3,Cash Growth,-23.32%,-29.54%,-25.71%,-13.85%,-10.66%,15.42%,2.92%,4.23%,8.10%,20.48%,19.95%,24.76%,19.88%,21.07%,35.32%,24.65%,33.47%,31.23%,18.32%,12.30%,Upgrade
4,Accounts Receivable,41222,38329,42581,26667,39310,43212,28621,29839,35254,37515,34601,40156,39175,31969,35547,29473,34034,37632,35148,43200,Upgrade
5,Other Receivables,3042,1202,2376,1295,3605,2077,4258,2149,3233,1960,2183,1302,2159,1361,1855,1308,1260,789.85,1513,763.06,Upgrade
6,Receivables,44264,39531,44957,27963,42915,45289,32879,31987,38487,39475,36784,41458,41335,33330,37402,30782,35294,38422,36661,43963,Upgrade
7,Inventory,71119,75429,84879,82453,67244,88830,118957,108695,104546,101295,94148,73107,71379,87503,93328,94115,89414,104478,110956,95554,Upgrade
8,Prepaid Expenses,435.06,1462,2805,326.46,453.29,620.75,1250,413.77,282.38,1168,1757,2027,915.04,933.35,1841,339.86,434.98,1410,1705,1893,Upgrade
9,Other Current Assets,18533,5415,2958,3180,6207,2311,6071,857.76,4273,852.49,4431,1249,3853,1837,5140,786.51,4265,1030,4558,9229,Upgrade
10,Total Current Assets,335436,353251,347481,356683,379071,465463,444364,423733,441141,427335,414226,388186,389042,359781,368737,342716,355934,340411,324602,324480,Upgrade
11,"Property, Plant & Equipment",32127,32962,35273,36983,39704,40790,42724,44909,45890,47026,49439,52522,53900,56720,60128,63180,65179,66095,68512,69761,Upgrade
12,Other Intangible Assets,2214,2272,2329,2386,2443,2509,2582,2656,2731,2805,2879,2919,2991,3063,3015,3089,3165,3245,3290,3372,Upgrade
13,Other Long-Term Assets,6062,5043,4779,5248,5157,4454,4657,4678,4362,4634,5238,5083,5560,4966,5180,4552,4774,2946,4126,2628,Upgrade
14,Total Assets,375839,393527,389861,401300,426375,513216,494327,475976,494124,481799,471782,448711,451494,424530,437061,413536,429053,412697,400530,400241,Upgrade
15,Accounts Payable,16250,13991,16539,19648,12730,14103,16466,16210,15668,18561,19573,17044,8378,14028,16230,14300,12575,11215,6732,18639,Upgrade
16,Accrued Expenses,44114,30814,31013,17244,46302,35115,21340,16910,36141,34179,32711,24126,38986,21696,30269,18254,41184,30095,30311,23466,Upgrade
17,Current Income Taxes Payable,8229,6406,6535,3675,7821,6175,6185,3790,7364,6121,5928,4620,7203,1616,5456,4332,4202,5719,4717,5155,Upgrade
18,Current Unearned Revenue,1457,1456,298.07,1017,1002,1005,1140,1297,669.46,923.89,1285,708.66,804.02,683.41,1338,1156,733.99,695.32,1401,1128,Upgrade
19,Other Current Liabilities,16177,14883,16431,20711,15322,14733,13492,13828,6500,11649,8010,14255,7246,6905,6465,13284,6184,6107,12444,6161,Upgrade
20,Total Current Liabilities,86227,67550,70816,62295,83178,71131,58623,52036,66342,71434,67507,60754,62617,44928,59758,51327,64879,53832,55603,54548,Upgrade
21,Total Liabilities,86227,67550,70816,62295,83178,71131,58623,52036,66342,71434,67507,60754,62617,44928,59758,51327,64879,53832,55603,54548,Upgrade
22,Common Stock,93326,93326,93326,93326,93326,93326,93326,93326,93326,93326,93326,93326,93326,93326,93326,93326,93326,93326,93326,93326,Upgrade
