,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,37668387,37668387,1257771,1257771,21934386,1102147,1066331,1032576,24283119,961776,939296,1027935,1001628,954923,974560,888245,985235,-,-,-
1,Investment Securities,20984616,20984616,25090961,25090961,24154097,29856148,26792820,25135896,25744067,26383584,24642868,23328177,23214123,21224404,20533686,19645599,20640359,-,-,-
2,Trading Asset Securities,-,-,63665,63665,39455,48369,-,-,104949,42092,135002,127920,127920,127920,130758,127920,127920,-,-,-
3,Total Investments,20984616,20984616,25154626,25154626,24193552,29904517,26792820,25135896,25849016,26425676,24777870,23456097,23342044,21352324,20664444,19773520,20768280,-,-,-
4,Gross Loans,168054115,168054115,156571269,156571269,143260965,132248941,129215213,128130369,120240285,113697149,111897108,108722882,102653266,97605873,95890673,93667730,89171618,-,-,-
5,Allowance for Loan Losses,-2065107,-2065107,-1895084,-1895084,-1548149,-1370079,-1330922,-1388659,-1248303,-1316646,-1417189,-1332411,-1282762,-1014230,-964457,-851347,-851347,-,-,-
6,Net Loans,165989008,165989008,154676185,154676185,141712816,130878862,127884290,126741710,118991982,112380503,110479920,107390471,101370504,96591643,94926217,92816383,88320271,-,-,-
7,"Property, Plant & Equipment",1788235,1788235,1656929,1656929,1298976,978979,982056,979552,1150855,582963,593817,549431,566382,529105,549289,553415,569874,-,-,-
8,Other Intangible Assets,579517,579517,580032,580032,581592,576749,579433,582129,423624,425075,407822,411543,415610,419676,423742,427809,431875,-,-,-
9,Investments in Real Estate,30439,30439,30439,30439,15971,15971,15971,15971,15971,15971,15971,15971,15971,24615,24615,33936,33936,-,-,-
10,Accrued Interest Receivable,3000847,3000847,3103442,3103442,2076285,3650499,3185145,3091946,2727847,3731557,3733064,2997161,2811443,3410144,3211912,3284533,2631738,-,-,-
11,Other Receivables,404140,404140,30263130,30263130,576895,31349137,25459534,32225647,1493153,24993459,25896958,20494615,18211125,18870826,17759860,17514668,15803411,-,-,-
12,Restricted Cash,13680727,13680727,11281603,11281603,16268047,7669685,13542188,4069979,1975334,4068195,3940254,6002271,5131299,2993736,6769790,1931878,4428378,-,-,-
13,Other Current Assets,826471,826471,800053,800053,1113104,-,-,-,583293,-,-,-,-,-,-,-,-,-,-,-
14,Other Real Estate Owned & Foreclosed,152902,152902,88745,88745,103869,-,-,-,70357,-,-,-,-,-,-,-,-,-,-,-
15,Other Long-Term Assets,23694,23694,23727,23727,20746,624151,697366,495451,14183,385473,339522,356603,371500,329804,349560,327930,342198,-,-,-
16,Total Assets,245128983,245128983,228916682,228916682,209896239,206750696,200205136,194370857,177578734,173970650,171124495,162702099,153237506,145476797,145653989,137552316,134315195,-,-,-
17,Accrued Expenses,493128,493128,202904,202904,329646,-,-,-,291924,-,-,-,-,-,-,-,-,-,-,-
18,Interest Bearing Deposits,184524546,184524546,171529474,171529474,160231445,152407353,146654056,138853411,136237735,121428715,125572155,119192640,117870636,112591524,112074264,108521543,104084931,-,-,-
19,Non-Interest Bearing Deposits,11524751,11524751,12022680,12022680,8014467,18548381,19864624,22116321,9034648,23198775,17976287,16493751,13071047,12163798,13545654,11402744,13256856,-,-,-
20,Total Deposits,196049297,196049297,183552154,183552154,168245912,170955734,166518680,160969732,145272383,144627490,143548442,135686390,130941682,124755322,125619917,119924287,117341788,-,-,-
21,Short-Term Borrowings,-,-,-,-,-,-,45674,10654,-,-,-,23892,3112,8764,-,1020,5571,-,-,-
22,Current Portion of Long-Term Debt,7858961,7858961,7977253,7977253,7226880,-,-,-,6379565,-,-,-,-,-,-,-,-,-,-,-
23,Current Income Taxes Payable,289779,289779,259552,259552,366965,-,-,-,121829,-,-,-,-,-,-,-,-,-,-,-
24,Accrued Interest Payable,3395608,3395608,2777600,2777600,4282773,4665702,4408253,3966334,3158821,2866519,2546830,2304033,2371244,2242061,2149720,2186433,2409958,-,-,-
25,Other Current Liabilities,364665,364665,250769,250769,645490,-,-,-,1576954,-,-,-,-,-,-,-,-,-,-,-
26,Long-Term Debt,17244868,17244868,15746453,15746453,13438379,1168413,1182327,1178329,7955862,478553,470731,463967,465619,464338,469456,471439,473621,-,-,-
27,Long-Term Leases,44685,44685,54406,54406,65126,-,-,-,65066,-,-,-,-,-,-,-,-,-,-,-
28,Long-Term Unearned Revenue,-,-,1073978,1073978,3222,-,-,-,33339,-,-,-,-,-,-,-,-,-,-,-
29,Other Long-Term Liabilities,99459,99459,78470,78470,50054,15744330,14257165,15033402,73211,13641780,12781051,12848297,11431006,10276712,9963646,8002415,7485487,-,-,-
30,Total Liabilities,225840450,225840450,211973539,211973539,194654447,192534179,186412100,181158450,164928954,161614343,159347055,151326579,145212664,137747197,138202740,130585594,127716425,-,-,-
31,Common Stock,13725506,13725506,10580426,10580426,10580416,10580426,8464357,8464357,8464347,6564415,6564415,6564415,5134415,4564479,4564479,4564479,4564479,-,-,-
32,Additional Paid-In Capital,63,63,415,415,415,414.99,1572231,1572231,1572231,1572231,1572231,1572231,171271,171271,171271,171271,171271,-,-,-
33,Retained Earnings,5545747,5545747,4917872,4917872,4648987,2616825,2745548,2138374,1042549,3406483,2860360,2456912,1941335,2428301,2149663,1669530,1301715,-,-,-
34,Comprehensive Income & Other,17217,17217,1444430,1444430,11974,1018851,1010901,1037445,1570653,813177,780433,781961,777820,565549,565836,561442,561306,-,-,-
35,Shareholders' Equity,19288533,19288533,16943143,16943143,15241792,14216517,13793037,13212407,12649780,12356306,11777440,11375520,8024842,7729600,7451249,6966722,6598771,-,-,-
36,Total Liabilities & Equity,245128983,245128983,228916682,228916682,209896239,206750696,200205136,194370857,177578734,173970650,171124495,162702099,153237506,145476797,145653989,137552316,134315195,-,-,-
37,Total Debt,25148514,25148514,23778112,23778112,20730385,1168413,1228002,1188983,14400493,478553,470731,487859,468731,473102,469456,472458,479192,-,-,-
38,Net Cash (Debt),12519873,12519873,-21266791,-21266791,1243456,3071987,2628214,531188,9987575,815199,893452,897882,890702,839626,865747,782937,873192,-,-,-
39,Net Cash Growth,906.86%,307.55%,-,-,-87.55%,276.84%,194.16%,-40.84%,1021.32%,-2.91%,3.20%,14.68%,2.01%,-,-,-,-,-,-,-
40,Net Cash Per Share,9293.67,9293.67,-16080.12,-16080.12,940.19,-,-,-,9439.67,-,1173.74,-,-,-,1517.48,-,-,-,-,-
41,Filing Date Shares Outstanding,1373,1373,1323,1323,1323,-,-,-,1058,-,761.2,-,-,-,570.52,-,-,-,486.58,-
42,Total Common Shares Outstanding,1373,1373,1323,1323,1323,-,-,-,1058,-,761.2,-,-,-,570.52,-,-,-,486.58,-
43,Book Value Per Share,14053.06,14053.06,12810.95,12810.95,11524.53,-,-,-,11955.82,-,15472.24,-,-,-,13060.55,-,-,-,-,-
