,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Interest Income on Loans,4400198,4400198,4305656,4305656,5171291,4663325,4981383,4522340,3690790,3346589,3107685,2822420,3004830,2598322,2867673,2583512,2619351,2337165,2157824,1962790
1,Interest Paid on Deposits,2394238,2394238,2342706,2342706,2926631,3352809,3443403,2968188,2281724,1976062,1865899,1724677,1709918,1708761,1670921,1681547,1759488,1646136,1569337,1498225
2,Net Interest Income,2005960,2005960,1962950,1962950,2244660,1310517,1537981,1554151,1409066,1370527,1241785,1097743,1294912,889560,1196752,901965,859863,691029,588487,464565
3,Net Interest Income Growth (YoY),-10.63%,53.07%,27.63%,26.30%,59.30%,-4.38%,23.85%,41.58%,8.82%,54.07%,3.76%,21.71%,50.60%,28.73%,103.36%,94.15%,-,-,-,-
4,Income From Trading Activities,432,432,-,-,-,-,-,-,-,5480,-5480,-,-,-,-,-,11259,-338.81,0.04,-
5,Gain (Loss) on Sale of Assets,-76,-76,671.5,671.5,1158,-,715,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Gain (Loss) on Sale of Investments,-19055,-19055,35071,35071,43090,3899,6142,29.58,3487,74758,4384,36739,165568,3350,2661,101407,151990,-905.67,1224,44889
7,Gain (Loss) on Sale of Equity Investments,11,11,-,-,0.2,37.8,-,-,100321,31.5,-,-,75.6,-,-,75.6,-,-,-,63
8,Other Non-Interest Income,125836,125836,135443,135443,547569,62090,258957,151752,384724,52704,112491,84542,92401,56637,65896,47413,244196,42817,52792,42535
9,Total Non-Interest Income,107149,107149,171185,171185,591817,66026,265815,151781,488531,132973,111394,121281,258045,59987,68557,148895,407445,41572,54015,87487
10,Non-Interest Income Growth (YoY),-81.90%,62.28%,-35.60%,12.78%,21.14%,-50.35%,138.63%,25.15%,89.32%,121.67%,62.48%,-18.55%,-36.67%,44.30%,26.92%,70.19%,-,-,-,-
11,Revenues Before Loan Losses,2113109,2113109,2134135,2134135,2836478,1376543,1803795,1705933,1897597,1503500,1353179,1219024,1552957,949547,1265309,1050860,1267308,732601,642503,552052
12,Provision for Loan Losses,-138565,-138565,166105,166105,514116,-116985,225256,221079,428760,186938,198046,49649,488137,115444,176271,-,198696,82872,276641,-
13,Revenue,2251673,2251673,1968031,1968031,2322361,1493528,1578539,1484854,1468837,1316562,1155133,1169375,1064820,834103,1089039,1050860,1068611,649730,365862,552052
14,Revenue Growth (YoY),-3.04%,50.76%,24.67%,32.54%,58.11%,13.44%,36.65%,26.98%,37.94%,57.84%,6.07%,11.28%,-0.35%,28.38%,197.66%,90.36%,-,-,-,-
15,Salaries and Employee Benefits,1051982,1051982,-,-,1888273,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Occupancy Expenses,340758,340758,-,-,595406,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Federal Deposit Insurance,94623,94623,-,-,174845,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,"Selling, General & Administrative",303466,303466,124669,124669,768316,-,208324,-,-,-,-,-,-,-,1066283,-,-,-,717010,-
19,Other Non-Interest Expense,-703543,-703543,735051,735051,-2450601,971505,608749,721512,1055727,632771,629485,523946,688477,484971,-590160,590160,450869,462890,-409404,409404
20,Total Non-Interest Expense,1087286,1087286,859719,859719,976239,971505,817073,721512,1055727,632771,629485,523946,688477,484971,476123,590160,450869,462890,307606,409404
21,EBT Excluding Unusual Items,1164388,1164388,1108312,1108312,1346122,522023,761467,763341,413110,683792,525649,645429,376343,349132,612916,460700,617742,186840,58256,142648
22,Other Unusual Items,-,-,-,-,-89000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,Pretax Income,1164388,1164388,1108312,1108312,1257122,522023,761467,763341,413110,683792,525649,645429,376343,349132,612916,460700,617742,186840,58256,142648
24,Income Tax Expense,245801,245801,223352,223352,267508,106493,154292,154040,86717,137669,105865,129853,78217,70494,123132,92884,125372,39143,11665,29642
25,Net Income,918587,918587,884960,884960,989614,415530,607175,609301,326393,546123,419784,515576,298126,278638,489784,367815,492370,147696,46591,113006
26,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,60000,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Net Income to Common,918587,918587,884960,884960,989614,415530,547175,609301,326393,546123,419784,515576,298126,278638,489784,367815,492370,147696,46591,113006
28,Net Income Growth,-7.18%,121.06%,45.75%,45.24%,203.20%,-23.91%,44.64%,18.18%,9.48%,96.00%,-14.29%,40.17%,-39.45%,88.66%,951.23%,225.48%,-,-,-,-
29,Basic Shares Outstanding,1347,1347,1323,1323,1323,-,-,-,1058,-,761,-,-,-,571,-,-,-,487,-
30,Diluted Shares Outstanding,1347,1347,1323,1323,1323,-,-,-,1058,-,761,-,-,-,571,-,-,-,487,-
31,Shares Change (YoY),1.86%,-,-,-,25.00%,-,-,-,-,-,33.42%,-,-,-,17.25%,-,-,-,-,-
32,EPS (Basic),681.88,681.88,669.13,669.13,748.26,-,-,-,308.49,-,551.48,-,-,-,858.49,-,-,-,95.75,-
33,EPS (Diluted),681.88,681.88,669.13,669.13,748.26,-,-,-,308.49,-,551.48,-,-,-,858.49,-,-,-,95.75,-
34,EPS Growth,-8.87%,-,-,-,142.56%,-,-,-,-,-,-35.76%,-,-,-,796.57%,-,-,-,-,-
35,Effective Tax Rate,21.11%,21.11%,20.15%,20.15%,21.28%,20.40%,20.26%,20.18%,20.99%,20.13%,20.14%,20.12%,20.78%,20.19%,20.09%,20.16%,20.30%,20.95%,20.02%,20.78%
