,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Cash & Equivalents,590.93,944.27,682.21,553.01,806.7,-,517.36,650.14,-,161.22
1,Trading Asset Securities,20,10.06,95,92.06,-,-,25,-,-,-
2,Cash & Short-Term Investments,610.93,954.33,777.21,645.07,806.7,-,542.36,650.14,161.22,161.22
3,Cash Growth,-24.27%,-,43.30%,-0.78%,400.38%,-,-,-,-,-
4,Accounts Receivable,1071,1091,873.23,1019,1009,-,877.99,866,-,641.57
5,Other Receivables,7.34,6.24,6.81,5.37,14.98,-,18.25,4.66,-,3.43
6,Receivables,1079,1097,880.04,1024,1024,-,896.24,870.66,-,645
7,Inventory,1224,1168,1404,1463,1480,-,2145,1592,-,1090
8,Other Current Assets,152.58,97.68,152.72,101.94,80.97,-,61.29,73.91,-,92.5
9,Total Current Assets,3066,3317,3214,3234,3392,-,3645,3187,-,1988
10,"Property, Plant & Equipment",1230,1233,1255,1232,1227,-,1217,1171,-,1027
11,Other Intangible Assets,43.9,44.63,45.31,45.52,46.31,-,47.86,48.54,-,51.64
12,Long-Term Deferred Charges,4.61,5.76,6.26,5.68,5.3,-,6.22,7.19,-,8.71
13,Other Long-Term Assets,0.37,1.99,0.9,0.67,0.63,-,0.04,2.95,-,0.71
14,Total Assets,4345,4602,4521,4517,4671,-,4916,4417,-,3076
15,Accounts Payable,114.14,368.95,374.36,703,349.48,-,312.36,335.77,-,268.8
16,Accrued Expenses,89.5,84.92,70.98,77.88,48.33,-,49.88,75.48,-,86.47
17,Short-Term Debt,397.13,525.78,481.9,218.78,807.2,-,1080,573.81,-,241.12
18,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,4.01
19,Current Portion of Leases,9.37,9.49,9.72,0.69,0.68,-,1.25,10.02,-,4.9
20,Current Income Taxes Payable,7.86,1.45,5.16,0.72,8.66,-,8.09,0.68,-,1.66
21,Current Unearned Revenue,27.93,28.49,31.04,37.63,29.54,-,69.76,30.05,-,11.48
22,Other Current Liabilities,149.11,85.18,83.32,104.66,100.95,-,129.95,128.74,-,122.77
23,Total Current Liabilities,795.05,1104,1056,1143,1345,-,1652,1155,-,741.21
24,Long-Term Debt,-,-,-,-,-,-,-,31.54,-,49.48
25,Long-Term Leases,9.44,9.24,8.94,0.09,0.3,-,-,0.77,-,5.93
26,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,0.2
27,Long-Term Deferred Tax Liabilities,0.34,0.36,0.38,0.4,0.47,-,0.49,0.49,-,0.58
28,Total Liabilities,804.82,1114,1066,1144,1346,-,1652,1187,-,797.39
29,Common Stock,501.73,501.73,501.73,501.73,501.73,-,501.73,501.73,-,376.3
30,Additional Paid-In Capital,1812,1812,1812,1812,1812,-,1812,1812,-,1143
31,Retained Earnings,1226,1174,1141,1059,1011,-,950.94,915.88,-,759.86
32,Comprehensive Income & Other,0.13,0.24,0.11,0.1,0.43,-,-0.74,-0.14,-,-0.03
33,Shareholders' Equity,3540,3488,3456,3373,3325,-,3264,3230,2279,2279
34,Total Liabilities & Equity,4345,4602,4521,4517,4671,-,4916,4417,-,3076
35,Total Debt,415.94,544.51,500.56,219.56,808.19,-,1082,616.14,305.44,305.44
36,Net Cash (Debt),194.99,409.81,276.65,425.52,-1.49,-,-539.31,34.01,-144.22,-144.22
37,Net Cash Growth,-,-,-,1151.32%,-,-,-,-,-,-
38,Net Cash Per Share,0.40,0.82,0.54,0.88,-0.00,-,-1.08,0.08,-0.39,-0.41
39,Filing Date Shares Outstanding,501.73,501.73,501.73,501.73,501.73,468.28,501.73,501.73,370.74,348.45
40,Total Common Shares Outstanding,501.73,501.73,501.73,501.73,501.73,468.28,501.73,501.73,370.74,348.45
41,Working Capital,2271,2213,2158,2090,2047,-,1994,2032,-,1247
42,Book Value Per Share,7.06,6.95,6.89,6.72,6.63,-,6.51,6.44,6.54,6.54
43,Tangible Book Value,3497,3444,3410,3328,3279,-,3216,3181,2227,2227
44,Tangible Book Value Per Share,6.97,6.86,6.80,6.63,6.54,-,6.41,6.34,6.39,6.39
45,Buildings,-,1072,-,1059,-,-,-,906.89,-,719.62
46,Machinery,-,1249,-,1226,-,-,-,1086,-,973.55
47,Construction In Progress,-,22.21,-,44.27,-,-,-,205.57,-,304.91
