,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Operating Revenue,1204,1186,922.1,836.19,1388,1291,1075,893.14,871.78,539.61
1,Other Revenue,-59.87,59.87,-,249.43,-109.05,109.05,-,246.08,-,221.88
2,Revenue,1145,1245,922.1,1086,1279,1400,1075,1139,871.78,761.49
3,Revenue Growth (YoY),-10.54%,-11.05%,-14.23%,-4.70%,46.75%,83.88%,-,-,-,-
4,Cost of Revenue,1030,1109,794.9,991.3,1156,1318,1026,1070,829.76,752.56
5,Gross Profit,114.17,136.61,127.2,94.31,122.89,82.34,49.12,68.97,42.02,8.93
6,"Selling, General & Admin",38.45,30.72,38.87,50.95,37.72,10.73,23.21,55.35,17.23,18.6
7,Research & Development,4.44,4.02,3.23,5.08,4.26,4.21,4.19,5.12,3.41,1.78
8,Other Operating Expenses,5.12,5.94,6.44,3.26,2.88,4.05,-8.17,11.15,3.32,3.75
9,Operating Expenses,49.58,41.3,47.88,59.53,44.33,22.04,18.21,70.59,27.06,21.95
10,Operating Income,64.59,95.3,79.32,34.78,78.56,60.3,30.91,-1.63,14.96,-13.02
11,Interest Expense,-9.42,-6.67,-3,-4.04,-15.63,-14.08,-9.43,-10.04,-0.95,-0.61
12,Interest & Investment Income,7.2,2.64,3.76,11.35,12.98,6.67,4,13.67,0.51,0.61
13,Currency Exchange Gain (Loss),11.61,-11.61,-,-20.26,22.77,-22.77,-,-53.31,-,4.86
14,Other Non Operating Income (Expenses),-12.08,1.9,-2.85,21.87,-23.57,-8.56,7.36,63.09,1.81,-3.62
15,EBT Excluding Unusual Items,61.9,81.57,77.22,43.7,75.1,21.57,32.83,11.78,16.33,-11.78
16,Gain (Loss) on Sale of Investments,-9.84,4.3,-1.13,3.77,-11.55,7.88,3.42,-7.14,-4.75,-6.06
17,Gain (Loss) on Sale of Assets,-0.64,-0.04,-,-0.02,0.04,-,-,-,-,-0
18,Asset Writedown,0.4,-0.4,-,-1.9,1.39,-1.39,-,19.8,-,23.36
19,Legal Settlements,-,-,-,1.33,-1.33,1.33,-,-1.63,-,-
20,Other Unusual Items,1.48,2.09,6.58,2.2,-0.07,0.07,-,10.48,-,0.7
21,Pretax Income,53.3,87.51,82.68,49.08,63.58,29.46,36.25,33.29,11.58,6.22
22,Income Tax Expense,1.07,2.12,0.56,0.74,1.35,1.52,1.2,-3.68,0.46,1.8
23,Net Income,52.23,85.39,82.11,48.34,62.24,27.93,35.05,36.96,11.12,4.42
24,Net Income to Common,52.23,85.39,82.11,48.34,62.24,27.93,35.05,36.96,11.12,4.42
25,Net Income Growth,-16.08%,205.67%,134.27%,30.79%,459.56%,531.78%,-,-,-,-
26,Shares Outstanding (Basic),483,502,513,481,534,468,501,444,371,348
27,Shares Outstanding (Diluted),483,502,513,481,534,468,501,444,371,348
28,Shares Change (YoY),-9.49%,7.19%,2.49%,8.31%,43.94%,34.39%,-,-,-,-
29,EPS (Basic),0.11,0.17,0.16,0.10,0.12,0.06,0.07,0.08,0.03,0.01
30,EPS (Diluted),0.11,0.17,0.16,0.10,0.12,0.06,0.07,0.08,0.03,0.01
31,EPS Growth,-7.28%,185.17%,128.57%,20.75%,288.74%,370.12%,-,-,-,-
32,Free Cash Flow,630.67,697.28,353.75,625.63,207.7,1154,915.24,244.95,286.43,313.91
33,Free Cash Flow Per Share,1.31,1.39,0.69,1.30,0.39,2.46,1.83,0.55,0.77,0.90
34,Dividend Per Share,-,-,-,0.105,-,-,-,0.060,-,-
35,Dividend Growth,-,-,-,75.00%,-,-,-,-,-,-
36,Gross Margin,9.97%,10.97%,13.79%,8.69%,9.61%,5.88%,4.57%,6.05%,4.82%,1.17%
37,Operating Margin,5.64%,7.65%,8.60%,3.20%,6.14%,4.31%,2.88%,-0.14%,1.72%,-1.71%
38,Profit Margin,4.56%,6.86%,8.91%,4.45%,4.86%,2.00%,3.26%,3.24%,1.28%,0.58%
39,Free Cash Flow Margin,55.10%,55.99%,38.36%,57.63%,16.23%,82.40%,85.14%,21.50%,32.86%,41.22%
40,EBITDA,83.41,116.27,98.13,53.6,94.95,77.73,47.31,14.77,30.8,2.82
41,EBITDA Margin,7.29%,9.34%,10.64%,4.94%,7.42%,5.55%,4.40%,1.30%,3.53%,0.37%
42,D&A For EBITDA,18.81,20.96,18.81,18.81,16.4,17.42,16.4,16.4,15.84,15.84
43,EBIT,64.59,95.3,79.32,34.78,78.56,60.3,30.91,-1.63,14.96,-13.02
44,EBIT Margin,5.64%,7.65%,8.60%,3.20%,6.14%,4.31%,2.88%,-0.14%,1.72%,-1.71%
45,Effective Tax Rate,2.02%,2.42%,0.68%,1.51%,2.12%,5.17%,3.31%,-,3.99%,28.92%
46,Revenue as Reported,1145,1245,922.1,1086,1279,1400,1075,1139,871.78,3025
