,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Market Capitalization,5710,5614,4917,5213,6051,7365,9252,8946,10597,-,-
1,Market Cap Growth,-23.77%,-23.77%,-46.85%,-41.73%,-42.90%,-,-,-,-,-,-
2,Enterprise Value,5515,5205,4640,5214,6052,7905,9791,9571,11222,-,-
3,Last Close Price,11.38,11.19,9.80,10.29,11.94,14.53,18.26,17.60,20.84,-,-
4,PE Ratio,21.00,20.94,17.68,23.63,34.86,45.41,83.30,102.17,201.81,-,-
5,PS Ratio,1.28,1.28,1.08,1.11,1.25,1.51,2.06,2.33,3.82,-,-
6,PB Ratio,1.61,1.59,1.41,1.51,1.79,2.21,-,2.74,3.28,-,-
7,P/TBV Ratio,1.61,1.61,1.43,1.53,1.82,2.25,-,2.78,3.33,-,-
8,P/FCF Ratio,2.47,2.43,2.61,2.23,2.08,2.92,3.56,5.08,12.54,-,-
9,P/OCF Ratio,2.34,2.34,2.44,2.09,1.96,2.69,3.29,4.44,10.25,-,-
10,EV/Sales Ratio,1.25,1.18,1.02,1.11,1.25,1.62,2.18,2.49,4.05,-,-
11,EV/EBITDA Ratio,15.86,14.81,12.79,16.07,22.12,33.67,57.39,100.02,231.92,-,-
12,EV/EBIT Ratio,21.60,19.00,16.11,20.61,29.59,47.01,93.65,306.51,-,-,-
13,EV/FCF Ratio,2.39,2.26,2.46,2.23,2.09,3.13,3.77,5.44,13.28,-,-
14,Debt / Equity Ratio,0.12,0.12,0.16,0.14,0.07,0.24,-,0.33,0.19,0.13,0.13
15,Debt / EBITDA Ratio,1.20,1.25,1.12,1.28,0.86,2.13,-,5.72,6.32,2.48,9.65
16,Debt / FCF Ratio,0.18,0.18,0.29,0.21,0.08,0.32,-,0.61,0.73,0.51,0.97
17,Asset Turnover,1.02,1.09,0.82,-,-,-,0.92,-,-,-,
18,Inventory Turnover,2.90,3.45,3.45,2.22,-,-,-,2.20,-,-,-
19,Quick Ratio,2.13,2.13,1.86,1.57,1.46,1.36,-,0.87,1.32,-,1.09
20,Current Ratio,3.86,3.86,3.00,3.04,2.83,2.52,-,2.21,2.76,-,2.68
21,Return on Equity (ROE),5.94%,9.84%,9.62%,-,-,-,4.32%,-,1.95%,-,
22,Return on Assets (ROA),3.61%,5.22%,4.39%,-,-,-,1.66%,-,-,-,
23,Return on Capital (ROIC),4.04%,5.96%,5.25%,-,-,-,1.89%,-,1.45%,-,
24,Return on Capital Employed (ROCE),7.19%,7.72%,8.23%,7.30%,6.06%,5.06%,-,0.96%,-,-,-
25,Earnings Yield,4.70%,4.77%,5.66%,4.23%,2.87%,2.20%,1.20%,0.98%,0.50%,-,-
26,FCF Yield,40.41%,41.10%,38.32%,44.90%,47.96%,34.24%,28.11%,19.68%,7.98%,-,-
27,Dividend Yield,0.92%,-,-,-,0.88%,-,-,-,0.29%,-,-
28,Payout Ratio,28.49%,18.99%,69.66%,2.49%,10.21%,28.27%,154.67%,24.19%,28.41%,12.80%,22.64%
29,Buyback Yield / Dilution,-1.66%,9.49%,-7.19%,-2.49%,-8.31%,-43.94%,-34.39%,-,-,-,-
30,Total Shareholder Return,-0.74%,9.49%,-7.19%,-2.49%,-7.43%,-43.94%,-34.39%,-,0.29%,-,-
