,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,6716,5480,7137,8262,10370,12600,22337,14056,14983,14451,Upgrade
1,Trading Asset Securities,-,-,-,-,-,-,-,-,172.53,-,Upgrade
2,Cash & Short-Term Investments,6716,5480,7137,8262,10370,12600,22337,14056,15155,14451,Upgrade
3,Cash Growth,-5.90%,-33.67%,-31.18%,-34.43%,-53.57%,-10.36%,47.39%,-2.73%,7.88%,22.53%,Upgrade
4,Accounts Receivable,152.36,217.62,171.75,154.8,168.02,239.96,135.88,289.93,127.62,88.7,Upgrade
5,Other Receivables,3835,4221,4540,5279,7461,6059,5456,6157,4249,3856,Upgrade
6,Receivables,4068,4518,4786,5502,8077,6857,6233,7141,4878,4371,Upgrade
7,Inventory,26598,29944,33451,39216,44647,45284,51093,48510,44423,41236,Upgrade
8,Other Current Assets,2748,5625,3713,2615,2653,3114,4210,2266,4020,4866,Upgrade
9,Total Current Assets,40130,45568,49087,55595,65747,67855,83873,71973,68476,64924,Upgrade
10,"Property, Plant & Equipment",70.09,73.77,86.69,94.32,145.3,175.94,184.7,187.49,318.46,346.07,Upgrade
11,Long-Term Investments,15061,16338,20242,20250,21255,21827,17125,15605,13950,13274,Upgrade
12,Long-Term Deferred Tax Assets,85.26,134.25,240.44,227.36,278.84,196.3,244.21,214.94,189.38,133.51,Upgrade
13,Other Long-Term Assets,8731,9190,10088,11184,12580,16198,15035,13916,10833,11067,Upgrade
14,Total Assets,64806,73146,82089,90002,102255,108236,118109,103281,94805,90788,Upgrade
15,Accounts Payable,1257,1350,1715,1967,2282,2562,2346,2183,1731,2001,Upgrade
16,Accrued Expenses,196.15,246.84,170.51,208.85,471.55,670.31,881.81,796.86,703.09,718.89,Upgrade
17,Short-Term Debt,-,-,313.01,-,1151,600.15,2903,1371,700,700,Upgrade
18,Current Portion of Long-Term Debt,8463,10870,4892,11168,11601,8452,13597,12809,12027,7619,Upgrade
19,Current Portion of Leases,11.88,14.23,18.29,15.03,18.5,24.42,25.98,26.36,28.37,27.09,Upgrade
20,Current Income Taxes Payable,3798,4359,4586,4944,5149,5955,5629,5832,5172,5798,Upgrade
21,Current Unearned Revenue,3137,3317,4464,3980,8371,8407,16539,7819,10474,8482,Upgrade
22,Other Current Liabilities,10776,11245,12405,11602,11504,13436,14269,13439,11588,13856,Upgrade
23,Total Current Liabilities,27640,31402,28563,33886,40547,40107,56192,44275,42423,39201,Upgrade
24,Long-Term Debt,11548,12753,20757,21890,24107,30789,26758,24685,21975,21822,Upgrade
25,Long-Term Leases,8.97,14.56,21.26,28.65,38.92,67.66,79.09,89.61,124.47,141.57,Upgrade
26,Long-Term Deferred Tax Liabilities,958.55,1044,1207,1239,1402,1363,1280,1173,1096,1059,Upgrade
27,Other Long-Term Liabilities,-,734.73,581.95,198.82,1276,111.79,-,17.41,-,-,Upgrade
28,Total Liabilities,40155,45949,51129,57242,67370,72437,84309,70239,65619,62224,Upgrade
29,Common Stock,74.93,74.93,74.93,74.93,74.93,74.93,74.93,74.93,74.93,74.93,Upgrade
30,Additional Paid-In Capital,3225,3225,3225,3225,3225,3225,3225,3225,3225,3225,Upgrade
31,Retained Earnings,9494,10128,12870,14090,14671,14685,14094,14181,13038,13267,Upgrade
32,Comprehensive Income & Other,8397,9231,9649,9818,10744,11307,11113,10400,8941,9261,Upgrade
33,Total Common Equity,21191,22659,25819,27208,28715,29292,28507,27880,25278,25828,Upgrade
34,Minority Interest,3460,4538,5141,5553,6170,6507,5293,5162,3907,2736,Upgrade
35,Shareholders' Equity,24651,27198,30960,32760,34884,35798,33800,33042,29186,28564,Upgrade
36,Total Liabilities & Equity,64806,73146,82089,90002,102255,108236,118109,103281,94805,90788,Upgrade
37,Total Debt,20032,23652,26001,33101,36916,39933,43363,38980,34855,30310,Upgrade
38,Net Cash (Debt),-13316,-18172,-18864,-24840,-26546,-27333,-21026,-24924,-19699,-15859,Upgrade
39,Net Cash Per Share,-17.77,-24.25,-25.17,-33.15,-35.43,-36.48,-28.06,-33.26,-26.29,-21.16,Upgrade
40,Filing Date Shares Outstanding,749.34,749.34,749.34,749.34,749.34,749.34,749.34,749.34,749.34,749.34,Upgrade
41,Total Common Shares Outstanding,749.34,749.34,749.34,749.34,749.34,749.34,749.34,749.34,749.34,749.34,Upgrade
42,Working Capital,12490,14166,20524,21709,25201,27749,27681,27698,26053,25722,Upgrade
43,Book Value Per Share,18.99,20.95,25.16,27.02,29.04,29.81,28.77,27.93,24.45,25.18,Upgrade
44,Tangible Book Value,21191,22659,25819,27208,28715,29292,28507,27880,25278,25828,Upgrade
45,Tangible Book Value Per Share,18.99,20.95,25.16,27.02,29.04,29.81,28.77,27.93,24.45,25.18,Upgrade
46,Land,-,13.12,-,13.49,-,47.51,-,45.68,-,43.41,Upgrade
47,Machinery,-,127.64,-,125.07,-,124.28,-,109.88,-,116.96,Upgrade
48,Leasehold Improvements,-,68.12,-,69.59,-,73.19,-,56.15,-,130.79,Upgrade
