,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,269,151,168,127,137,127,146,202,170,144,168
1,Market Cap Growth,18.87%,18.87%,22.81%,0%,-6.56%,-36.90%,-14.08%,40.00%,1.43%,-28.57%,-11.39%
2,Enterprise Value,163,46,-9,-38,-32,-59,-48,24,1,-22,28
3,Last Close Price,0.56,0.32,0.33,0.14,0.15,0.14,0.15,0.21,0.17,0.15,0.16
4,PE Ratio,14.62,8.22,7.22,8.56,10.56,8.92,10.23,8.98,6.51,5.45,5.57
5,PS Ratio,1.61,0.91,0.82,0.48,0.47,0.53,0.67,0.98,0.90,0.79,0.85
6,PB Ratio,1.12,0.63,0.68,0.38,0.40,0.37,0.41,0.58,0.51,0.47,0.56
7,P/TBV Ratio,0.63,0.63,0.68,0.38,0.40,0.37,0.41,0.58,0.51,0.47,0.56
8,P/FCF Ratio,7.39,4.15,3.85,7.83,-,-,-,9.95,55.06,4.86,4.24
9,P/OCF Ratio,3.08,3.08,3.25,7.66,-,-,-,8.24,19.27,4.16,2.98
10,EV/Sales Ratio,0.97,0.28,-,-,-,-,-,0.12,0.01,-,0.14
11,EV/EBITDA Ratio,7.80,2.23,-,-,-,-,-,1.12,0.03,-,0.71
12,EV/EBIT Ratio,10.96,3.12,-,-,-,-,-,1.49,0.04,-,0.78
13,EV/FCF Ratio,4.47,1.27,-,-,-,-,-,1.19,0.33,-,0.71
14,Return on Capital Employed (ROCE),6.06%,6.06%,8.18%,8.01%,7.08%,3.34%,3.40%,4.64%,7.22%,10.73%,11.77%
15,Earnings Yield,6.84%,12.16%,13.85%,11.68%,9.47%,11.22%,9.77%,11.14%,15.37%,18.36%,17.94%
16,FCF Yield,13.54%,24.07%,25.95%,12.76%,-6.73%,-12.81%,7.89%,10.05%,1.82%,20.58%,23.61%
17,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,0.10%,
18,Total Shareholder Return,3.57%,-,-,-,-,-,-,-,-,-,0.10%
