,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,69.14,86.18,99.9,144.74,112.45,92.9,84.43,86.5,73.43,93.62
1,Revenue Growth (YoY),-30.79%,-40.46%,-11.16%,55.79%,33.19%,7.40%,14.98%,-7.60%,-10.60%,-2.36%
2,Cost of Revenue,50.11,62.79,74.59,113.11,90.19,77.57,63.27,65.52,49.5,61.61
3,Gross Profit,19.03,23.39,25.31,31.62,22.26,15.33,21.16,20.98,23.93,32.02
4,"Selling, General & Admin",9.41,12.87,10.04,13.69,9.87,10.26,9.93,10.12,8.37,11.91
5,Research & Development,3.84,3.94,4.61,3.96,4.96,3.9,3.82,4.3,3.23,4.26
6,Other Operating Expenses,-,-2.78,-,-0.43,-,-1.33,-,0.56,-2.27,0.31
7,Operating Expenses,13.24,15.38,14.65,16.83,14.83,12.83,13.75,14.98,9.32,16.48
8,Operating Income,5.79,8.01,10.66,14.79,7.43,2.51,7.41,6,14.61,15.54
9,Interest Expense,-0.01,-,-0.01,-,-,-0.02,-,-0.04,-0.02,-
10,Interest & Investment Income,-,4.89,-,2.94,-,3.03,-,2.85,-,2.73
11,Currency Exchange Gain (Loss),-,1.97,-,1.05,-,-0.03,-,-0.06,-,-0.4
12,Other Non Operating Income (Expenses),2.89,-2.64,2.64,-2.19,2.19,-1.81,1.81,-,-,-
13,EBT Excluding Unusual Items,8.68,12.24,13.29,16.59,9.62,3.69,9.22,8.75,14.6,17.87
14,Gain (Loss) on Sale of Assets,-,-0.33,-,-0,-,-,-,-0.13,-,-0
15,Pretax Income,8.68,11.91,13.29,16.59,9.62,3.69,9.22,8.63,14.6,17.86
16,Income Tax Expense,1.81,1.66,2.41,13.72,1.03,0.1,1.15,-1.98,3.15,5.22
17,Net Income,6.87,10.24,10.88,2.87,8.59,3.59,8.07,10.6,11.45,12.65
18,Net Income to Common,6.87,10.24,10.88,2.87,8.59,3.59,8.07,10.6,11.45,12.65
19,Net Income Growth,-36.85%,257.15%,26.64%,-20.11%,6.47%,-66.14%,-29.53%,-16.16%,-19.93%,-4.80%
20,Shares Outstanding (Basic),480,480,480,480,480,480,480,480,480,480
21,Shares Outstanding (Diluted),480,480,480,480,480,480,480,480,480,480
22,Shares Change (YoY),-,-,-,-,-,-,-,-,-,-0.10%
23,EPS (Basic),0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.03
24,EPS (Diluted),0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.03
25,EPS Growth,-36.85%,257.14%,26.64%,-20.11%,6.47%,-66.14%,-29.53%,-16.16%,-19.93%,-4.71%
26,Free Cash Flow,10.45,23.42,16.16,-1.14,-7.01,-6.91,16.32,0.54,2.07,24.94
27,Free Cash Flow Per Share,0.02,0.05,0.03,-0.00,-0.01,-0.01,0.03,0.00,0.00,0.05
28,Operating Margin,8.37%,9.30%,10.67%,10.22%,6.61%,2.70%,8.77%,6.94%,19.90%,16.60%
29,Profit Margin,9.94%,11.89%,10.89%,1.98%,7.64%,3.86%,9.56%,12.26%,15.59%,13.51%
30,Free Cash Flow Margin,15.12%,27.17%,16.18%,-0.79%,-6.23%,-7.43%,19.32%,0.62%,2.82%,26.64%
31,EBITDA,8.62,10.68,13.35,17.5,10.02,4.81,9.72,8.21,16.79,17.48
32,D&A For EBITDA,2.83,2.67,2.69,2.71,2.59,2.31,2.31,2.21,2.18,1.94
33,EBIT,5.79,8.01,10.66,14.79,7.43,2.51,7.41,6,14.61,15.54
