,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,98.89,95.2,163.58,146.48,144.26,152.06,158,144.76,146.95,146.69
1,Short-Term Investments,-,-,-,-,-,-,3.25,-,7.42,1.71
2,Cash & Short-Term Investments,98.89,95.2,163.58,146.48,144.26,152.06,161.25,144.76,154.37,148.4
3,Cash Growth,-39.54%,-35.01%,13.39%,-3.67%,-10.54%,5.04%,4.46%,-2.45%,25.40%,30.89%
4,Accounts Receivable,61.67,80.37,102.92,116.75,81.05,72.41,77.02,75.87,74.12,67.82
5,Other Receivables,4.37,2.54,3.76,2.71,3.85,5.96,4.95,5.21,3.77,4.35
6,Receivables,66.03,82.91,106.69,119.46,84.9,78.37,81.97,81.07,77.9,72.16
7,Inventory,35.93,37.1,36.91,33.54,55.7,36.27,21.49,27.1,21.69,27.57
8,Other Current Assets,0.62,1.54,1.96,6.45,0.43,4.93,-,4.72,-,-
9,Total Current Assets,201.47,216.75,309.13,305.94,285.3,271.63,264.71,257.65,253.96,248.13
10,"Property, Plant & Equipment",44.37,42.65,38.4,41,43.63,43.17,45.3,47.65,47.2,47.37
11,Long-Term Deferred Tax Assets,-,-,-,0.54,0.46,0.54,0.31,0.31,0.5,0.5
12,Total Assets,245.83,259.4,347.53,347.48,329.38,315.34,310.33,305.61,301.66,296.01
13,Accounts Payable,4.09,10.19,12.58,11.42,15.5,9.22,6.24,2.21,2.51,5.31
14,Current Income Taxes Payable,2.8,4.33,3.88,5.46,3.86,3.09,3.15,3.49,5.32,3.7
15,Current Unearned Revenue,-,2.21,0.26,-,0.2,-,0.21,0.4,1.25,0.03
16,Other Current Liabilities,11.38,14.28,12.96,16.76,11.88,11.37,11.78,13.97,11.64,13.98
17,Total Current Liabilities,18.26,31.01,29.69,33.63,31.45,23.68,21.38,20.06,20.71,23.02
18,Long-Term Deferred Tax Liabilities,3.32,2.64,5.89,13.37,2.05,2.18,2.3,2.42,4.25,4.45
19,Total Liabilities,21.57,33.64,35.58,47,33.5,25.85,23.68,22.49,24.96,27.47
20,Common Stock,3.87,3.87,3.87,3.87,3.87,3.87,3.87,3.87,3.87,3.87
21,Additional Paid-In Capital,75.23,83.94,83.94,88.16,88.16,92.03,92.03,96.06,96.06,100.39
22,Retained Earnings,57.99,51.12,133.34,122.46,119.59,111,107.41,99.34,88.74,77.29
23,Comprehensive Income & Other,87.17,86.82,90.81,85.99,84.26,82.58,83.33,83.84,88.03,86.98
24,Shareholders' Equity,224.26,225.75,311.95,300.48,295.89,289.49,286.65,283.12,276.7,268.54
25,Total Liabilities & Equity,245.83,259.4,347.53,347.48,329.38,315.34,310.33,305.61,301.66,296.01
26,Net Cash (Debt),98.89,95.2,163.58,146.48,144.26,152.06,161.25,144.76,154.37,148.4
27,Net Cash Growth,-39.54%,-35.01%,13.39%,-3.67%,-10.54%,5.04%,4.46%,-2.45%,25.40%,30.89%
28,Net Cash Per Share,0.21,0.20,0.34,0.31,0.30,0.32,0.34,0.30,0.32,0.31
29,Filing Date Shares Outstanding,480,480,480,480,480,480,480,480,480,480
30,Total Common Shares Outstanding,480,480,480,480,480,480,480,480,480,480
31,Working Capital,183.21,185.74,279.44,272.31,253.85,247.96,243.33,237.59,233.25,225.11
32,Book Value Per Share,0.47,0.47,0.65,0.63,0.62,0.60,0.60,0.59,0.58,0.56
33,Tangible Book Value,224.26,225.75,311.95,300.48,295.89,289.49,286.65,283.12,276.7,268.54
34,Tangible Book Value Per Share,0.47,0.47,0.65,0.63,0.62,0.60,0.60,0.59,0.58,0.56
35,Machinery,-,91.6,-,87.84,-,84.67,-,79.2,-,83.15
36,Construction In Progress,-,-,-,-,-,-,-,5.23,-,2.52
