,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,107228,69440,21248,29761,30508,36833,26724,34993,26450,21528
1,Long-Term Investments,9074,3001,885,-,-,-,965.31,955.06,-,-
2,Trading Asset Securities,706.25,832.38,978.07,972.67,616.9,250.96,249.12,545.15,767.25,181.2
3,Loans & Lease Receivables,208875,195101,202132,193494,191599,190872,178424,166041,156152,141498
4,Other Receivables,1577,1154,1793,1488,1824,1904,2023,2237,1703,852.45
5,"Property, Plant & Equipment",124886,118815,116378,106666,104589,92984,83953,77270,77399,73865
6,Goodwill,-,-,-,-,-,-,-,-,0.85,-
7,Other Intangible Assets,1034,1153,1174,1228,1269,1382,1593,1622,-,1868
8,Other Current Assets,17795,16106,15175,17268,13939,14378,14951,16951,15363,19088
9,Long-Term Deferred Tax Assets,2216,2132,2020,1831,1869,1675,1368,1318,1719,1427
10,Other Long-Term Assets,2052,1960,2202,2009,1786,1558,1257,1386,4442,990.37
11,Total Assets,481436,409695,363986,354717,348015,341838,311519,303330,283996,261301
12,Accounts Payable,2108,9699,12715,6238,4172,5022,2370,3422,-,2187
13,Accrued Expenses,6054,4644,4085,3571,1910,2054,1996,2159,196.43,2552
14,Short-Term Debt,8021,23186,19059,18793,18571,12410,18533,2312,2509,789.22
15,Current Portion of Long-Term Debt,273296,213433,180579,180566,184825,211368,160722,177606,151418,142106
16,Current Portion of Leases,21.64,20.65,16.24,23.62,-,-,-,-,-,-
17,Long-Term Debt,138126,106756,95914,96084,90351,68589,87540,78998,86881,74841
18,Long-Term Leases,392.63,385.59,335.58,286.65,163.34,172.14,189.86,196.49,591.57,626.52
19,Long-Term Unearned Revenue,1895,1805,2144,2163,111.61,113.08,114.56,116.03,-,155.48
20,Current Income Taxes Payable,169.27,446.64,425.96,769.12,426.41,372.47,205.44,342.02,404.28,576.57
21,Other Current Liabilities,1308,63.27,1007,-,1322,144.92,1064,83.21,-,-
22,Long-Term Deferred Tax Liabilities,848.06,1109,941.13,1541,1343,1822,977.03,757.76,750.48,827.33
23,Other Long-Term Liabilities,11523,10866,11161,10398,12504,9663,10048,10708,16490,10970
24,Total Liabilities,443762,372413,328382,320434,315701,311731,283760,276700,259241,235631
25,Common Stock,12642,12642,12642,12642,12642,12642,12642,12642,12642,12642
26,Retained Earnings,21800,21164,18974,18019,16617,15844,13734,12903,10874,10957
27,Comprehensive Income & Other,3232,3476,3988,3622,3055,1620,1382,1084,1239,2070
28,Shareholders' Equity,37674,37282,35604,34283,32314,30107,27759,26629,24755,25669
29,Total Liabilities & Equity,481436,409695,363986,354717,348015,341838,311519,303330,283996,261301
30,Total Debt,419857,343781,295904,295754,293911,292539,266985,259112,241399,218363
31,Net Cash (Debt),-305930,-273508,-273678,-265021,-262786,-255455,-240012,-223574,-214182,-196653
32,Net Cash Per Share,-24.20,-21.63,-21.65,-20.96,-20.79,-20.21,-18.98,-17.68,-16.94,-15.56
33,Filing Date Shares Outstanding,12642,12642,12642,12642,12642,12642,12642,12642,12642,12642
34,Total Common Shares Outstanding,12642,12642,12642,12642,12642,12642,12642,12642,12642,12642
35,Working Capital,51196,31142,23440,33022,27275,12866,37493,34855,45907,34939
36,Book Value Per Share,2.98,2.95,2.82,2.71,2.56,2.38,2.20,2.11,1.96,2.03
37,Tangible Book Value,36640,36128,34430,33056,31046,28725,26167,25008,24754,23801
38,Tangible Book Value Per Share,2.90,2.86,2.72,2.61,2.46,2.27,2.07,1.98,1.96,1.88
