,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q2 2024,Q2 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+10 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Jun '23 Jun 30, 2023.1","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020",+10 Quarters
0,Cash & Equivalents,17767,17767,32728,-,27465,-,22843,22843,-,39961,43886,65622,26923,13809,30298,29223,22112,15913,50943,43716,Upgrade
1,Cash & Short-Term Investments,17767,17767,32728,27465,27465,-,22843,22843,39961,39961,43886,65622,26923,13809,30298,29223,22112,15913,50943,43716,Upgrade
2,Cash Growth,-35.31%,-,43.27%,20.23%,-31.27%,-,-47.95%,-65.19%,48.43%,189.39%,44.85%,124.55%,21.75%,-13.22%,-40.53%,-33.15%,-68.33%,-2.24%,-,9.99%,Upgrade
3,Accounts Receivable,946888,946888,1177151,-,954600,-,1595609,1595609,-,96889,399431,85158,91727,98788,97412,112173,158096,106986,154006,66557,Upgrade
4,Other Receivables,19048,19048,56424,-,35264,-,30768,30768,-,27547,5496,12161,4476,5482,18127,3260,9353,13287,21542,61475,Upgrade
5,Receivables,965936,965936,1233575,-,989864,-,1626377,1626377,-,124435,404926,97320,96203,104270,115539,115433,167449,120273,175548,128032,Upgrade
6,Inventory,2840339,2840339,3369896,-,2755108,-,2315461,2315461,-,1994504,2026071,2113270,892867,759799,749794,1069042,1659627,2148363,2632294,2940625,Upgrade
7,Prepaid Expenses,7875,7875,2087,-,1435,-,4413,4413,-,1902,1804,1652,1503,2287,1616,1807,2825,1978,3771,2921,Upgrade
8,Other Current Assets,40987,40987,64492,-,74803,-,50233,50233,-,6146,25804,107175,29955,36320,35064,66414,131079,187052,245704,260362,Upgrade
9,Total Current Assets,3872904,3872904,4702777,-,3848676,-,4019327,4019327,-,2166949,2502491,2385040,1047450,916485,932310,1281919,1983092,2473579,3108260,3375656,Upgrade
10,"Property, Plant & Equipment",54490,54490,42612,-,42968,-,40838,40838,-,43255,38378,39760,40582,41767,45188,46843,48627,50195,48498,50236,Upgrade
11,Other Intangible Assets,2943,2943,3589,-,38199,-,39227,39227,-,40255,40769,41259,41772,42285,38122,38412,38703,38993,39283,39573,Upgrade
12,Other Long-Term Assets,43731,43731,41809,-,11052,-,7235,7235,-,9955,8119,9300,8752,10315,7181,7508,5458,6469,5405,5607,Upgrade
13,Total Assets,3974068,3974068,4790787,-,3940896,-,4106626,4106626,-,2260414,2589757,2475359,1138556,1010851,1022801,1374683,2075880,2569235,3201445,3471072,Upgrade
14,Accounts Payable,699835,699835,970232,-,593536,-,393413,393413,-,683910,137116,613703,145741,211394,549774,559311,765681,1008745,434034,502163,Upgrade
15,Accrued Expenses,59488,59488,140666,-,66065,-,170328,170328,-,68854,94012,112930,114619,34785,74014,77786,29809,35899,77892,80851,Upgrade
16,Short-Term Debt,2286187,2286187,2823369,-,2419854,-,469469,469469,-,-,-,-,465429,424000,-,386000,960000,1224642,2018144,681012,Upgrade
17,Current Income Taxes Payable,80962,80962,29784,-,57472,-,55350,55350,-,46968,25807,17591,22363,12338,7571,8234,2144,4797,2067,5624,Upgrade
18,Other Current Liabilities,56863,56863,105933,-,69891,-,2453118,2453118,-,1029841,2001470,1403107,67549,43925,119457,75860,53266,37514,413737,1946814,Upgrade
19,Total Current Liabilities,3183335,3183335,4069984,-,3206817,-,3541679,3541679,-,1829573,2258406,2147331,815701,726443,750815,1107192,1810900,2311597,2945874,3216463,Upgrade
20,Total Liabilities,3183335,3183335,4069984,-,3206817,-,3541679,3541679,-,1829573,2258406,2147331,815701,726443,750815,1107192,1810900,2311597,2945874,3216463,Upgrade
21,Common Stock,150000,150000,150000,-,150000,-,150000,150000,-,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,Upgrade
22,Retained Earnings,635549,635549,564686,-,577304,-,407539,407539,-,272820,173023,169345,163812,124997,112404,107737,105055,97541,95304,94187,Upgrade
23,Comprehensive Income & Other,5184,5184,6118,-,6775,-,7408,7408,-,8021,8328,8683,9043,9411,9583,9754,9925,10096,10267,10422,Upgrade
24,Shareholders' Equity,790733,790733,720804,734079,734079,-,564947,564947,430841,430841,331351,328029,322855,284408,271986,267491,264980,257638,255571,254609,Upgrade
25,Total Liabilities & Equity,3974068,3974068,4790787,-,3940896,-,4106626,4106626,-,2260414,2589757,2475359,1138556,1010851,1022801,1374683,2075880,2569235,3201445,3471072,Upgrade
26,Total Debt,2286187,2286187,2823369,2419854,2419854,-,469469,469469,-,-,-,-,465429,424000,-,386000,960000,1224642,2018144,681012,Upgrade
27,Net Cash (Debt),-2268419,-2268419,-2790641,-2392389,-2392389,-,-446626,-446626,39961,39961,43886,65622,-438506,-410191,30298,-356777,-937888,-1208729,-1967201,-637296,Upgrade
28,Net Cash Growth,-,-,-,-,-,-,-,-,-,-,44.85%,-,-,-,-,-,-,-,-,-,Upgrade
29,Net Cash Per Share,-151208.82,-151239.41,-186053.51,-159484.12,-159487.65,-,-29774.52,-29774.52,2664.03,2664.19,2919.92,4374.15,-29232.38,-27348.23,2018.60,-23779.12,-62529.78,-98364.90,-130845.84,-42480.38,Upgrade
30,Filing Date Shares Outstanding,15,15,15,15,15,15,15,15,15,15,15.03,15,15,15,15.01,15,15,12.29,15.03,15,Upgrade
31,Total Common Shares Outstanding,15,15,15,15,15,15,15,15,15,15,15.03,15,15,15,15.01,15,15,12.29,15.03,15,Upgrade
32,Working Capital,689570,689570,632794,-,641859,-,477648,477648,-,337376,244085,237709,231749,190042,181495,174727,172192,161981,162385,159193,Upgrade
33,Book Value Per Share,52708.88,52719.54,48056.36,48937.07,48937.07,-,37662.46,37662.46,28724.05,28724.05,22046.38,21865.24,21522.66,18962.02,18121.15,17828.25,17666.43,20966.23,16998.98,16971.51,Upgrade
34,Tangible Book Value,787790,787790,717215,695880,695880,-,525720,525720,390586,390586,290582,286769,281083,242123,233864,229079,226277,218645,216288,215036,Upgrade
35,Tangible Book Value Per Share,52512.71,52523.33,47817.09,46390.54,46390.54,-,35047.37,35047.37,26040.24,26040.24,19333.79,19115.03,18737.98,16142.81,15581.25,15268.07,15086.09,17793.06,14386.15,14333.72,Upgrade
36,Buildings,112878,112878,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
37,Machinery,70910,70910,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
38,Construction In Progress,9884,9884,2241,-,1819,-,389.9,389.9,-,389.9,608.01,608.01,598.21,478.38,3911,3911,4028,3911,912.47,817.39,Upgrade
