,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,245,169,210,231,323,319,1732,1416,1365,1028,1486,Upgrade
1,Market Cap Growth,-27.17%,-27.17%,-35.14%,-27.53%,-81.34%,-77.44%,26.87%,37.75%,-8.15%,-40.99%,-8.00%,Upgrade
2,Enterprise Value,237,172,211,236,326,342,1787,1434,1297,926,1390,Upgrade
3,Last Close Price,0.28,0.19,0.24,0.27,0.37,0.26,0.71,0.64,0.56,0.42,0.53,Upgrade
4,PE Ratio,37.69,25.37,-31.94,-,-,-,80.03,-,17.97,-,-,Upgrade
5,PS Ratio,1.68,1.13,1.72,1.30,1.78,2.14,11.81,16.68,14.37,9.86,12.98,Upgrade
6,PB Ratio,-0.76,-0.76,-0.96,-1.06,-1.48,-1.48,-8.42,-5.99,-6.21,-15.03,-25.99,Upgrade
7,P/FCF Ratio,-,-,-31.83,-,31.24,-,129.99,-,-,17.37,-,Upgrade
8,P/OCF Ratio,-,-,-31.88,-,30.69,-,124.50,-,-,13.96,398.11,Upgrade
9,EV/Sales Ratio,1.59,1.16,1.73,1.33,1.79,2.29,12.18,16.88,13.66,8.88,12.14,Upgrade
10,EV/FCF Ratio,-69.92,-,-31.98,-,31.48,-,134.15,-,-,15.64,-,Upgrade
11,Debt / Equity Ratio,-0.03,-0.03,-0.04,-0.04,-0.04,-0.13,-0.24,-0.10,-0.12,-0.35,-0.72,Upgrade
12,Debt / FCF Ratio,-,-,-1.32,-,0.76,-,3.72,-,-,0.41,-,Upgrade
13,Earnings Yield,2.72%,3.94%,-3.13%,-7.43%,-8.80%,4.28%,1.25%,5.43%,5.57%,-5.13%,-3.02%,Upgrade
14,FCF Yield,-1.38%,-3.41%,-3.14%,6.43%,3.20%,3.29%,0.77%,-13.07%,-7.25%,5.76%,-0.75%,Upgrade
15,Buyback Yield / Dilution,-4.39%,-4.89%,-3.90%,3.77%,1.50%,-1.49%,8.53%,-0.01%,-29.67%,-0.39%,16.07%,Upgrade
16,Total Shareholder Return,-4.39%,-4.89%,-3.90%,3.77%,1.50%,-1.49%,8.53%,-0.01%,-29.67%,-0.39%,16.07%,Upgrade
