,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Operating Revenue,67.97,70.85,39.58,124.73,36.27,91.04,28.45,42.14,37.66,57.09,Upgrade
1,Other Revenue,-,-,-,-0.12,0.12,-,-,0.01,0.18,0.09,Upgrade
2,Revenue,67.97,70.85,39.58,124.6,36.4,91.04,28.45,42.15,37.84,57.18,Upgrade
3,Revenue Growth (YoY),71.75%,-43.14%,8.73%,36.87%,27.96%,115.98%,-24.82%,-26.28%,-16.22%,217.38%,Upgrade
4,Cost of Revenue,41.89,40.17,19.62,39.4,29.39,31.27,19.39,25.81,26.4,34.85,Upgrade
5,Gross Profit,26.09,30.69,19.96,85.21,7.01,59.77,9.06,16.34,11.44,22.33,Upgrade
6,"Selling, General & Admin",32.38,40.91,27.77,101.58,23.29,76.7,20.23,26.29,24.51,37.03,Upgrade
7,Research & Development,0.85,-1.17,1.17,-1.24,1.24,-0.73,0.73,2.5,-,1.02,Upgrade
8,Other Operating Expenses,-1.16,-2.54,-0.7,-2.69,-1.03,-2.72,-0.57,0.56,-0.23,0.86,Upgrade
9,Operating Expenses,32.07,35.73,28.24,98.14,23.49,75.92,20.4,29.12,24.28,39.31,Upgrade
10,Operating Income,-5.98,-5.04,-8.29,-12.93,-16.48,-16.15,-11.34,-12.78,-12.84,-16.98,Upgrade
11,Interest Expense,-0.17,-0.24,-0.16,-,-1.49,-1.19,-0.49,-0.86,-0.82,-0.65,Upgrade
12,Interest & Investment Income,9.15,0.06,0.01,0.81,0.02,-,0.01,130.11,1.03,1.6,Upgrade
13,Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-0,-,-0,Upgrade
14,Other Non Operating Income (Expenses),-0.37,-0.3,-0.1,-1.64,0.07,17.17,-0.03,-73,1.04,0.88,Upgrade
15,EBT Excluding Unusual Items,2.63,-5.52,-8.53,-13.76,-17.88,-0.18,-11.85,43.47,-11.59,-15.15,Upgrade
16,Merger & Restructuring Charges,-,-,-,0.3,-,-,-,-,-,-,Upgrade
17,Gain (Loss) on Sale of Investments,-,9.1,-,-,-,-,-,-,-,-22.48,Upgrade
18,Gain (Loss) on Sale of Assets,0,0,-0.05,-0.05,-,-,-,32.74,-,-,Upgrade
19,Asset Writedown,-,-,-,-,-,-9.63,-,-0.02,-,-,Upgrade
20,Legal Settlements,-,-,-,-,-,37.75,-,-,-,-,Upgrade
21,Other Unusual Items,0.1,-0.99,-,5.88,-,1.38,-,2.42,-,1.34,Upgrade
22,Pretax Income,2.73,2.59,-8.59,-7.63,-17.88,29.32,-11.85,78.61,-11.59,-36.29,Upgrade
23,Income Tax Expense,-0.91,-,-,-0.24,-0.01,-0.13,-,4.07,0.28,-0.07,Upgrade
24,Earnings From Continuing Operations,3.64,2.59,-8.59,-7.4,-17.87,29.45,-11.85,74.54,-11.87,-36.22,Upgrade
25,Minority Interest in Earnings,-0.05,0.01,0.03,0.03,0.1,-0,0.03,1.26,0.06,-0.02,Upgrade
26,Net Income,3.59,2.6,-8.55,-7.37,-17.77,29.45,-11.82,75.8,-11.82,-36.24,Upgrade
27,Net Income to Common,3.59,2.6,-8.55,-7.37,-17.77,29.45,-11.82,75.8,-11.82,-36.24,Upgrade
28,Net Income Growth,-,-,-,-,-,-61.15%,-,-,-,-,Upgrade
29,Shares Outstanding (Basic),897,892,855,858,889,871,876,952,875,735,Upgrade
30,Shares Outstanding (Diluted),897,892,855,858,889,871,876,952,875,735,Upgrade
31,Shares Change (YoY),4.89%,3.90%,-3.77%,-1.50%,1.49%,-8.53%,0.01%,29.67%,0.39%,-16.07%,Upgrade
32,EPS (Basic),0.00,0.00,-0.01,-0.01,-0.02,0.03,-0.01,0.08,-0.01,-0.05,Upgrade
33,EPS (Diluted),0.00,0.00,-0.01,-0.01,-0.02,0.03,-0.01,0.08,-0.01,-0.05,Upgrade
34,EPS Growth,-,-,-,-,-,-57.52%,-,-,-,-,Upgrade
35,Free Cash Flow,-5.46,0.11,-6.09,19.86,-10.71,19.69,-8.84,-145.06,61.7,-7.75,Upgrade
36,Free Cash Flow Per Share,-0.01,0.00,-0.01,0.02,-0.01,0.02,-0.01,-0.15,0.07,-0.01,Upgrade
37,Operating Margin,-8.80%,-7.11%,-20.93%,-10.38%,-45.27%,-17.74%,-39.86%,-30.32%,-33.94%,-29.70%,Upgrade
38,Profit Margin,5.28%,3.66%,-21.61%,-5.91%,-48.82%,32.35%,-41.55%,179.81%,-31.23%,-63.38%,Upgrade
39,Free Cash Flow Margin,-8.03%,0.15%,-15.38%,15.94%,-29.42%,21.63%,-31.06%,-344.13%,163.07%,-13.56%,Upgrade
40,EBITDA,-4.31,-3.03,-4.81,-12.78,-13.33,-11.56,-9.64,-10.94,-11,-15.11,Upgrade
41,D&A For EBITDA,1.68,2.01,3.47,0.15,3.15,4.6,1.7,1.85,1.84,1.87,Upgrade
42,EBIT,-5.98,-5.04,-8.29,-12.93,-16.48,-16.15,-11.34,-12.78,-12.84,-16.98,Upgrade
43,Revenue as Reported,67.97,-,39.58,-,36.4,-,28.45,42.15,37.84,57.18,Upgrade
