,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,8438,9696,12136,11098,9774,9589,9686,9454,8942,9014,10392,Upgrade
1,Market Cap Growth,-28.95%,-12.63%,24.17%,15.74%,0.90%,1.42%,8.33%,4.89%,-13.96%,-20.39%,5.34%,Upgrade
2,Enterprise Value,11168,12354,14952,14190,13699,13825,14391,14400,14346,14542,16409,Upgrade
3,Last Close Price,2.28,2.55,2.98,2.67,2.22,2.13,2.03,1.94,1.74,1.72,1.88,Upgrade
4,PE Ratio,9.27,10.05,9.86,8.28,8.21,8.61,9.00,9.05,8.74,8.99,10.37,Upgrade
5,Forward PE,8.77,8.49,9.11,8.39,8.25,8.56,8.49,8.20,8.23,8.43,9.59,Upgrade
6,PS Ratio,0.87,1.02,1.22,1.06,0.97,0.99,1.02,1.01,1.00,1.00,1.15,Upgrade
7,PB Ratio,0.79,0.91,1.12,1.05,0.93,0.95,0.95,0.97,0.91,0.96,1.10,Upgrade
8,P/TBV Ratio,29.84,1212.04,56.45,-,-,-,-,-,-,-,-,Upgrade
9,P/FCF Ratio,7.30,8.01,7.73,4.63,4.07,4.87,5.20,5.17,5.10,5.14,5.37,Upgrade
10,P/OCF Ratio,5.53,6.28,6.45,4.09,3.59,4.06,4.05,3.88,3.52,3.60,4.30,Upgrade
11,PEG Ratio,1.65,1.65,1.66,0.79,1.07,1.36,1.21,1.01,1.28,1.87,1.56,Upgrade
12,EV/Sales Ratio,1.16,1.29,1.50,1.36,1.35,1.43,1.52,1.54,1.61,1.61,1.82,Upgrade
13,EV/EBITDA Ratio,5.40,6.03,6.19,5.42,5.53,5.81,6.25,6.26,6.25,6.33,7.17,Upgrade
14,EV/EBIT Ratio,8.33,9.13,8.76,7.46,7.90,8.47,9.09,9.24,9.26,9.32,10.51,Upgrade
15,EV/FCF Ratio,9.66,10.21,9.52,5.92,5.71,7.02,7.73,7.87,8.18,8.29,8.48,Upgrade
16,Debt / Equity Ratio,0.39,0.40,0.39,0.42,0.48,0.55,0.58,0.63,0.65,0.71,0.72,Upgrade
17,Debt / FCF Ratio,3.66,3.48,2.72,1.86,2.07,2.82,3.19,3.37,3.65,3.82,3.51,Upgrade
18,Return on Capital Employed (ROCE),11.56%,12.31%,11.52%,12.65%,11.27%,10.59%,10.07%,9.85%,9.61%,9.80%,9.68%,Upgrade
19,Earnings Yield,10.78%,9.95%,10.14%,12.07%,12.19%,11.62%,11.11%,11.05%,11.44%,11.13%,9.64%,Upgrade
20,FCF Yield,13.70%,12.48%,12.94%,21.62%,24.56%,20.55%,19.22%,19.35%,19.62%,19.46%,18.62%,Upgrade
21,Dividend Yield,11.10%,9.92%,8.50%,9.18%,11.04%,10.80%,11.11%,11.09%,12.10%,11.65%,10.65%,Upgrade
22,Buyback Yield / Dilution,-0.01%,-0.08%,-0.27%,-0.27%,-0.14%,-0.41%,-0.41%,-0.19%,0.14%,-0.91%,-2.87%,Upgrade
23,Total Shareholder Return,11.09%,9.84%,8.23%,8.91%,10.90%,10.39%,10.70%,10.90%,12.24%,10.74%,7.78%,Upgrade
