,Fiscal Quarter,H2 2017,H1 2017,H2 2016,H1 2016,H1 2015,H2 2014,H1 2014,H2 2013,H1 2013,H2 2012,+1 Quarters
,Period Ending,"Dec '17 Dec 31, 2017","Jun '17 Jun 30, 2017","Jan '17 Jan 1, 2017","Jun '16 Jun 30, 2016","Jun '15 Jun 30, 2015","Dec '14 Dec 31, 2014","Jun '14 Jun 30, 2014","Dec '13 Dec 31, 2013","Jun '13 Jun 30, 2013","Dec '12 Dec 31, 2012",+1 Quarters
0,Revenue,361886,354407,293208,267698,279325,322096,281571,250167,208330,199880,Upgrade
1,Revenue Growth (YoY),23.42%,32.39%,4.97%,-16.89%,-0.80%,28.75%,35.16%,25.16%,58.58%,73.79%,Upgrade
2,Cost of Revenue,277031,266441,212381,179755,173929,215751,190945,178767,147580,111082,Upgrade
3,Gross Profit,84855,87966,80827,87943,105396,106346,90626,71399,60750,88797,Upgrade
4,"Selling, General & Admin",70682,58158,65569,51421,69946,89042,75910,62056,43789,80550,Upgrade
5,Operating Expenses,70682,58158,65569,51421,69946,89042,75910,62056,43789,80550,Upgrade
6,Operating Income,14173,29808,15259,36522,35450,17303,14717,9343,16961,8247,Upgrade
7,Interest Expense,-,-,-,-,-,-1202,-922.82,-1382,-512.52,-192.29,Upgrade
8,Interest & Investment Income,290.34,740.8,12211,8534,2821,-,5267,1464,3796,7831,Upgrade
9,Earnings From Equity Investments,-351.6,-472.82,-8122,-3475,18.78,20985,2427,7212,5359,3077,Upgrade
10,Currency Exchange Gain (Loss),241.37,588.16,1922,-126.8,-,5088,-,5379,-,8873,Upgrade
11,Other Non Operating Income (Expenses),7352,-1.51,2610,-17.31,-2680,1042,-494.89,1835,-1839,902.65,Upgrade
12,EBT Excluding Unusual Items,21706,30663,23880,41437,35611,43216,20993,23853,23764,28739,Upgrade
13,Gain (Loss) on Sale of Investments,-225,-392.26,2308,-,-,-,-,-,-,-,Upgrade
14,Gain (Loss) on Sale of Assets,4.55,-,-,-,-,-,-,-,-,-,Upgrade
15,Pretax Income,21485,30271,26188,41437,35611,43216,20993,23853,23764,28739,Upgrade
16,Income Tax Expense,4226,6583,4189,7659,8366,4109,4962,6995,5324,4735,Upgrade
17,Earnings From Continuing Operations,17260,23688,21999,33777,27245,39107,16030,16858,18440,24004,Upgrade
18,Minority Interest in Earnings,-3034,1045,2488,-4050,-3972,-3862,-3522,-1789,-3446,-4007,Upgrade
19,Net Income,14225,24732,24487,29727,23272,35245,12508,15068,14994,19997,Upgrade
20,Net Income to Common,14225,24732,24487,29727,23272,35245,12508,15068,14994,19997,Upgrade
21,Net Income Growth,-41.91%,-16.80%,5.22%,-15.66%,86.05%,133.90%,-16.58%,-24.64%,-16.30%,15.13%,Upgrade
22,Shares Outstanding (Basic),20,19,19,19,18,18,15,15,15,14,Upgrade
23,Shares Outstanding (Diluted),20,19,19,19,18,18,15,15,15,14,Upgrade
24,Shares Change (YoY),5.58%,4.46%,4.26%,5.63%,18.10%,16.98%,0.37%,4.71%,4.97%,0.30%,Upgrade
25,EPS (Basic),726.21,1275.78,1319.83,1601.85,1307.83,2006.12,830.14,1003.30,998.84,1394.14,Upgrade
26,EPS (Diluted),726.21,1275.78,1319.83,1601.85,1307.83,2006.12,830.14,1003.30,998.84,1394.14,Upgrade
27,EPS Growth,-44.98%,-20.36%,0.92%,-20.15%,57.54%,99.95%,-16.89%,-28.03%,-20.26%,14.79%,Upgrade
28,Free Cash Flow,-78225,25791,-4289,35245,105578,3977,39832,-46604,5226,-20914,Upgrade
29,Free Cash Flow Per Share,-3993.47,1330.40,-231.16,1899.19,5933.08,226.38,2643.52,-3103.05,348.14,-1458.09,Upgrade
30,Dividend Per Share,289.855,579.710,-,-,-,1159.420,1739.130,-,-,-,Upgrade
31,Operating Margin,3.92%,8.41%,5.20%,13.64%,12.69%,5.37%,5.23%,3.73%,8.14%,4.13%,Upgrade
32,Profit Margin,3.93%,6.98%,8.35%,11.10%,8.33%,10.94%,4.44%,6.02%,7.20%,10.00%,Upgrade
33,Free Cash Flow Margin,-21.62%,7.28%,-1.46%,13.17%,37.80%,1.23%,14.15%,-18.63%,2.51%,-10.46%,Upgrade
34,EBITDA,22902,38091,23228,43495,41461,22611,19801,13913,20142,11295,Upgrade
35,D&A For EBITDA,8729,8283,7969,6973,6011,5308,5085,4570,3182,3048,Upgrade
36,EBIT,14173,29808,15259,36522,35450,17303,14717,9343,16961,8247,Upgrade
37,Revenue as Reported,361886,354407,293208,267698,279325,322096,281571,250167,208330,199880,Upgrade
