,Fiscal Quarter,Current,H2 2017,H1 2017,H2 2016,H1 2016,H1 2015,H2 2014,H1 2014,H2 2013,H1 2013,H2 2012,+1 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '17 Dec 31, 2017","Jun '17 Jun 30, 2017","Jan '17 Jan 1, 2017","Jun '16 Jun 30, 2016","Jun '15 Jun 30, 2015","Dec '14 Dec 31, 2014","Jun '14 Jun 30, 2014","Dec '13 Dec 31, 2013","Jun '13 Jun 30, 2013","Dec '12 Dec 31, 2012",+1 Quarters
0,Market Capitalization,683133,348104,356252,334899,282561,269292,272387,262875,286377,182794,140930,Upgrade
1,Market Cap Growth,115.07%,3.94%,26.08%,24.36%,3.74%,2.44%,-4.89%,43.81%,103.21%,36.96%,41.67%,Upgrade
2,Enterprise Value,635567,151929,169438,4826,-47512,34986,11341,126075,143187,49486,-2069,Upgrade
3,Last Close Price,29500.00,10725.69,11134.88,9950.84,8815.51,8261.41,8356.37,8216.68,8486.69,5417.04,4083.48,Upgrade
4,PE Ratio,2.93,8.94,7.24,6.18,5.33,4.60,5.70,9.53,9.53,5.22,3.72,Upgrade
5,PS Ratio,0.36,0.49,0.55,0.60,0.52,0.45,0.45,0.49,0.62,0.45,0.43,Upgrade
6,PB Ratio,0.85,0.98,1.03,0.99,-,0.92,1.01,0.98,1.09,0.70,0.58,Upgrade
7,P/TBV Ratio,0.95,1.01,1.05,1.01,-,1.08,1.12,1.10,1.21,0.78,0.64,Upgrade
8,P/FCF Ratio,161.77,-,16.57,-,2.01,2.46,6.22,-38.82,-,-11.65,-,Upgrade
9,P/OCF Ratio,28.37,-,7.72,7.58,1.93,2.08,4.16,26.62,-,20.19,-,Upgrade
10,EV/Sales Ratio,0.37,0.21,0.26,0.01,-,0.06,0.02,0.24,0.31,0.12,-,Upgrade
11,EV/EBITDA Ratio,3.82,2.49,2.76,0.07,-,0.55,0.27,3.74,4.20,1.57,-,Upgrade
12,EV/EBIT Ratio,4.45,3.45,3.76,0.09,-,0.66,0.35,5.24,5.44,1.96,-,Upgrade
13,EV/FCF Ratio,150.51,-,7.88,-,-,0.32,0.26,-18.62,-,-3.15,-,Upgrade
14,Debt / Equity Ratio,-,-,-,-,-,-,-,0.07,0.08,0.07,0.01,Upgrade
15,Debt / FCF Ratio,-,-,-,-,-,-,-,-2.95,-,-1.19,-,Upgrade
16,Return on Capital Employed (ROCE),18.42%,12.38%,12.99%,15.21%,-,17.98%,11.82%,9.00%,9.30%,9.63%,7.11%,Upgrade
17,Earnings Yield,31.04%,11.19%,13.82%,16.19%,18.76%,21.73%,17.53%,10.49%,10.50%,19.14%,26.90%,Upgrade
18,FCF Yield,0.62%,-15.06%,6.04%,9.24%,49.84%,40.68%,16.08%,-2.58%,-14.45%,-8.58%,-16.49%,Upgrade
19,Dividend Yield,3.40%,8.11%,5.21%,-,-,-,34.69%,21.17%,-,-,-,Upgrade
20,Buyback Yield / Dilution,-9.39%,-5.58%,-4.46%,-4.26%,-5.63%,-18.10%,-16.98%,-0.37%,-4.71%,-4.97%,-0.30%,Upgrade
21,Total Shareholder Return,-6.00%,2.53%,0.74%,-4.26%,-5.63%,-18.10%,17.71%,20.79%,-4.71%,-4.97%,-0.30%,Upgrade
