,Fiscal Quarter,H2 2017,H1 2017,H2 2016,H1 2016,H1 2015,H2 2014,H1 2014,H2 2013,H1 2013,H2 2012,+1 Quarters
,Period Ending,"Dec '17 Dec 31, 2017","Jun '17 Jun 30, 2017","Jan '17 Jan 1, 2017","Jun '16 Jun 30, 2016","Jun '15 Jun 30, 2015","Dec '14 Dec 31, 2014","Jun '14 Jun 30, 2014","Dec '13 Dec 31, 2013","Jun '13 Jun 30, 2013","Dec '12 Dec 31, 2012",+1 Quarters
0,Cash & Equivalents,126303,198644,190741,-,347015,234093,236944,152342,191762,168123,Upgrade
1,Short-Term Investments,1778,-,1121,-,-,-,-,-,533.55,-,Upgrade
2,Cash & Short-Term Investments,128081,198644,191862,-,347015,234093,236944,152342,192295,168123,Upgrade
3,Cash Growth,-33.24%,-,-44.71%,-,46.45%,53.66%,23.22%,-9.39%,3.11%,-7.82%,Upgrade
4,Accounts Receivable,188780,177097,100033,-,77903,56015,60064,34165,35736,25218,Upgrade
5,Other Receivables,1488,49850,613.89,-,3951,2911,34171,40609,34963,28594,Upgrade
6,Receivables,190268,226947,100646,-,81854,58927,94234,74774,70699,53812,Upgrade
7,Inventory,29140,543.67,236.89,-,362.82,257.52,1946,352.41,776.15,286.11,Upgrade
8,Prepaid Expenses,250.63,1185,346.57,-,-,1033,1996,1530,3037,1036,Upgrade
9,Other Current Assets,50234,19614,79799,-,156161,79735,69929,55796,70325,48146,Upgrade
10,Total Current Assets,397974,446934,372891,-,585392,374045,405050,284795,337132,271404,Upgrade
11,"Property, Plant & Equipment",78086,70663,64209,-,122598,139059,130936,129531,124583,117851,Upgrade
12,Long-Term Investments,12001,12577,13425,-,12708,12878,34145,88644,94588,89229,Upgrade
13,Other Intangible Assets,3797,4008,4218,-,25728,9631,9725,9415,9511,9474,Upgrade
14,Other Long-Term Assets,78573,80871,82010,-,8741,3770,8211,5439,3887,3459,Upgrade
15,Total Assets,570430,615053,536753,-,755168,539384,588066,517824,569701,491417,Upgrade
16,Accounts Payable,80321,94467,49027,-,423819,20625,41965,21951,27020,20359,Upgrade
17,Accrued Expenses,55405,40368,63076,-,14101,196754,38569,161273,29621,34081,Upgrade
18,Short-Term Debt,-,-,-,-,-,-,-,949.43,18745,2045,Upgrade
19,Current Portion of Long-Term Debt,-,-,-,-,-,-,20000,-,-,-,Upgrade
20,Current Income Taxes Payable,1975,4434,4652,-,5129,1262,3569,3845,3552,3089,Upgrade
21,Current Unearned Revenue,17605,-,10875,-,-,-,-,-,-,-,Upgrade
22,Other Current Liabilities,59912,128975,68649,-,18757,49763,216776,46969,229033,187360,Upgrade
23,Total Current Liabilities,215219,268243,196279,-,461807,268405,320878,234987,307971,246935,Upgrade
24,Long-Term Debt,-,-,-,-,-,-,-,20000,-,-,Upgrade
25,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,35.51,Upgrade
26,Other Long-Term Liabilities,1331,1331,1331,-,1665,-,-,-,-,-,Upgrade
27,Total Liabilities,216549,269574,197610,-,463472,268405,320878,254987,307971,246970,Upgrade
28,Common Stock,119302,113682,113682,-,103177,103177,91397,87045,87045,87045,Upgrade
29,Additional Paid-In Capital,41816,41816,41816,-,41816,41816,33636,33636,33636,33636,Upgrade
30,Retained Earnings,89742,88677,111377,-,74075,108156,124733,125849,124006,109012,Upgrade
31,Treasury Stock,-1300,-1300,-1300,-,-100.03,-,-,-,-,-,Upgrade
32,Comprehensive Income & Other,100135,100135,69826,-,55786,-,-,-,-,-,Upgrade
33,Total Common Equity,349695,343011,335402,-,274755,253149,249766,246530,244687,229693,Upgrade
34,Minority Interest,4186,2469,3742,-,16942,17830,17422,16307,17042,14754,Upgrade
35,Shareholders' Equity,353880,345479,339144,-,291696,270979,267188,262837,261729,244446,Upgrade
36,Total Liabilities & Equity,570430,615053,536753,-,755168,539384,588066,517824,569701,491417,Upgrade
37,Total Debt,-,-,-,-,-,-,20000,20949,18745,2045,Upgrade
38,Net Cash (Debt),128081,198644,191862,-,347015,234093,216944,131393,173550,166078,Upgrade
39,Net Cash Growth,-33.24%,-,-44.71%,-,59.96%,78.16%,25.00%,-20.88%,-6.94%,-8.94%,Upgrade
40,Net Cash Per Share,6538.64,10246.80,10341.27,-,19500.97,13324.36,14397.88,8748.51,11561.10,11578.77,Upgrade
41,Filing Date Shares Outstanding,20.36,19.39,19.39,18.56,17.8,17.8,15.77,15.02,15.02,15.02,Upgrade
42,Total Common Shares Outstanding,20.36,19.39,19.39,18.56,17.8,17.8,15.77,15.02,15.02,15.02,Upgrade
43,Working Capital,182755,178691,176613,-,123585,105640,84171,49807,29161,24469,Upgrade
44,Book Value Per Share,17179.58,17693.77,17301.30,-,15437.36,14223.41,15842.08,16418.65,16295.93,15297.33,Upgrade
45,Tangible Book Value,345898,339003,331184,-,249026,243518,240042,237115,235176,220219,Upgrade
46,Tangible Book Value Per Share,16993.05,17487.04,17083.70,-,13991.78,13682.27,15225.28,15791.61,15662.51,14666.38,Upgrade
47,Buildings,36100,36100,36100,-,-,125385,124985,119710,87348,86800,Upgrade
48,Machinery,96558,84561,73506,-,-,53568,43987,43658,37519,36915,Upgrade
49,Construction In Progress,4125,1645,-,-,888.68,3460,784.27,-,29739,22345,Upgrade
