,Fiscal Quarter,Q4 2024,Q4 2023
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023"
0,Cash & Equivalents,1453.0,1492
1,Short-Term Investments,1266.0,3912
2,Cash & Short-Term Investments,2719.0,5403
3,Accounts Receivable,169.87,65.8
4,Other Receivables,118.57,663.3
5,Receivables,288.43,729.1
6,Inventory,72556.0,115165
7,Prepaid Expenses,416.99,306
8,Other Current Assets,1110.0,1457
9,Total Current Assets,77091.0,123061
10,"Property, Plant & Equipment",105804.0,125783
11,Long-Term Investments,110.0,110
12,Long-Term Accounts Receivable,3078.0,1872
13,Other Long-Term Assets,11156.0,11156
14,Total Assets,197239.0,261982
15,Accounts Payable,17562.0,21047
16,Accrued Expenses,20140.0,23579
17,Short-Term Debt,74824.0,89170
18,Current Portion of Long-Term Debt,7335.0,10572
19,Other Current Liabilities,13718.0,4530
20,Total Current Liabilities,133580.0,148898
21,Long-Term Debt,47689.0,62816
22,Other Long-Term Liabilities,2658.0,-
23,Total Liabilities,183927.0,211714
24,Common Stock,100000.0,100000
25,Retained Earnings,-86563.0,-49608
26,Comprehensive Income & Other,-124.25,-124.25
27,Shareholders' Equity,13312.0,50268
28,Total Liabilities & Equity,197239.0,261982
29,Total Debt,129848.0,162558
30,Net Cash (Debt),-127129.0,-157155
31,Net Cash Per Share,-12709.01,-15712.97
32,Filing Date Shares Outstanding,10.0,10
33,Total Common Shares Outstanding,10.0,10
34,Working Capital,-56489.0,-25837
35,Book Value Per Share,1331.24,5025.99
36,Tangible Book Value,13312.0,50268
37,Tangible Book Value Per Share,1331.24,5025.99
38,Buildings,142749.0,142749
39,Machinery,221053.0,221053
