,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Cash & Equivalents,184.98,187.98,199.21,171.91,141.75,122.04,179.03,228.87,210.23,174.78,Upgrade
1,Short-Term Investments,5.94,5.67,5.46,5.62,5.19,5.49,5.44,5.48,5.36,5.15,Upgrade
2,Cash & Short-Term Investments,190.92,193.66,204.66,177.53,146.94,127.53,184.47,234.34,215.59,179.93,Upgrade
3,Cash Growth,-6.71%,9.08%,39.29%,39.20%,-20.34%,-45.58%,-14.43%,30.24%,14.28%,-4.41%,Upgrade
4,Accounts Receivable,105.63,108.91,103.88,117.15,142.38,138.71,151.5,148.43,149.72,155.42,Upgrade
5,Other Receivables,0.18,0.1,0.56,3.4,4.21,4.15,0.58,5.96,9.43,7.99,Upgrade
6,Receivables,105.81,109.01,104.44,120.55,146.58,142.86,152.08,154.4,159.15,163.41,Upgrade
7,Inventory,13.38,8.39,8.62,7.82,7.69,7.83,7.92,9.55,15.18,15.13,Upgrade
8,Other Current Assets,43.45,52.24,49.34,75.99,82.45,81.49,77.48,81.01,87.47,86.69,Upgrade
9,Total Current Assets,353.56,363.29,367.06,381.89,383.66,359.72,421.95,479.31,477.38,445.16,Upgrade
10,"Property, Plant & Equipment",217.05,235.01,245.47,173.73,187.61,201.04,203.93,177.38,172.46,158.29,Upgrade
11,Goodwill,-,-,-,-,-,-,-,-,1.07,1.07,Upgrade
12,Other Intangible Assets,-,-,-,-,-,-,-,-,1.45,1.34,Upgrade
13,Long-Term Deferred Tax Assets,0.23,0.21,0.11,0.42,0.74,1.24,0.9,0.9,1.38,3.86,Upgrade
14,Other Long-Term Assets,14.86,12.53,18.09,5.31,12.88,8.97,13.33,11.46,27.34,10.26,Upgrade
15,Total Assets,585.7,611.04,630.73,561.35,584.89,570.96,640.12,669.04,681.09,620,Upgrade
16,Accounts Payable,2.19,1.32,1.05,1.32,1.17,0.26,0.55,0.53,0.74,0.44,Upgrade
17,Accrued Expenses,0.04,0.04,0.04,0.13,0.13,0.13,0.13,0.13,0.13,0.09,Upgrade
18,Current Portion of Long-Term Debt,0.69,0.6,-,-,-,-,-,-,-,-,Upgrade
19,Current Portion of Leases,55.65,55.73,53.46,25.78,43.09,56.44,64.54,70.8,70.09,48.6,Upgrade
20,Current Income Taxes Payable,1.54,1.59,1.22,2.43,3.74,4.12,4.84,3.7,6.21,4.91,Upgrade
21,Current Unearned Revenue,257.01,251.38,269.09,242.76,186.93,204.18,217.14,183.45,239.16,301.82,Upgrade
22,Other Current Liabilities,50.04,50.5,68.91,70.08,70.96,73.43,74.04,72.71,77.19,79.17,Upgrade
23,Total Current Liabilities,367.15,361.15,393.77,342.5,306.02,338.56,361.22,331.3,393.51,435.04,Upgrade
24,Long-Term Debt,-,0.36,-,-,-,-,-,-,-,-,Upgrade
25,Long-Term Leases,32.89,49.9,62.55,14.33,16.16,8.57,28.09,44.28,66.92,32.28,Upgrade
26,Long-Term Deferred Tax Liabilities,0.01,0.15,0.61,0.63,0.63,0.63,0.63,0.57,0.57,0.57,Upgrade
27,Other Long-Term Liabilities,2.39,1.99,-,-,-,-,-,-,-,-,Upgrade
28,Total Liabilities,405.37,416.65,456.93,357.47,322.81,347.75,389.94,376.15,461,467.89,Upgrade
29,Common Stock,90.45,90.45,90.45,90.45,90.45,90.45,90.45,90.45,90.45,90.45,Upgrade
30,Additional Paid-In Capital,318.79,318.79,318.79,318.79,318.79,318.79,318.79,318.79,318.79,318.79,Upgrade
31,Retained Earnings,121.31,137.61,118.38,147.18,208.44,167.79,194.72,236.6,176.69,110.87,Upgrade
32,Comprehensive Income & Other,-355.45,-357.52,-358.16,-356.65,-359.54,-357.45,-357.56,-356.47,-371.28,-373.32,Upgrade
33,Total Common Equity,175.1,189.33,169.46,199.77,258.14,219.58,246.4,289.37,214.65,146.79,Upgrade
34,Minority Interest,5.23,5.06,4.34,4.11,3.93,3.63,3.78,3.53,5.44,5.32,Upgrade
35,Shareholders' Equity,180.33,194.39,173.81,203.88,262.07,223.21,250.18,292.89,220.08,152.11,Upgrade
36,Total Liabilities & Equity,585.7,611.04,630.73,561.35,584.89,570.96,640.12,669.04,681.09,620,Upgrade
37,Total Debt,89.23,106.57,116.01,40.11,59.26,65.01,92.63,115.07,137.01,80.88,Upgrade
38,Net Cash (Debt),101.7,87.08,88.65,137.42,87.68,62.52,91.84,119.27,78.58,99.05,Upgrade
39,Net Cash Growth,14.71%,-36.63%,1.11%,119.80%,-4.52%,-47.58%,16.88%,20.42%,-30.37%,-47.38%,Upgrade
40,Net Cash Per Share,0.11,0.10,0.10,0.15,0.10,0.07,0.10,0.13,0.09,0.11,Upgrade
41,Filing Date Shares Outstanding,904.48,904.48,904.48,904.48,904.48,904.48,904.48,904.48,904.48,904.48,Upgrade
42,Total Common Shares Outstanding,904.48,904.48,904.48,904.48,904.48,904.48,904.48,904.48,904.48,904.48,Upgrade
43,Working Capital,-13.59,2.14,-26.71,39.39,77.64,21.16,60.73,148.01,83.88,10.13,Upgrade
44,Book Value Per Share,0.19,0.21,0.19,0.22,0.29,0.24,0.27,0.32,0.24,0.16,Upgrade
45,Tangible Book Value,175.1,189.33,169.46,199.77,258.14,219.58,246.4,289.37,212.12,144.38,Upgrade
46,Tangible Book Value Per Share,0.19,0.21,0.19,0.22,0.29,0.24,0.27,0.32,0.23,0.16,Upgrade
47,Machinery,-,114.92,-,127.63,-,129.41,-,134.61,-,135.8,Upgrade
48,Leasehold Improvements,-,120,-,149.75,-,145.08,-,142.39,-,192.06,Upgrade
