,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,80,93,86,119,148,110,121,206,109,90,117,Upgrade
1,Market Cap Growth,-21.97%,-21.97%,-42.07%,8.20%,22.39%,-46.49%,10.74%,128.00%,-6.20%,-37.50%,-34.85%,Upgrade
2,Enterprise Value,-17,11,2,-14,65,51,33,90,36,-3,10,Upgrade
3,Last Close Price,0.09,0.10,0.10,0.13,0.16,0.12,0.13,0.23,0.12,0.10,0.13,Upgrade
4,PE Ratio,27.51,-,-8.98,-,-,8.04,-,-,0.87,3.13,-,Upgrade
5,PS Ratio,0.17,0.20,0.19,0.30,0.36,0.29,0.34,0.49,0.25,0.20,0.22,Upgrade
6,PB Ratio,0.45,0.52,0.44,0.69,0.73,0.42,0.54,0.82,0.37,0.41,0.77,Upgrade
7,P/TBV Ratio,0.53,0.53,0.45,0.70,0.74,0.43,0.55,0.84,0.38,0.43,0.81,Upgrade
8,P/FCF Ratio,1.75,2.04,1.34,1.05,1.18,3.01,-,-,0.90,1.04,2.66,Upgrade
9,P/OCF Ratio,1.34,1.34,1.09,0.97,1.06,1.68,2.36,2.09,0.88,1.00,1.83,Upgrade
10,EV/Sales Ratio,0.02,0.02,0.00,-,0.16,0.14,0.09,0.21,0.08,-,0.02,Upgrade
11,EV/EBITDA Ratio,0.26,0.26,0.08,-,-,3.58,-,-,0.36,-,-,Upgrade
12,EV/EBIT Ratio,0.33,0.33,0.12,-,-,-30.61,-,-,0.48,-,-,Upgrade
13,EV/FCF Ratio,-0.37,0.24,0.03,-,0.51,1.40,-,-,0.30,-,0.22,Upgrade
14,Debt / Equity Ratio,0.49,0.49,0.55,0.67,0.20,0.23,0.29,0.37,0.39,0.62,0.53,Upgrade
15,Debt / FCF Ratio,1.96,1.96,1.66,1.02,0.32,1.62,-,-,0.95,1.58,1.84,Upgrade
16,Return on Capital Employed (ROCE),15.60%,15.60%,5.50%,-,-,-0.60%,-,-,22.50%,6.52%,-,Upgrade
17,Earnings Yield,3.68%,3.14%,-11.14%,-75.44%,-13.89%,12.44%,-56.77%,8.74%,114.88%,31.96%,-27.07%,Upgrade
18,FCF Yield,57.25%,48.92%,74.57%,95.19%,84.62%,33.24%,-24.38%,18.86%,111.15%,96.12%,37.63%,Upgrade
