,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,94326,115210,75235,85145,76775,77929,125553,50991,40167,43823,52626,Upgrade
1,Market Cap Growth,35.31%,35.31%,-2.01%,9.26%,-38.85%,52.83%,212.57%,16.36%,-23.67%,-20.09%,-27.36%,Upgrade
2,Enterprise Value,280163,286896,226187,224660,214498,213557,245114,164569,149726,142301,156740,Upgrade
3,PE Ratio,6.43,8.46,6.84,9.05,10.90,89.34,-,5.87,5.30,6.17,7.99,Upgrade
4,PS Ratio,0.85,1.12,0.73,0.82,0.74,0.80,1.39,0.63,0.58,0.66,0.78,Upgrade
5,PB Ratio,0.97,1.04,0.72,0.84,0.76,0.74,1.17,0.46,0.38,0.50,0.61,Upgrade
6,P/FCF Ratio,-,-,-,-,-,-,-,-,-4.09,-,-25.87,Upgrade
7,P/OCF Ratio,3.74,3.74,2.61,3.49,3.18,6.85,15.75,2.26,1.94,2.26,2.57,Upgrade
8,EV/Sales Ratio,2.72,2.79,2.19,2.15,2.08,2.18,2.71,2.03,2.15,2.16,2.31,Upgrade
9,EV/EBITDA Ratio,6.91,7.50,6.49,7.60,8.18,10.86,11.99,5.61,5.49,5.54,6.37,Upgrade
10,EV/EBIT Ratio,11.17,12.46,11.12,14.48,17.80,42.11,-,9.82,9.39,9.57,10.98,Upgrade
11,EV/FCF Ratio,-32.28,-,-,-,-,-,-,-,-15.24,-,-77.05,Upgrade
12,Debt / Equity Ratio,1.68,1.68,1.60,1.57,1.39,1.33,1.26,1.03,1.03,1.20,1.10,Upgrade
13,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-11.12,-,-46.78,Upgrade
14,Return on Capital Employed (ROCE),8.84%,8.84%,8.54%,6.97%,6.01%,2.38%,-,7.93%,8.20%,9.06%,9.03%,Upgrade
15,Earnings Yield,14.45%,11.83%,14.63%,11.05%,9.17%,1.12%,1.70%,17.04%,18.88%,16.20%,12.52%,Upgrade
16,Earnings Yield,14.45%,11.83%,14.63%,11.05%,9.17%,1.12%,1.70%,17.04%,18.88%,16.20%,12.52%,Upgrade
17,FCF Yield,-9.20%,-7.53%,-13.17%,-14.90%,-10.96%,-21.15%,-14.11%,-4.77%,-24.46%,-20.55%,-3.87%,Upgrade
18,Dividend Yield,5.02%,4.45%,6.14%,4.41%,4.16%,1.81%,1.30%,7.22%,9.18%,7.84%,6.48%,Upgrade
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,-0.58%,Upgrade,
20,Total Shareholder Return,5.02%,4.45%,6.14%,4.41%,4.16%,1.81%,1.30%,7.22%,9.18%,7.84%,5.90%,Upgrade
