,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,1411756,1264115,1150898,1005540,1033763,997918,912150,901995,1048519,991937,977930,879858,1038452,728708,751669,687462,704868,691782,607390,601627,Upgrade
1,Revenue Growth (YoY),36.56%,26.68%,26.17%,11.48%,-1.41%,0.60%,-6.73%,2.52%,0.97%,36.12%,30.10%,27.99%,47.33%,5.34%,23.75%,14.27%,8.90%,-0.85%,-9.11%,-4.46%,Upgrade
2,Cost of Revenue,782735,682781,640382,564654,606493,533171,481427,446720,520981,589537,541888,527777,738379,465246,432618,428246,508412,433543,350362,363765,Upgrade
3,Gross Profit,629021,581334,510517,440885,427270,464747,430723,455275,527538,402401,436041,352081,300073,263461,319051,259216,196456,258239,257028,237862,Upgrade
4,"Selling, General & Admin",270315,182058,214393,149494,277012,101862,154615,127997,315545,120831,119844,110395,106144,131627,110877,100283,146666,112754,100009,119401,Upgrade
5,Operating Expenses,270315,182058,214393,149494,277012,101862,154615,127997,315545,120831,119844,110395,106144,131627,110877,100283,146666,112754,100009,119401,Upgrade
6,Operating Income,358706,399276,296124,291391,150258,362885,276108,327278,211993,281570,316198,241687,193928,131834,208175,158933,49790,145485,157019,118461,Upgrade
7,Interest Expense,-32945,-34367,-36337,-35834,-1851684,-41645,-,-1873476,-35542,-32973,-33284,-29820,-29392,-30715,-24749,-34396,-33281,-35777,-35297,-42239,Upgrade
8,Interest & Investment Income,29279,-,357179,3712,-,-,3708480,-,4230,7455,-,27.02,3564,3359,1738,-,5053,2028,1719,-,Upgrade
