,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 11, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,146,203,281,434,913,1240,1727,1727,609,459,655
1,Market Cap Growth,-65.31%,-53.14%,-69.25%,-65.03%,-47.14%,-28.19%,183.75%,276.27%,-7.05%,-40.00%,5.94%
2,Enterprise Value,3,189,254,452,887,1242,1643,1769,655,455,650
3,Last Close Price,0.16,0.22,0.33,0.57,1.20,1.63,2.27,2.27,0.80,0.75,1.07
4,PS Ratio,0.39,0.61,0.81,2.01,-,12.07,-,5.57,2.43,2.09,2.65
5,PB Ratio,1.13,1.74,2.69,5.59,9.58,9.49,8.83,6.84,2.06,2.53,2.80
6,P/TBV Ratio,1.88,1.88,3.10,6.76,11.41,10.99,9.86,7.44,2.23,2.86,3.08
7,P/FCF Ratio,160.53,160.53,-,19.26,-,-,-,-,-,-,28.68
8,P/OCF Ratio,160.53,160.53,-,19.26,-,-,-,-,-,-,27.83
9,EV/Sales Ratio,0.01,0.56,0.73,2.09,-,12.09,-,5.71,2.61,2.07,2.63
10,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-13.07,-,-
11,EV/FCF Ratio,148.94,148.94,-,20.06,-,-,-,-,-,-,28.49
12,Debt / Equity Ratio,0.20,0.20,0.37,0.49,0.30,0.50,0.23,0.32,0.29,0.80,0.51
13,Debt / FCF Ratio,18.10,18.10,-,1.69,-,-,-,-,-,-,5.28
14,Earnings Yield,-14.35%,-10.29%,-7.69%,-2.75%,-,-4.66%,-,-2.64%,-9.11%,-37.14%,-16.51%
15,FCF Yield,0.62%,0.62%,0.09%,5.19%,-,-2.53%,-,-4.82%,-14.07%,-0.80%,3.49%
16,Buyback Yield / Dilution,-10.21%,-19.76%,-,-,-,-,-,-24.32%,-16.97%,-,0.12%
17,Total Shareholder Return,-10.21%,-19.76%,-,-,-,-,-,-24.32%,-16.97%,-,0.12%
