,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,203.93,130.19,215.65,-,102.77,-,135.75,174.18,76.71,142.41
1,Revenue Growth (YoY),-5.44%,-,109.84%,-,-24.29%,-,76.97%,22.31%,-26.57%,-50.13%
2,Cost of Revenue,176.89,118.51,206.6,-,94.75,-,133.14,170.82,110.44,150.34
3,Gross Profit,27.04,11.69,9.05,-,8.02,-,2.61,3.36,-33.73,-7.93
4,"Selling, General & Admin",46.58,19.06,18.49,-,24.53,-,42.1,39.25,18.75,24.12
5,Other Operating Expenses,-0.86,-0.24,-0.24,-,-0.76,-,-0.51,-4.13,-1.99,-3.96
6,Operating Expenses,45.72,22.35,18.25,-,23.77,-,41.59,3.59,16.77,108.63
7,Operating Income,-18.68,-10.66,-9.2,-,-15.75,-,-38.99,-0.22,-50.5,-116.56
8,Interest Expense,-0.17,-0.21,-0.76,-,-0.6,-,-1.66,-2.7,-2.55,-2.67
9,Interest & Investment Income,0.11,0.04,0.03,-,-,-,0.05,-,0.05,0.07
10,Currency Exchange Gain (Loss),-,-,-,-,-,-,0,-0,-,0
11,Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-1.78
12,EBT Excluding Unusual Items,-18.74,-10.83,-9.93,-,-16.35,-,-40.6,-2.92,-53,-120.94
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-3.34,-1.04,0.26,0.36
14,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,0.1,1.15,0.5,0.03
15,Asset Writedown,-,-,-,-,-,-,-,-,-,-1.12
16,Other Unusual Items,-,-,-,-,-,-,-,-,-,0.23
17,Pretax Income,-18.74,-10.83,-9.93,-,-16.35,-,-43.85,-2.82,-52.24,-121.44
18,Income Tax Expense,-2.65,-1.41,3.3,-,1.01,-,-0.1,1.24,-0.13,-2.96
19,Earnings From Continuing Operations,-16.09,-9.42,-13.23,-,-17.36,-,-43.75,-4.05,-52.11,-118.48
20,Earnings From Discontinued Operations,-,-,-,-,-42.1,-,-,-,-,-
21,Net Income to Company,-16.09,-9.42,-13.23,-,-59.46,-,-43.75,-4.05,-52.11,-118.48
22,Minority Interest in Earnings,4.84,-0.24,1.29,-,1.63,-,1.71,0.58,0.13,-
23,Net Income,-11.25,-9.66,-11.94,-,-57.83,-,-42.04,-3.48,-51.98,-118.48
24,Net Income to Common,-11.25,-9.66,-11.94,-,-57.83,-,-42.04,-3.48,-51.98,-118.48
25,Shares Outstanding (Basic),911,766,761,-,761,-,761,716,612,612
26,Shares Outstanding (Diluted),911,766,761,-,761,-,761,716,612,612
27,Shares Change (YoY),19.76%,-,-,-,-,-,24.32%,16.97%,-,-0.12%
28,EPS (Basic),-0.01,-0.01,-0.02,-,-0.08,-,-0.06,-0.00,-0.08,-0.19
29,EPS (Diluted),-0.01,-0.01,-0.02,-,-0.08,-,-0.06,-0.00,-0.08,-0.19
30,Free Cash Flow,23.52,-22.25,22.52,-,-31.42,-,-21.15,-62.17,-23.46,19.79
31,Free Cash Flow Per Share,0.03,-0.03,0.03,-,-0.04,-,-0.03,-0.09,-0.04,0.03
32,Operating Margin,-9.16%,-8.19%,-4.27%,-,-15.33%,-,-28.72%,-0.13%,-65.84%,-81.84%
33,Profit Margin,-5.52%,-7.42%,-5.54%,-,-56.27%,-,-30.97%,-2.00%,-67.77%,-83.19%
34,Free Cash Flow Margin,11.53%,-17.09%,10.44%,-,-30.57%,-,-15.58%,-35.69%,-30.58%,13.89%
35,EBITDA,-18.55,-10.51,-9.02,-,-15.47,-,-38.71,0.06,-50.17,-116.11
36,D&A For EBITDA,0.13,0.16,0.18,0.21,0.28,0.28,0.28,0.28,0.33,0.44
37,EBIT,-18.68,-10.66,-9.2,-,-15.75,-,-38.99,-0.22,-50.5,-116.56
