,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Dec '24 Dec 30, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,2038,2963,3582,3807,4893,4040,4893,3457,3753,3591,4408
1,Market Cap Growth,-22.17%,-22.17%,-26.79%,-5.78%,0%,16.88%,30.38%,-3.75%,-14.87%,19.76%,-4.47%
2,Enterprise Value,2410,3279,3841,4085,5128,4116,4927,3519,3823,3636,4425
3,Last Close Price,2.27,3.30,3.98,4.23,5.35,4.42,5.28,3.73,4.05,3.85,4.68
4,PE Ratio,45.95,-,65.77,-,26.88,14.96,16.20,13.40,12.53,14.18,20.33
5,Forward PE,-,14.73,14.73,14.73,14.73,14.73,14.73,14.73,14.73,14.73,14.73
6,PS Ratio,1.64,2.39,2.72,3.05,3.44,2.44,2.92,2.47,2.77,2.59,3.47
7,PB Ratio,0.79,1.14,1.31,1.47,1.75,1.45,1.69,1.31,1.50,1.57,1.97
8,P/TBV Ratio,1.26,1.26,1.44,1.63,1.93,1.62,1.90,1.44,1.65,1.80,2.28
9,P/FCF Ratio,-,-,-,146.71,-,-,-,23.56,748.71,-,39.95
10,P/OCF Ratio,-,110.59,-,34.35,-,-,29.39,12.00,21.16,-,17.36
11,EV/Sales Ratio,1.95,2.65,2.91,3.27,3.61,2.48,2.94,2.52,2.82,2.62,3.48
12,EV/EBITDA Ratio,22.37,30.43,27.30,35.60,34.81,15.47,14.75,11.24,11.57,11.59,16.47
13,EV/EBIT Ratio,38.65,52.58,40.28,66.36,50.87,18.11,16.35,12.42,12.66,12.59,18.06
14,EV/FCF Ratio,-,-,-,157.43,-,-,-,23.98,762.74,-,40.10
15,Debt / Equity Ratio,0.23,0.23,0.20,0.21,0.24,0.21,0.12,0.19,0.17,0.14,0.16
16,Debt / FCF Ratio,-,-,-,20.80,-,-,-,3.46,83.58,-,3.25
17,Return on Capital Employed (ROCE),2.18%,2.18%,3.29%,2.24%,3.33%,7.33%,9.49%,10.22%,11.86%,12.36%,10.33%
18,Earnings Yield,2.17%,1.49%,1.52%,1.52%,3.72%,6.69%,6.17%,7.46%,7.98%,7.05%,4.92%
19,FCF Yield,-1.09%,-,0.68%,-5.38%,-6.41%,-0.63%,4.24%,0.13%,0.73%,2.50%,
20,Dividend Yield,0.48%,-,-,-,-,-,-,-,-,0.48%,-
21,Buyback Yield / Dilution,-3.83%,0.51%,-8.01%,7.66%,6.02%,-3.27%,-4.07%,1.69%,-3.63%,-0.92%,5.86%
22,Total Shareholder Return,-3.34%,0.51%,-8.01%,7.66%,6.02%,-3.27%,-4.07%,1.69%,-3.63%,-0.43%,5.86%
