,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,495,649.76,537.53,612.18,638.05,759.29,579.76,554.03,566.64,683.15
1,Other Revenue,3.71,3.75,5.11,0.11,7.92,9.94,14.66,13.22,8.17,6.44
2,Revenue,498.71,653.51,542.64,612.3,645.97,769.22,594.42,567.24,574.81,689.58
3,Revenue Growth (YoY),-8.10%,6.73%,-16.00%,-20.40%,8.67%,35.61%,3.41%,-17.74%,28.50%,29.35%
4,Cost of Revenue,405.45,489.07,424.82,476.51,492.32,565.22,391.87,370.16,370.09,472.95
5,Gross Profit,93.26,164.44,117.82,135.79,153.65,204,202.55,197.08,204.72,216.63
6,"Selling, General & Admin",52.46,61.49,53.82,53.44,44.97,55.58,47.79,46.99,41.83,37.35
7,Research & Development,13.03,16.05,17.28,22.86,20.02,21.32,23.32,22.49,19.86,28.25
8,Other Operating Expenses,5.55,-0.02,6.07,7.49,4.78,3.26,5.28,2.93,3.75,3.13
9,Operating Expenses,85.54,114.13,81.58,115.07,85.21,78.44,82.59,81.46,65.98,92.08
10,Operating Income,7.72,50.31,36.25,20.72,68.45,125.56,119.96,115.62,138.74,124.55
11,Interest Expense,-8.73,-8.64,-10.03,-12.05,-9.07,-7.86,-7.95,-7.15,-7.47,-5.23
12,Interest & Investment Income,8.63,1.11,1.32,25.09,17.91,24.31,12.46,13.86,19.38,27.6
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-14.57
14,Currency Exchange Gain (Loss),-,-,-,0.06,-,0.49,-,-1.79,-,-0.14
15,Other Non Operating Income (Expenses),-0.71,-0.61,0.55,-0.08,-0.52,-3.79,-0.46,-2.36,-1.79,-0.64
16,EBT Excluding Unusual Items,6.91,42.18,28.1,33.74,76.77,138.7,124,118.17,148.87,131.57
17,Impairment of Goodwill,-,-,-,-23.67,-,-,-,-,-,-11.54
18,Gain (Loss) on Sale of Investments,-58.51,61.51,-75.99,90.06,5.84,43.4,-21.63,29.24,-,1.94
19,Gain (Loss) on Sale of Assets,-,-,-,-,-,0.02,-,-0,0.11,0.16
20,Asset Writedown,-,-5.67,-,-0.03,-,-0.01,-,-0.01,-,-
21,Legal Settlements,-,-,-,-0.45,-,-,-,-,-,-
22,Other Unusual Items,-,-,-,1.21,-,-,-,-,-,-
23,Pretax Income,-51.59,98.03,-47.89,100.86,82.61,182.11,102.37,147.4,148.98,122.12
24,Income Tax Expense,-9.42,14.23,-14.4,12.99,8.33,23.28,12.73,18.58,20.76,16.2
25,Earnings From Continuing Operations,-42.17,83.8,-33.49,87.88,74.28,158.84,89.64,128.82,128.22,105.93
26,Minority Interest in Earnings,-0.01,-0.44,-0.42,-0.3,-0.83,-1.66,-0.73,-3.21,-1.6,-1.73
27,Net Income,-42.18,83.36,-33.91,87.58,73.46,157.18,88.91,125.61,126.62,104.2
28,Net Income to Common,-42.18,83.36,-33.91,87.58,73.46,157.18,88.91,125.61,126.62,104.2
29,Net Income Growth,-,-4.82%,-,-44.28%,-17.38%,25.13%,-29.78%,20.55%,41.28%,85.94%
30,Shares Outstanding (Basic),844,948,848,878,918,934,889,897,904,866
31,Shares Outstanding (Diluted),844,948,848,878,918,934,889,897,904,866
32,Shares Change (YoY),-0.51%,8.01%,-7.66%,-6.02%,3.27%,4.07%,-1.69%,3.63%,0.92%,-5.86%
33,EPS (Basic),-0.05,0.09,-0.04,0.10,0.08,0.17,0.10,0.14,0.14,0.12
34,EPS (Diluted),-0.05,0.09,-0.04,0.10,0.08,0.17,0.10,0.14,0.14,0.12
35,EPS Growth,-,-11.88%,-,-40.71%,-20.00%,20.23%,-28.57%,16.33%,40.00%,97.51%
36,Free Cash Flow,-30.03,-,114.63,-90.62,-142.44,-78.49,53.51,68.49,-64.27,88.32
37,Free Cash Flow Per Share,-0.04,-,0.14,-0.10,-0.16,-0.08,0.06,0.08,-0.07,0.10
38,Dividend Per Share,-,-,-,-,-,-,-,-,0.017,-
39,Operating Margin,1.55%,7.70%,6.68%,3.38%,10.60%,16.32%,20.18%,20.38%,24.14%,18.06%
40,Profit Margin,-8.46%,12.76%,-6.25%,14.30%,11.37%,20.43%,14.96%,22.14%,22.03%,15.11%
41,Free Cash Flow Margin,-6.02%,-,21.12%,-14.80%,-22.05%,-10.20%,9.00%,12.07%,-11.18%,12.81%
42,EBITDA,35.62,64.65,63.04,43.15,87.16,140,132.19,128.07,150.29,135.59
43,D&A For EBITDA,27.9,14.34,26.8,22.43,18.71,14.44,12.23,12.45,11.55,11.04
44,EBIT,7.72,50.31,36.25,20.72,68.45,125.56,119.96,115.62,138.74,124.55
45,Revenue as Reported,-,-,-,1258,-,1364,-,1142,-,1137
