,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,172,185,157,169,140,112,135,186,235,151,201
1,Market Cap Growth,9.47%,9.47%,12.14%,50.89%,3.70%,-39.78%,-42.55%,23.18%,16.92%,-,-
2,Last Close Price,0.17,0.18,0.16,0.17,0.14,0.11,0.14,0.19,0.23,0.15,0.20
3,PE Ratio,52.36,56.32,44.00,33.31,11.66,8.73,10.54,14.72,21.99,12.65,14.78
4,PS Ratio,4.21,4.53,3.48,5.29,3.89,3.19,3.64,4.82,6.30,3.10,3.34
5,PB Ratio,0.48,0.52,0.44,0.48,0.40,0.32,0.40,0.55,0.72,0.47,0.64
6,P/FCF Ratio,9.64,-,1.57,1.44,2.30,26.24,-,-,-5.41,-,7.36
7,P/OCF Ratio,10.24,-,1.57,1.44,2.30,26.03,-,-,-5.41,-,7.34
8,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.09,0.10,0.03,0.00,0.18,0.04
9,Debt / FCF Ratio,0.05,-,0.01,0.00,0.02,7.50,-,-,-0.03,-,0.49
10,Earnings Yield,1.91%,1.78%,2.27%,3.00%,8.58%,11.45%,9.49%,6.79%,4.55%,7.90%,6.77%
11,FCF Yield,10.37%,9.64%,63.70%,69.61%,43.41%,3.81%,-11.87%,35.58%,-18.50%,-49.12%,13.59%
12,Buyback Yield / Dilution,-,-,-,-,-,-,-,-23.86%,-33.33%,-,
13,Total Shareholder Return,-,-,-,-,-,-,-,-23.86%,-33.33%,-,
