,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,407.68,418.92,554.84,558.25,519.74,536,595.69,615.2,44.22,53.02,-,55.58,-,43.17,43.17
1,Trading Asset Securities,-,0.03,0.02,-,0.22,0.32,0.01,0,0.11,0.12,-,0.01,-,0.18,0.18
2,Cash & Short-Term Investments,407.68,418.95,554.86,558.25,519.96,536.32,595.69,615.2,44.33,53.14,55.59,55.59,43.35,43.35,43.35
3,Cash Growth,-21.60%,-21.88%,-6.85%,-9.26%,1072.86%,909.33%,971.67%,1006.77%,2.26%,22.57%,28.22%,-,-,-,-
4,Accounts Receivable,194.88,193.14,176.23,186.92,212.55,209.06,191.32,203.99,235.14,219.6,-,184.18,-,187.03,187.03
5,Other Receivables,2.02,7.82,3.22,6.44,1.43,4.9,1.88,8.54,3.47,4.99,-,4.02,-,2.26,2.26
6,Receivables,196.91,200.97,179.45,193.36,213.98,213.97,193.2,212.52,238.62,224.6,-,188.2,-,189.29,189.29
7,Inventory,140.33,131.91,133.8,133.73,134.17,135.14,138.94,142.68,125.25,122.53,-,161.9,-,146.44,146.44
8,Other Current Assets,12.85,5.19,12.7,4.88,8.08,7.15,13.27,5.98,15.79,11.86,-,9.91,-,6.7,6.7
9,Total Current Assets,757.76,757.01,880.8,890.23,876.2,892.56,941.11,976.39,423.99,412.12,-,415.6,-,385.79,385.79
10,"Property, Plant & Equipment",329.17,323.86,329.69,321.45,298.32,293.41,281.79,281.05,250.73,245.74,-,223.89,-,165.36,165.36
11,Long-Term Investments,1.68,1.62,1.89,0.64,-,-,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,45.37,45.37,31.95,32.09,31,32.35,31.92,36.74,36,37.32,-,37.94,-,38.08,38.08
13,Long-Term Deferred Tax Assets,15.96,14.4,12.13,10.66,10.31,8.65,7.13,6.37,5.12,4.92,-,5.07,-,3.39,3.39
14,Long-Term Deferred Charges,0.85,0.98,1.05,1.08,-,-,-,-,-,-,-,-,-,-,-
15,Other Long-Term Assets,24.28,23.85,22.56,15.25,34.77,32.99,31.19,22.59,26.91,19.49,-,13.64,-,9.2,9.2
16,Total Assets,1175,1167,1280,1271,1251,1260,1293,1323,742.75,719.59,-,696.14,-,601.82,601.82
17,Accounts Payable,119.14,111.55,97.14,106.11,107.37,105.73,85.35,114.57,102.92,91.44,-,123.23,-,145.61,145.61
18,Accrued Expenses,13.65,14.18,11.24,20.13,15.83,16.63,12.57,23.93,15.41,25.02,-,22.5,-,16.33,16.33
19,Short-Term Debt,4.3,9.38,84,47.1,72.56,94.48,91.48,102.58,97.58,112.45,-,84.95,-,95.25,95.25
20,Current Portion of Long-Term Debt,11.51,10,26.96,36.54,10.95,11,10.68,10.01,0.75,0.05,-,-,-,-,-
21,Current Portion of Leases,-,0.81,-,0.96,-,0.15,-,0.88,-,0.7,-,1.81,-,-,-
22,Current Income Taxes Payable,2.47,0.34,1.8,0.79,4.48,0.99,7.84,4.16,16.43,4.76,-,4.1,-,2.5,2.5
23,Current Unearned Revenue,6.58,3.82,3.22,4.41,6.13,6.03,4.61,4.27,3.13,2.35,-,4.55,-,2.13,2.13
24,Other Current Liabilities,19.96,17.61,19.69,21.14,18.46,18.88,19.07,22.38,27.49,20.18,-,29.5,-,17.95,17.95
25,Total Current Liabilities,177.61,167.69,244.05,237.17,235.78,253.88,231.6,282.78,263.71,256.95,-,270.64,-,279.77,279.77
26,Long-Term Debt,-,6,10,10.01,-,-,2,2,48,46,-,46,-,-,-
27,Long-Term Leases,0.39,0.38,0.45,0.44,0.67,0.64,0.82,0.82,1.61,0.71,-,0.71,-,0.32,0.32
28,Long-Term Unearned Revenue,10.16,10.59,11.32,11.45,10.47,10.87,8.2,8.54,8.92,9.23,-,9.94,-,1.06,1.06
29,Total Liabilities,188.15,184.66,265.82,259.08,246.92,265.39,242.62,294.14,322.23,312.89,-,327.28,-,281.15,281.15
