,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2784,2263,2531,1913,2499,2582,2751,2500,2397,-,-,-,-,-,-,-
1,Market Cap Growth,-12.34%,-12.34%,-7.97%,-23.48%,4.23%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2415,1894,2119,1499,2085,2172,2283,2623,2521,-,-,-,-,-,-,-
3,Last Close Price,27.17,22.09,24.71,18.38,24.01,24.81,26.43,23.50,22.54,-,-,-,-,-,-,-
4,PE Ratio,155.21,124.37,117.95,70.65,58.36,53.24,51.51,36.96,39.61,-,-,-,-,-,-,-
5,PS Ratio,6.32,5.06,5.73,4.36,5.74,6.06,6.42,5.40,4.98,-,-,-,-,-,-,-
6,PB Ratio,2.89,2.29,2.58,1.89,2.47,2.57,2.77,2.38,2.33,-,-,-,-,-,-,-
7,P/TBV Ratio,2.46,2.46,2.77,1.99,2.61,2.71,2.92,2.51,2.47,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-197.99,-81.43,-79.64,-,-125.19,-,-,-,-,-,-,-
9,P/OCF Ratio,30.96,30.96,32.99,-,33.31,35.64,45.40,-,35.99,-,-,-,-,-,-,-
10,EV/Sales Ratio,5.40,4.24,4.79,3.42,4.79,5.10,5.33,5.67,5.24,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,75.22,64.27,67.47,41.04,51.47,52.82,45.98,38.65,32.52,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-553.97,-,-,-,121.02,84.90,55.35,43.88,-,-,-,-,-,-,-
13,EV/FCF Ratio,-269.58,-,-,-,-165.17,-68.52,-66.09,-,-131.64,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.02,0.02,0.03,0.12,0.09,0.08,0.11,0.10,0.11,0.35,0.39,0.36,0.36,0.30,0.30,0.30
15,Debt / EBITDA Ratio,0.50,0.31,1.21,5.52,3.67,1.38,2.49,2.77,4.00,1.56,1.38,1.75,1.82,0.69,0.95,0.95
16,Debt / FCF Ratio,-,-,-,-,-7.53,-2.66,-3.08,-,-6.07,-3.93,-,-,-,-,-,-
17,Asset Turnover,0.40,0.40,0.28,0.37,0.36,0.37,0.27,0.41,0.63,-,-,-,-,0.83,-,
18,Inventory Turnover,2.63,2.67,3.07,2.17,2.87,2.44,2.75,1.91,2.47,2.62,-,-,-,-,2.39,-
19,Quick Ratio,3.40,3.40,3.70,3.01,3.17,3.11,2.96,3.41,2.93,1.07,1.08,-,0.90,-,0.83,0.83
20,Current Ratio,4.27,4.27,4.51,3.61,3.75,3.72,3.52,4.06,3.45,1.61,1.60,-,1.54,-,1.38,1.38
21,Return on Equity (ROE),1.94%,0.75%,1.68%,2.71%,3.58%,3.44%,7.85%,7.81%,13.90%,23.78%,14.31%,28.74%,24.00%,25.89%,-,
22,Return on Assets (ROA),1.16%,-0.88%,-0.45%,-0.44%,1.98%,0.56%,0.80%,0.23%,6.45%,-,-,-,-,8.47%,-,
23,Return on Capital (ROIC),1.35%,-1.01%,-0.52%,-0.51%,2.27%,0.63%,0.92%,0.28%,8.31%,10.93%,7.10%,7.03%,18.10%,12.25%,-,
24,Return on Capital Employed (ROCE),-,-0.34%,-,-,-,1.77%,2.67%,4.46%,5.52%,14.49%,17.44%,-,19.71%,-,12.66%,6.33%
25,Earnings Yield,0.65%,0.80%,0.85%,1.42%,1.71%,1.88%,1.94%,2.71%,2.52%,-,-,-,-,-,-,-
26,FCF Yield,-0.32%,-0.40%,-0.03%,0.44%,-0.51%,-1.23%,-1.26%,-1.99%,-0.80%,-,-,-,-,-,-,-
27,Dividend Yield,1.33%,-,-,-,1.46%,-,-,-,2.66%,-,-,-,-,-,-,-
28,Payout Ratio,168.95%,3.78%,2033.32%,22.89%,-,52.80%,896.21%,3.98%,-,6.29%,8.24%,6.57%,4.41%,3.62%,99.75%,99.75%
29,Buyback Yield / Dilution,-2.65%,-7.58%,-5.37%,5.26%,-2.87%,-41.32%,-34.70%,-32.02%,-20.63%,-0.02%,2.43%,-1.57%,-,-,-,-
30,Total Shareholder Return,-1.32%,-7.58%,-5.37%,5.26%,-1.42%,-41.32%,-34.70%,-32.02%,-17.97%,-0.02%,2.43%,-1.57%,-,-,-,-
